x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
469,476,477,477,472,476,476,471,468,469,471,475,468,469,472,461,470,477,466,459,467,472,476,468,458,475,472,478,459,456,473,449,472,455,476,451,452,457,466,468,459,395,419,462,396,476,337,383,385,391,395,408,262,331,258,352,204,449,381,185,244,375,229,318,381,234,120,178,310,205,234,378,229,115,300,120,249,261,229,234,262,172,246,237,205,237,375,371,336,275,385,337,310,382,325,304,386,387,465,365,467,381,407,449,400,388,477,452,461,468,432,433,435,434,450,466,434,455,471,411,459,454,458,460,465,468,449,460,411,446,475,450,407,476,408,412,400,374,381,380,449,455,385,437,371,349,331,372,454,375,306,390,386,262,431,389,275,247,431,275,389,234,247,374,199,459,386,308,273,232,388,231,312,313,459
459,476,473,472,479,473,471,466,472,475,463,473,476,468,466,468,466,474,460,471,458,454,468,467,465,466,463,455,466,471,463,452,446,456,449,456,474,463,472,453,466,418,392,380,461,465,400,463,331,313,291,381,284,261,365,349,284,235,193,198,180,331,274,189,350,183,261,231,190,189,246,273,378,261,126,175,275,178,246,193,350,309,318,236,237,350,257,306,377,309,261,387,394,372,392,377,335,391,386,396,369,411,387,408,469,406,443,460,473,456,459,460,460,446,460,443,477,431,455,448,474,443,458,471,477,433,466,435,434,456,433,449,473,472,465,443,408,386,378,371,365,478,392,381,412,330,383,311,455,386,385,376,275,274,298,247,444,411,232,350,327,330,257,214,256,453,188,273,257,193,253,262,236,287,309
476,470,467,461,470,475,470,479,472,463,473,472,476,478,462,455,460,479,471,473,457,475,473,456,475,467,463,466,460,467,470,464,474,462,462,448,479,465,449,460,450,457,387,446,381,392,331,365,433,396,298,380,476,275,304,406,214,201,385,190,232,229,204,180,205,187,179,298,312,352,307,126,185,389,237,350,235,378,185,300,350,253,205,231,255,262,257,462,355,391,298,298,287,335,471,380,446,337,394,352,406,378,419,454,465,472,475,449,468,474,457,450,475,452,433,454,457,448,454,457,446,432,469,457,433,454,450,475,459,454,443,460,473,454,412,469,387,437,421,460,383,470,379,476,374,394,310,371,370,309,450,419,352,309,452,261,249,352,246,390,388,231,383,389,229,233,365,335,381,244,262,421,383,406,334
464,471,462,470,472,462,478,458,468,474,467,462,473,469,471,467,465,456,470,476,465,460,461,460,466,460,463,470,473,451,460,465,466,452,472,460,453,461,454,468,464,412,383,372,370,387,380,467,421,370,453,410,298,443,461,237,244,256,374,187,350,273,396,187,176,178,355,175,258,249,369,244,336,336,220,178,233,380,188,336,386,214,193,365,458,304,309,383,467,304,275,387,460,350,377,473,388,459,473,380,386,387,433,433,458,431,419,419,458,471,462,446,434,437,468,470,456,462,448,453,443,454,475,434,472,432,460,444,455,453,443,475,474,461,476,460,394,388,378,381,460,388,384,394,349,334,434,413,304,462,350,291,462,350,375,408,468,298,394,284,245,300,300,259,456,330,244,383,233,389,291,349,418,381,374
480,469,468,475,463,461,478,463,473,466,469,475,474,468,478,477,474,472,471,470,474,478,472,474,467,455,461,463,464,477,454,460,458,462,459,460,473,452,472,466,446,458,454,391,365,395,335,386,313,298,304,275,384,327,450,376,300,235,240,311,201,284,237,389,236,350,232,262,317,419,176,369,183,305,378,383,305,214,236,412,337,233,258,253,255,273,239,247,261,380,331,349,305,388,309,370,392,368,464,396,385,457,394,421,434,463,435,433,474,431,437,461,431,435,455,431,443,464,456,456,435,437,456,460,465,466,432,434,465,456,437,460,448,418,458,452,411,395,392,472,453,375,477,393,368,378,395,380,372,443,307,380,304,310,284,304,434,385,413,312,349,244,232,313,275,307,214,389,378,389,308,273,387,312,275
476,471,472,477,476,456,477,469,462,471,479,479,475,463,476,462,476,467,473,472,462,477,468,464,459,478,466,459,468,453,461,461,464,463,448,472,458,468,465,418,413,443,448,432,460,410,394,335,331,393,335,394,371,307,244,233,300,337,249,349,186,236,180,179,183,181,233,291,190,309,180,180,237,193,190,274,189,373,411,392,375,233,310,284,313,313,257,261,311,394,335,306,376,454,475,337,365,454,385,396,392,454,421,462,454,446,432,472,421,458,446,458,472,434,461,469,458,461,450,434,467,473,443,462,459,462,474,453,435,433,454,472,433,433,406,411,408,406,419,433,393,456,383,366,386,371,468,369,317,408,381,385,381,381,337,336,374,284,262,298,454,311,261,306,373,371,395,392,385,349,312,247,370,311,372
470,472,467,476,480,474,466,479,476,474,467,473,476,466,463,477,479,477,475,469,467,462,475,470,457,471,474,457,463,478,471,466,460,477,465,460,457,465,474,465,421,433,450,391,379,467,421,434,366,325,318,388,392,259,237,412,381,375,201,419,262,374,458,444,205,193,318,240,232,274,178,385,229,449,306,371,247,275,245,199,274,350,274,273,246,336,381,375,412,473,298,352,434,389,391,408,392,374,388,383,471,388,413,435,467,450,462,458,431,431,462,456,451,458,458,462,455,453,449,463,460,448,452,475,471,453,480,451,457,453,434,465,473,457,451,470,462,431,471,410,453,457,396,455,388,381,379,393,335,386,331,452,375,318,453,313,335,273,273,262,310,431,246,379,388,311,253,331,413,239,378,249,304,379,249
466,470,461,463,469,461,466,470,473,480,477,479,460,478,473,475,469,479,472,476,458,471,474,462,454,470,470,479,461,455,465,457,469,462,455,457,463,466,434,460,466,458,434,392,437,385,408,350,378,377,370,391,306,386,259,234,311,391,433,235,385,299,336,337,176,317,299,249,187,187,204,190,239,300,256,304,391,349,181,380,246,386,388,433,300,257,406,306,307,306,327,385,411,379,378,372,433,388,387,395,468,465,437,456,466,421,456,431,460,419,453,466,456,449,466,449,462,458,457,456,454,455,462,463,464,435,433,465,452,432,476,452,452,434,421,466,443,458,471,450,381,433,392,406,375,458,421,381,349,432,460,304,305,317,386,408,450,298,369,390,377,349,310,381,334,305,257,391,255,372,262,393,376,305,434
475,468,471,479,470,471,470,469,472,466,468,462,480,471,468,461,479,467,463,460,480,479,471,475,455,471,462,456,469,474,478,460,454,466,449,451,460,466,458,432,421,395,463,407,462,327,392,330,380,312,369,374,349,309,231,298,458,255,431,284,306,181,204,253,393,249,381,431,365,331,378,199,273,379,298,189,284,193,318,249,327,380,336,335,273,309,255,384,373,390,380,365,311,395,381,377,391,385,435,471,410,456,418,446,464,458,463,449,433,434,437,467,474,451,450,472,458,480,461,459,465,472,466,476,460,456,443,463,449,466,444,434,466,462,462,470,446,474,455,406,411,471,371,381,386,385,373,368,375,377,331,336,335,349,351,394,450,298,419,304,396,373,457,258,273,317,261,262,317,432,257,331,284,256,334
470,461,477,471,466,476,474,478,472,478,475,479,476,475,466,472,479,476,477,474,468,475,462,472,458,477,471,469,456,470,472,477,468,459,444,461,470,453,454,459,477,457,395,385,376,375,369,394,368,389,337,307,396,433,381,236,394,214,432,318,205,379,190,275,309,257,261,372,234,287,239,365,257,411,307,183,274,392,201,262,454,375,331,234,244,274,380,374,387,350,366,380,388,336,389,412,383,377,386,457,412,419,473,464,476,457,431,464,448,467,464,459,463,477,458,457,468,452,479,462,462,460,433,480,449,433,454,460,459,459,459,461,460,453,459,434,465,469,410,446,478,460,374,456,391,396,468,349,380,391,368,312,411,456,410,312,365,431,392,379,372,375,374,253,309,385,368,274,298,396,274,396,355,253,258
