x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
432,408,432,1,384,206,155,466,439,442,441,401,260,441,401,349,384,401,347,204,384,442,434,441,138,156,432,345,472,136,389,340,346,347,384,431,412,465,442,435,344,408,338,138,468,1,467,1,401,154,273,438,272,441,208,340,344,401,472,347,348,442,431,270,2,342,343,2,203,432,346,390,1,138,401,342,3,434,270,205,390,440,401,156,349,340,344,346,431,433,341,438,441,438,467,341,268,390,260,438,204,345,1,346,346,1,340,265,155,108,433,435,139,467,384,438,208,439,350,437,258,203,433,401,439,407,431,136,201,434,389,441,438,442,441,153,404,406,154,338,140,341,343,294,348,400,201,203,153,431,343,344,204,345,433,156,1,155,1,437,140,384,340,433,268,141,1,204,390,432,1,466,388,156,140
407,466,273,270,384,467,141,203,472,384,405,432,265,273,468,408,434,439,441,390,349,440,406,466,433,384,442,430,141,442,465,1,401,400,441,442,345,1,154,350,208,138,433,390,401,388,384,442,208,440,208,407,401,347,401,385,344,209,204,198,384,108,203,345,140,437,387,347,347,204,345,208,270,341,270,1,345,465,347,431,1,108,268,399,1,153,207,437,203,270,294,342,406,345,442,465,349,1,406,442,439,2,344,273,198,343,140,344,344,399,269,385,430,385,155,437,406,343,263,258,438,273,439,389,198,136,404,344,1,405,260,231,401,434,350,205,465,388,343,348,442,442,346,350,346,203,206,265,348,345,270,440,267,155,108,437,270,1,466,231,260,434,437,388,433,273,154,206,153,347,390,1,338,441,341
473,294,344,467,433,342,440,258,384,389,467,258,468,465,442,205,342,201,430,268,472,3,433,438,401,385,384,348,1,384,348,442,384,154,203,350,344,153,141,345,204,258,268,384,260,384,438,343,440,440,207,1,348,350,2,267,341,407,153,405,154,439,139,466,273,294,441,344,1,440,3,206,408,201,272,348,268,340,388,401,442,205,338,345,384,156,1,341,388,154,269,270,206,139,347,231,205,272,387,156,389,467,140,270,468,399,273,384,1,2,205,401,156,265,472,348,466,435,401,405,405,141,442,465,434,412,350,347,439,434,265,466,108,400,433,441,139,350,258,260,467,350,349,270,342,406,1,400,345,349,141,390,472,430,439,439,472,98,384,1,205,342,265,273,346,439,346,435,390,1,1,346,404,341,433
467,442,198,431,154,408,439,400,408,207,400,344,442,442,1,108,437,154,440,433,441,400,347,440,1,208,390,208,270,408,438,349,400,401,389,390,405,438,350,1,404,3,108,408,438,349,433,209,404,439,441,344,1,412,408,432,467,206,140,98,346,205,141,1,384,400,338,140,439,437,384,269,346,389,408,342,1,201,467,155,344,467,1,198,141,141,153,432,342,206,404,347,342,1,342,1,347,438,349,346,384,267,340,384,206,258,404,434,273,465,405,384,385,439,440,442,399,267,405,108,467,385,269,344,260,141,384,153,405,206,440,1,1,437,268,270,348,98,404,406,344,341,260,203,154,441,203,400,156,344,466,294,346,155,390,434,348,439,344,153,341,432,442,387,442,258,153,345,268,208,1,270,400,439,153
465,139,434,98,442,349,198,407,201,263,434,438,430,473,437,388,472,406,438,138,434,472,438,267,98,442,400,1,401,405,344,400,273,438,388,345,439,267,408,268,345,136,267,347,1,434,140,340,406,388,408,347,204,208,154,340,385,1,1,432,467,432,258,345,267,1,1,384,3,342,441,270,338,267,3,154,141,350,1,273,349,1,341,345,155,154,347,431,270,435,1,138,400,435,98,267,139,2,408,294,385,338,434,399,342,205,433,1,156,434,406,204,465,205,468,384,439,270,465,269,1,437,431,155,438,407,438,346,467,350,433,345,141,466,431,401,435,260,294,273,434,270,263,267,430,434,384,345,442,338,412,3,1,1,3,348,342,344,273,347,205,141,1,407,342,440,206,349,1,141,270,204,269,406,441
434,432,204,437,345,467,442,431,341,406,467,431,439,340,439,350,156,468,434,430,108,260,467,1,468,438,430,388,440,203,350,466,347,439,384,438,408,442,265,405,400,347,467,442,156,345,1,472,441,141,401,341,265,209,440,273,350,439,467,350,206,439,207,209,156,155,263,466,1,1,2,203,431,346,206,1,208,153,342,404,270,430,1,273,341,438,270,401,141,272,154,440,431,404,440,1,198,405,153,390,405,1,1,138,401,472,408,405,437,141,440,268,340,270,203,404,204,260,442,466,401,467,390,268,342,439,139,270,140,467,388,442,347,465,268,267,140,389,205,437,430,438,1,437,405,434,347,258,437,350,348,273,231,473,342,431,406,439,384,198,400,466,350,1,1,389,208,154,407,263,201,400,350,136,1
270,384,432,260,388,405,231,434,206,439,346,466,442,438,349,472,431,441,347,268,434,430,441,346,430,263,347,433,269,273,344,342,431,435,390,433,435,432,433,438,341,384,139,138,350,438,350,269,294,346,435,387,138,431,432,260,1,434,344,265,203,153,1,205,347,1,440,437,401,268,390,405,439,154,1,439,349,203,273,472,465,385,139,350,139,430,349,341,270,153,1,432,405,208,441,140,350,346,272,270,1,263,201,258,204,201,434,263,203,465,205,438,268,208,407,139,442,156,338,441,1,153,440,207,208,350,205,406,209,431,346,294,1,440,208,350,434,267,269,206,108,433,467,231,155,348,270,344,346,1,384,349,1,272,350,440,344,269,401,346,141,349,431,343,1,203,209,204,431,272,203,465,208,267,208
341,348,347,440,342,347,388,2,468,468,208,198,442,432,408,467,385,140,408,432,439,348,350,434,343,437,345,268,472,268,203,434,231,408,432,467,267,140,400,432,467,405,440,432,204,231,267,260,1,346,265,269,267,434,141,139,272,350,273,385,98,401,2,408,388,338,400,154,338,385,437,1,204,1,204,345,1,390,406,401,404,140,347,404,438,405,1,346,268,437,433,1,406,201,209,3,412,203,265,437,198,434,433,442,399,269,439,344,1,206,268,466,439,209,440,400,349,265,432,388,347,1,267,384,140,384,400,466,1,340,203,432,437,1,138,260,350,1,340,340,349,139,273,441,434,465,348,349,467,3,405,401,140,408,432,408,153,350,153,155,390,1,347,347,430,153,389,412,1,138,338,260,2,400,347
389,209,384,437,473,347,431,348,1,273,466,408,440,467,341,437,349,269,345,437,206,405,204,347,384,442,400,341,1,389,408,340,442,439,206,1,156,140,1,265,1,98,430,201,201,1,348,1,405,467,408,434,1,338,140,341,441,140,439,440,1,138,438,204,203,407,1,141,344,272,434,433,467,258,405,267,267,270,434,198,347,345,439,441,204,141,347,384,389,209,438,98,344,140,138,440,433,141,350,439,206,347,437,407,412,268,205,108,272,388,442,465,439,208,434,405,341,442,472,346,439,438,439,153,385,438,434,207,273,384,206,260,198,342,440,441,439,441,204,265,346,267,404,399,201,1,344,1,272,346,439,155,141,342,206,155,139,345,441,258,431,466,260,153,349,437,387,387,270,390,385,270,390,1,273
437,207,349,404,435,405,384,472,434,430,388,441,401,472,400,258,385,439,437,472,273,348,438,406,430,439,349,384,206,433,153,205,98,1,269,141,467,441,433,263,437,1,345,432,467,203,442,438,1,2,205,273,344,342,465,268,400,407,1,203,273,400,268,347,294,467,2,387,434,338,260,153,269,201,431,406,340,347,344,153,440,1,206,208,465,404,440,440,207,1,340,442,440,437,258,346,1,467,270,405,435,258,108,433,440,141,269,268,439,384,347,153,273,1,405,442,430,338,400,156,440,473,435,434,405,467,466,432,347,263,141,400,435,438,341,401,198,431,338,433,343,399,385,294,265,405,141,265,258,270,434,198,467,1,437,433,1,437,270,466,206,430,406,433,400,347,1,349,154,269,438,1,406,406,399
1,441,153,400,435,343,435,412,346,441,412,231,98,442,206,347,154,440,272,465,467,347,389,347,203,347,338,437,384,412,387,442,408,400,441,209,258,1,465,207,260,108,346,204,3,432,385,388,138,439,434,439,201,390,432,472,154,432,340,1,342,404,407,439,342,467,343,438,390,2,385,154,348,270,442,347,401,468,265,1,206,388,467,401,258,341,347,435,433,348,442,400,209,1,434,140,430,349,350,267,205,385,198,342,273,441,434,265,440,205,1,205,432,406,349,467,140,108,141,349,440,138,273,440,439,437,345,440,400,431,342,431,350,269,342,431,343,203,401,340,98,408,384,1,272,341,408,272,108,260,343,434,399,203,98,98,344,342,205,385,156,437,439,340,140,155,346,432,442,294,400,465,1,108,273
388,404,438,273,438,472,270,401,467,465,340,442,154,438,465,434,432,467,384,441,405,472,440,435,439,343,405,340,412,350,198,388,440,340,441,431,136,138,1,154,384,140,1,439,406,141,389,345,260,434,405,338,431,108,155,2,272,437,273,349,348,399,272,349,439,348,208,1,400,338,345,1,438,412,1,340,400,407,405,408,431,401,269,433,206,2,338,441,153,401,390,1,342,268,467,273,347,472,1,408,401,141,108,440,384,434,208,407,433,467,267,438,442,268,404,154,406,209,430,437,441,346,433,269,431,347,390,431,273,384,345,408,465,442,472,269,438,385,430,441,203,440,437,268,466,343,437,441,390,267,467,1,441,442,346,442,268,140,268,141,350,430,437,472,98,206,1,407,1,408,407,267,340,1,440
434,342,349,153,404,203,399,388,467,156,399,467,432,440,387,442,389,430,342,434,404,406,441,412,390,431,400,3,269,406,267,439,272,347,268,208,347,432,153,406,138,430,98,400,401,346,341,350,270,347,265,438,154,208,407,345,442,260,153,430,346,431,385,1,258,155,349,390,1,265,154,348,140,1,343,270,434,205,341,338,384,442,344,388,270,1,441,442,272,467,388,441,270,208,204,430,439,204,439,466,384,472,384,442,388,405,344,387,156,406,399,345,346,206,472,384,439,466,472,155,342,204,467,260,412,472,346,384,208,204,439,206,346,431,348,201,440,208,434,437,205,340,468,206,433,268,466,472,440,1,203,98,467,434,435,408,207,438,389,385,342,467,465,437,473,405,350,138,441,155,441,345,155,265,201
