x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
397,398,347,38,309,183,117,445,309,398,398,371,117,445,324,183,362,397,283,115,314,445,397,476,114,150,146,362,468,117,262,198,397,409,318,309,266,236,409,266,347,476,371,96,468,60,397,76,210,117,232,262,183,373,150,375,353,178,470,115,322,470,247,198,76,247,266,85,51,397,232,210,85,38,86,76,17,309,198,150,353,318,280,85,200,398,150,115,445,292,266,476,397,476,362,117,150,362,292,362,200,247,51,362,232,76,347,262,232,115,409,470,198,398,397,409,247,397,236,397,198,38,397,200,470,398,468,115,232,371,232,347,445,470,398,150,409,375,150,429,60,247,409,200,178,266,280,85,198,397,292,347,210,183,398,85,51,115,60,445,60,409,200,283,162,86,38,117,247,362,34,470,347,111,74
397,409,232,198,236,476,74,232,476,397,371,409,200,247,371,375,397,409,468,347,200,262,362,397,470,200,266,292,115,397,371,38,373,362,476,397,266,34,115,283,85,114,397,398,468,397,198,324,115,373,247,362,236,114,398,266,74,247,210,111,232,74,51,398,150,283,198,309,262,114,291,117,183,322,85,17,76,468,371,371,60,115,117,397,114,117,85,232,17,236,236,236,470,117,468,397,291,74,409,397,468,85,318,371,283,353,291,398,445,373,397,347,476,232,51,362,398,397,74,309,398,111,409,280,96,146,476,429,111,397,146,232,371,476,373,200,470,398,324,397,397,470,445,398,398,85,236,200,162,397,236,468,353,150,38,322,309,74,398,207,210,409,362,291,398,85,60,111,85,266,117,60,397,409,210
476,183,353,353,397,207,397,200,314,429,468,150,397,468,210,111,330,115,324,322,476,17,429,470,232,373,371,362,117,291,198,210,291,74,162,183,207,146,114,247,117,198,111,210,76,398,397,362,470,232,115,17,397,232,115,200,117,397,150,198,85,476,117,470,324,117,347,200,111,375,38,76,397,247,200,318,207,183,150,347,322,60,232,314,198,150,38,210,373,115,262,266,17,86,309,232,115,266,330,183,292,397,150,210,398,397,200,362,60,51,76,397,198,280,445,210,397,371,362,266,397,117,429,468,409,347,371,375,468,262,86,371,60,362,409,347,74,347,198,200,445,353,198,198,398,232,74,373,314,292,115,397,470,111,397,468,429,115,371,38,96,232,150,150,292,371,371,322,266,51,85,150,409,232,362
470,476,146,362,111,322,470,74,362,96,409,210,398,476,86,146,445,38,409,445,470,362,247,398,117,178,397,60,232,397,409,74,150,373,314,362,322,362,353,38,397,117,115,375,330,117,322,85,353,468,468,330,38,232,198,266,409,283,74,60,60,210,114,17,210,280,247,38,60,409,347,232,146,324,375,210,17,76,445,117,347,429,96,60,76,86,162,398,51,162,468,322,397,86,266,96,198,398,232,280,429,86,353,324,162,198,373,468,353,468,398,470,445,470,409,445,200,76,445,117,362,476,247,371,247,111,429,114,398,210,409,38,85,476,283,397,362,117,409,476,236,468,198,150,115,468,200,347,86,262,468,362,291,200,375,398,115,476,318,111,397,85,398,283,468,178,96,291,150,17,17,314,322,398,117
409,117,445,117,468,262,117,371,150,146,476,375,371,476,476,322,468,232,371,115,200,445,476,162,60,468,322,85,318,397,247,468,114,373,347,291,291,114,291,210,373,74,114,210,117,398,110,292,375,371,373,266,178,110,292,371,429,38,38,398,262,397,114,232,198,38,76,397,60,117,397,232,85,200,51,76,85,198,51,266,247,38,371,200,85,96,347,398,232,409,60,60,322,309,117,232,76,60,232,207,468,291,266,409,398,150,409,96,34,476,397,322,476,198,468,397,397,291,468,198,85,468,398,200,266,373,468,353,371,409,397,362,17,468,468,398,318,371,398,362,362,371,262,162,476,397,283,266,371,111,476,38,60,85,38,247,85,210,291,324,117,146,60,210,236,409,210,262,38,198,198,111,362,398,470
470,468,247,353,86,470,445,236,330,470,409,470,397,117,371,292,117,397,146,283,60,266,429,85,468,468,398,362,373,51,117,468,150,371,266,476,398,353,266,373,398,232,324,470,232,318,85,409,397,60,476,232,353,232,322,117,397,476,371,74,200,397,198,232,117,114,117,283,38,85,162,74,322,318,150,17,115,232,247,210,146,232,51,74,398,470,291,324,117,292,150,470,398,150,476,110,330,476,178,397,291,60,76,114,468,476,291,398,397,232,347,318,247,280,309,470,232,375,397,445,470,291,445,314,322,476,262,330,232,468,429,445,266,476,353,117,114,373,178,468,470,330,146,397,247,362,309,200,429,373,429,150,232,476,373,309,468,470,291,162,397,247,232,17,38,397,200,178,322,150,162,429,266,150,17
291,476,362,262,409,470,330,232,114,398,292,429,445,398,247,409,429,468,409,262,468,445,397,398,375,51,232,375,74,198,247,373,398,198,476,262,397,468,409,476,362,409,85,309,322,362,318,266,324,353,445,429,198,362,324,115,85,353,210,210,76,115,51,146,111,96,409,429,398,232,291,347,280,198,60,429,207,232,318,322,476,347,200,318,38,409,397,210,115,85,74,429,398,236,262,96,292,353,232,200,17,322,283,330,247,117,232,324,330,353,291,468,398,232,398,115,476,111,162,362,117,198,409,150,247,236,198,409,291,397,322,314,38,398,322,309,115,283,322,146,200,468,468,207,178,362,318,330,200,150,362,362,76,115,309,397,309,353,362,150,117,322,375,330,38,111,210,291,292,117,210,397,146,162,198
476,146,373,470,309,200,398,150,114,397,200,280,468,470,398,445,178,210,247,330,409,353,373,292,291,397,247,146,445,150,60,232,114,291,468,470,150,117,200,330,445,262,397,398,236,110,309,115,85,397,178,200,146,60,38,60,266,373,198,362,38,375,60,210,398,280,362,115,397,397,409,38,200,85,117,266,60,409,429,445,150,150,309,318,347,371,85,200,291,397,476,60,330,210,247,38,470,210,117,375,178,470,373,468,353,398,470,409,76,150,318,468,371,283,318,198,398,362,330,207,409,76,309,445,150,373,429,476,74,232,117,409,468,117,198,262,398,232,353,375,210,85,150,468,398,445,397,198,429,38,468,476,60,429,397,51,236,262,86,85,60,38,291,292,353,60,375,476,117,74,247,198,51,397,362
398,232,409,397,476,347,476,409,51,322,445,371,409,470,232,397,283,232,397,397,38,207,210,291,470,468,291,200,76,232,470,322,445,397,210,38,117,85,96,247,76,178,397,86,85,60,146,60,322,398,198,468,117,398,114,324,468,74,397,247,38,60,476,60,247,362,51,17,207,283,322,476,371,198,266,291,86,373,397,207,362,362,398,470,117,60,398,397,375,150,470,76,115,96,74,371,468,198,322,468,117,398,409,468,397,291,291,117,362,210,324,397,397,266,373,362,283,397,468,409,397,476,429,85,397,476,324,115,247,397,117,330,86,247,397,476,445,476,111,373,330,309,409,470,283,60,236,162,210,409,397,76,17,210,74,111,117,330,314,247,429,468,146,76,429,468,373,445,397,470,324,292,397,150,236
468,183,318,468,347,330,375,468,468,445,247,468,409,397,362,210,85,373,470,476,210,236,470,371,470,468,178,232,85,397,146,114,38,146,210,150,397,322,468,210,468,85,247,362,409,150,429,362,76,34,309,318,178,232,470,247,409,398,60,117,115,210,96,476,232,150,110,409,322,266,232,85,146,146,429,397,371,322,266,178,468,17,200,280,476,86,362,470,115,38,198,17,397,470,115,291,117,476,362,468,468,210,85,409,470,200,371,283,324,397,322,162,292,60,468,445,470,324,445,207,398,476,429,409,468,429,398,470,322,207,200,409,445,397,371,398,266,397,409,470,468,322,429,362,280,476,210,362,183,115,429,146,468,76,373,476,85,236,322,397,117,476,309,398,362,200,51,347,210,114,409,74,429,468,398
