x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
178,143,210,51,183,330,397,210,210,118,409,288,232,200,322,117,115,146,178,117,314,115,115,476,115,468,39,468,398,309,39,247,470,481,76,85,117,266,362,178,371,445,318,362,280,115,85,210,409,280,445,198,210,255,324,255,118,197,397,322,336,476,283,409,362,373,291,354,60,397,76,397,373,38,197,330,8,117,200,398,115,362,468,118,242,477,476,8,322,34,429,500,203,476,38,117,397,353,347,60,189,86,150,146,117,197,74,210,262,200,157,398,397,111,288,189,388,51,162,191,150,60,398,309,429,283,236,207,347,38,8,242,150,398,85,398,296,354,468,470,115,198,398,200,288,397,445,96,309,197,115,354,468,96,255,115,117,322,203,324,110,397,445,210,150,318,115,204,397,118,74,398,183,266,85
280,115,236,159,200,397,197,445,468,203,200,86,244,198,34,280,114,115,314,96,17,5,143,159,375,146,280,255,262,146,85,86,362,232,468,96,150,60,318,200,76,371,178,397,409,353,110,85,210,247,468,232,117,330,207,255,74,324,280,150,143,200,96,468,429,336,197,157,244,117,183,309,17,445,191,5,76,388,470,112,291,324,197,200,409,371,324,85,5,318,324,232,500,336,322,85,242,309,476,96,318,318,34,468,362,86,476,322,470,222,468,143,500,118,85,17,355,388,39,445,198,232,114,147,85,371,445,500,409,266,85,353,178,476,247,397,330,398,183,283,39,409,409,292,309,115,51,283,96,288,147,398,397,296,115,398,409,314,318,247,118,314,162,115,157,197,38,324,146,318,74,162,398,191,157
397,38,354,8,74,318,178,150,74,476,314,38,38,354,5,34,266,74,74,468,409,34,375,429,74,409,51,400,468,409,74,162,242,34,477,159,314,468,375,468,324,117,150,117,38,76,347,373,468,247,375,34,355,409,398,117,468,110,291,38,114,470,397,398,481,330,236,409,400,74,143,118,362,470,191,198,207,353,162,76,111,8,354,262,51,470,143,162,200,347,203,324,17,242,85,468,86,468,247,211,162,115,262,375,114,347,481,183,117,117,85,242,146,353,157,468,117,255,309,115,347,397,150,207,236,60,198,280,397,207,146,38,60,114,159,85,23,143,17,314,197,292,76,211,400,23,117,143,111,17,191,232,296,150,147,309,232,362,198,115,232,117,146,85,409,117,397,146,397,150,314,204,409,255,207
362,476,200,60,146,34,397,85,500,353,291,115,292,470,397,400,189,38,232,470,388,85,191,210,476,362,157,191,198,86,373,114,232,409,117,150,114,280,336,115,283,470,409,296,210,204,200,38,236,445,242,397,76,247,429,60,115,362,60,85,86,468,198,38,60,362,291,17,17,255,318,232,8,150,400,74,5,159,398,314,178,232,397,150,198,330,204,362,115,397,362,210,291,397,198,398,291,76,85,111,347,17,178,38,60,74,110,255,296,362,150,477,397,373,115,371,74,291,309,409,8,470,468,322,146,210,183,280,309,162,296,115,397,445,210,445,318,470,292,477,85,429,283,74,118,198,476,159,255,362,210,236,85,200,178,162,8,477,189,266,468,355,200,244,336,314,362,110,353,8,17,288,183,397,429
198,468,291,222,375,118,198,117,309,5,500,115,117,470,500,96,318,34,74,322,388,353,468,398,150,354,409,318,200,283,330,347,189,210,330,397,8,255,51,291,409,197,117,397,445,247,200,236,322,117,115,39,232,247,470,476,397,115,85,288,191,143,117,86,266,74,203,189,183,262,291,118,318,115,147,38,111,17,178,500,322,76,500,85,189,309,397,236,207,283,146,162,355,60,355,115,118,262,266,38,409,189,51,210,362,8,197,397,8,476,96,429,476,198,150,398,470,110,291,96,347,322,291,362,34,330,330,247,23,476,39,280,5,291,314,114,162,211,468,291,17,207,39,96,445,76,60,296,17,232,468,86,200,211,110,17,397,86,324,476,85,476,159,51,330,291,232,292,86,468,111,330,468,347,429
409,468,288,17,296,354,204,117,117,470,200,400,110,322,85,178,347,117,314,51,112,291,117,353,222,210,398,159,336,111,60,292,330,210,353,371,468,76,397,85,314,86,296,397,468,280,371,86,397,110,468,197,429,330,111,397,198,500,178,178,162,60,150,292,247,322,409,397,115,291,500,111,266,283,96,8,210,477,309,468,470,110,115,183,500,314,388,112,247,397,470,336,191,409,470,292,476,476,283,247,242,117,288,162,409,371,34,255,85,280,114,375,232,85,476,445,336,468,111,191,409,115,398,207,111,470,397,371,388,354,197,266,236,470,207,397,115,110,76,314,468,8,324,283,398,17,236,288,336,262,400,74,470,445,266,314,354,398,210,397,318,280,296,60,60,74,397,318,150,150,470,247,162,476,8
397,468,51,255,470,468,445,86,74,117,371,157,183,85,210,200,398,232,398,314,322,162,150,397,60,8,445,347,34,115,23,429,117,309,476,5,114,398,288,476,232,481,150,500,468,96,147,398,398,189,292,371,398,211,8,198,322,76,8,445,200,236,191,85,159,398,283,178,336,150,117,322,117,468,200,292,207,324,371,309,445,280,476,204,60,232,398,115,283,178,236,330,150,476,247,262,85,322,207,146,17,468,236,354,409,330,115,210,468,5,373,330,409,112,255,117,481,85,96,85,398,476,373,38,353,114,347,314,409,114,189,146,114,146,292,247,74,210,111,347,409,330,200,262,362,476,162,117,5,476,85,210,211,291,39,178,86,347,400,74,373,371,86,203,114,34,266,477,117,375,318,51,143,110,115
500,60,112,373,39,114,203,481,115,111,232,409,371,476,60,191,115,476,203,198,146,355,409,210,236,76,85,445,146,210,150,51,17,200,476,445,330,322,354,189,232,114,200,115,330,183,476,262,347,468,114,178,397,74,8,23,429,150,85,309,51,198,242,111,255,60,468,118,330,375,118,115,255,397,388,157,117,362,398,397,5,470,397,324,291,470,266,146,354,85,476,147,150,283,468,147,398,211,470,74,111,330,146,322,17,373,353,362,318,280,262,266,210,347,5,74,283,280,207,322,336,266,409,373,280,296,353,468,247,85,60,197,242,476,397,74,388,477,76,118,375,8,255,247,183,146,150,96,117,143,397,476,74,353,362,76,468,183,51,146,117,96,207,324,115,114,146,500,409,38,322,85,117,362,232
204,388,398,198,409,38,468,409,96,262,200,76,468,210,60,198,388,51,468,210,23,347,500,296,468,371,147,409,330,115,409,322,236,117,468,60,347,210,353,445,322,470,373,210,210,146,38,200,200,117,118,397,468,468,291,468,397,117,51,114,114,117,476,96,371,183,147,5,85,375,162,481,34,112,86,397,110,500,314,398,362,200,222,397,189,143,476,292,318,445,409,150,210,86,115,117,400,362,162,398,397,362,211,397,111,500,347,468,336,198,34,51,247,146,146,197,204,34,288,409,150,470,198,74,147,500,51,210,398,207,280,398,280,322,76,409,247,500,111,309,51,210,204,397,283,115,85,477,150,397,115,38,8,429,110,115,409,162,114,353,468,280,17,115,476,353,247,388,468,468,51,397,347,470,203
280,409,150,397,5,85,280,203,476,373,147,362,397,60,262,322,115,117,373,468,314,85,470,115,476,247,38,191,74,398,347,150,60,500,189,397,198,178,247,468,355,322,162,51,85,207,324,8,291,38,445,198,76,143,330,115,353,236,115,191,211,189,118,477,397,23,397,292,147,117,150,39,445,85,178,397,468,266,353,322,266,34,309,398,481,146,51,468,200,85,347,5,74,362,203,38,373,468,445,388,204,38,115,178,318,118,355,189,197,162,38,159,362,189,362,397,247,292,322,347,146,481,211,280,336,115,280,330,371,197,354,204,222,76,114,232,197,117,291,398,397,210,468,178,38,398,409,322,262,347,314,17,292,291,111,470,309,8,362,150,309,476,23,211,266,244,115,178,397,178,476,207,476,398,236
