x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
343,366,392,432,386,406,432,398,414,362,442,411,402,395,408,362,364,372,386,355,404,364,366,452,362,450,251,442,421,404,255,396,452,452,355,329,343,386,395,362,413,432,395,402,366,255,227,320,404,316,404,255,274,251,291,237,255,203,291,219,251,251,203,386,251,251,203,227,67,227,88,219,219,62,129,211,36,118,160,251,122,251,219,154,212,404,398,58,261,86,450,452,386,251,129,227,396,251,398,211,316,251,327,292,316,362,251,372,392,384,355,432,386,406,402,255,316,251,364,372,355,251,416,402,432,395,343,384,404,237,177,391,255,421,251,416,255,404,421,432,255,327,408,320,355,336,414,220,355,261,211,355,402,160,251,183,183,261,219,255,154,316,364,274,191,251,154,212,274,160,117,337,212,183,128
404,355,395,452,392,421,392,442,450,391,478,337,404,390,384,416,355,396,404,337,237,183,364,386,392,364,402,398,398,362,316,329,411,395,442,478,364,251,402,384,255,411,343,316,414,392,316,219,291,386,404,251,364,320,160,251,122,251,220,154,140,203,117,337,194,220,220,129,160,122,160,194,52,255,129,32,67,211,329,117,211,251,183,194,337,292,251,140,36,291,316,251,183,355,355,251,390,372,194,237,406,395,183,432,406,274,450,402,450,391,432,343,478,337,316,223,406,414,251,414,384,390,398,355,406,414,432,478,432,396,291,408,364,452,390,251,396,413,329,384,406,414,406,364,362,343,177,337,211,337,227,398,386,316,194,364,386,154,261,227,118,251,183,154,194,209,86,251,183,316,118,191,329,203,203
432,395,364,396,316,362,386,372,316,452,404,251,274,413,128,413,402,421,316,452,442,432,392,432,316,421,291,452,404,432,316,384,398,237,478,364,291,442,414,442,386,327,329,292,209,237,395,396,413,320,386,117,355,220,364,183,316,117,237,86,128,337,255,398,395,160,223,219,255,80,118,118,220,292,154,251,177,220,160,88,118,36,251,220,183,396,194,212,237,337,251,343,118,320,212,327,219,118,362,362,404,329,390,413,452,402,452,355,337,329,316,391,355,442,372,442,337,392,402,336,404,421,362,384,404,251,372,395,414,384,362,251,255,329,343,255,362,372,183,386,337,390,220,402,404,152,362,251,255,117,251,255,329,219,219,161,251,329,219,183,237,194,183,128,362,251,320,183,80,203,255,219,364,237,219
411,452,391,316,364,355,291,336,478,402,402,372,406,452,421,432,390,251,392,450,421,336,386,392,452,355,386,384,391,442,413,452,396,432,343,362,395,398,406,336,395,343,329,391,343,337,327,160,329,406,343,372,160,255,390,117,160,291,212,118,118,366,160,62,67,320,117,52,36,71,212,161,191,128,251,251,36,140,255,86,177,203,316,177,364,291,227,327,209,364,261,255,329,255,291,404,362,251,223,251,396,191,336,219,386,251,404,392,362,406,343,452,362,413,336,413,255,398,402,432,194,452,450,404,211,390,364,413,398,362,395,274,414,432,386,432,402,432,395,452,251,414,386,251,291,316,450,251,337,391,274,316,183,251,274,223,71,416,219,251,386,320,105,237,220,255,274,160,274,52,67,251,209,337,364
355,450,402,392,421,366,390,404,406,183,478,337,364,452,320,442,408,251,404,406,421,413,450,432,364,450,442,402,386,402,364,406,386,391,404,421,194,396,251,320,364,362,320,402,203,362,329,364,404,220,212,414,255,251,261,414,160,154,128,219,161,140,129,117,211,140,183,160,154,194,154,118,203,122,129,86,117,54,160,414,251,122,452,129,203,255,337,117,211,292,251,251,343,183,392,251,255,316,372,209,416,355,237,432,408,183,366,421,183,452,450,432,452,384,355,421,450,329,402,316,411,404,395,414,237,411,404,392,219,452,251,392,128,414,211,327,362,386,432,392,183,355,404,251,404,219,194,364,118,327,414,203,291,386,194,105,386,177,316,414,140,414,203,117,291,251,227,251,160,386,160,183,386,160,366
432,450,402,251,402,404,390,390,364,452,386,432,329,402,336,386,414,355,404,452,337,402,366,404,406,391,432,452,411,343,316,404,411,392,406,414,442,316,414,292,398,261,395,406,421,364,395,219,395,219,411,251,404,336,191,402,203,432,402,177,160,86,160,219,209,227,255,251,118,203,406,117,203,194,117,36,194,62,219,355,67,129,154,194,432,292,364,183,402,219,414,364,261,404,432,336,183,452,386,386,386,327,395,362,421,372,209,395,291,392,329,414,395,316,450,432,251,442,329,372,432,402,432,386,320,386,414,402,414,406,372,395,452,442,386,413,329,291,251,395,432,140,395,386,411,129,343,362,386,337,404,183,414,212,292,336,355,396,251,362,316,251,274,355,122,128,364,291,211,203,402,251,209,413,54
432,452,291,402,452,414,442,343,329,414,414,372,386,337,392,392,432,395,421,406,404,386,372,421,316,219,442,414,390,337,251,442,402,398,452,122,329,362,398,452,386,452,336,478,421,392,255,402,396,261,227,384,212,160,194,220,432,122,395,251,194,161,177,88,154,261,203,154,219,140,122,211,128,316,183,177,227,237,203,237,364,251,411,211,404,251,366,203,160,237,291,372,251,432,337,362,237,392,355,327,183,362,386,404,432,402,327,384,442,160,411,402,421,329,395,414,452,316,327,292,421,452,411,251,406,327,406,402,432,329,364,355,320,343,402,391,255,386,316,402,421,364,337,364,398,452,291,251,88,432,251,396,320,327,152,251,421,337,386,160,343,355,255,372,160,212,261,421,183,337,292,122,203,177,191
478,372,362,414,274,355,392,391,366,355,452,432,414,452,316,390,343,452,390,255,362,411,432,478,384,416,316,442,372,386,366,255,209,386,452,432,404,404,413,364,386,316,364,255,395,160,432,343,364,140,209,362,395,177,54,390,274,194,129,227,118,183,203,251,209,128,274,129,118,251,129,118,191,211,251,160,154,251,316,261,251,402,320,255,255,406,291,211,316,194,117,237,274,355,414,274,292,362,442,251,255,402,329,404,191,413,408,413,404,402,392,337,386,413,122,390,398,398,386,404,404,402,432,414,398,404,404,362,395,292,251,372,327,452,404,251,414,452,414,329,411,128,255,384,329,291,274,227,343,237,398,432,161,366,364,274,404,251,140,219,209,160,291,327,219,177,203,452,160,117,316,160,251,337,154
395,416,329,390,452,291,450,442,343,398,364,316,391,395,316,392,414,255,450,395,362,414,478,402,450,414,251,432,404,343,421,404,392,362,442,274,408,390,406,432,452,450,404,366,362,372,255,362,160,237,237,386,203,404,291,396,329,177,251,140,105,154,390,117,251,160,129,32,209,292,154,396,54,117,237,255,118,413,237,337,291,212,237,329,219,194,421,316,337,404,406,118,316,237,251,291,414,402,329,414,414,274,384,414,320,478,406,450,406,386,404,452,396,414,450,386,390,220,337,432,355,452,372,291,402,478,251,391,421,391,402,416,396,404,291,355,398,478,343,343,251,384,392,414,386,261,237,337,274,406,251,320,105,404,211,219,58,237,203,355,404,316,86,411,414,337,251,364,398,402,128,227,329,404,237
411,442,366,421,194,329,402,408,406,421,364,414,386,316,402,411,362,355,414,432,406,329,450,343,452,396,251,392,316,432,411,372,364,478,402,421,372,384,392,413,411,402,337,211,237,398,386,117,337,154,404,255,160,209,316,177,274,118,154,251,203,161,154,395,255,54,140,219,129,128,219,67,291,105,160,291,355,392,274,255,219,86,274,364,336,212,140,406,251,194,372,160,203,391,251,194,404,316,421,411,386,219,452,364,411,343,411,366,316,411,251,364,414,372,411,421,398,402,406,411,355,478,392,395,406,337,395,404,413,386,411,362,391,292,320,392,364,337,274,416,291,366,432,337,209,413,414,390,364,391,432,122,398,291,212,227,337,67,251,223,316,421,203,251,316,251,251,336,362,219,414,251,414,392,251
386,364,386,413,362,413,395,414,442,402,432,452,413,390,337,452,406,395,432,416,414,452,413,261,161,364,386,406,355,450,386,411,343,386,362,336,343,452,421,402,442,406,452,404,337,355,404,316,292,320,343,251,364,261,390,160,194,391,140,237,203,411,291,140,237,364,36,194,227,160,223,118,251,177,183,194,251,118,203,251,237,160,160,209,386,251,343,203,274,402,390,191,343,404,227,362,414,194,329,343,404,251,362,392,404,432,355,364,396,255,386,362,362,406,413,160,411,316,386,384,372,450,413,386,327,413,411,402,404,372,396,442,251,362,366,421,411,452,392,140,406,406,421,396,251,452,251,261,390,237,227,117,237,251,203,160,413,255,237,209,364,219,54,209,274,105,316,355,343,212,337,396,194,329,316
343,398,416,402,392,450,413,251,450,362,386,395,343,408,413,390,355,413,384,396,316,450,414,478,416,452,316,398,411,395,362,421,404,414,450,402,362,320,452,337,396,452,343,450,408,395,251,414,421,337,421,274,327,255,337,160,411,227,160,220,161,291,67,86,203,251,177,251,251,86,88,261,160,274,274,316,316,336,160,411,237,337,128,372,177,251,251,421,432,274,386,406,251,251,408,316,372,329,398,432,343,316,392,355,329,421,291,414,416,386,396,411,390,404,402,364,364,343,414,421,329,355,329,414,421,386,237,395,364,396,320,329,421,406,398,395,432,432,343,292,416,432,396,337,391,118,442,337,227,251,128,395,421,219,219,251,336,209,452,355,128,450,220,386,291,291,128,219,320,316,118,442,160,237,320
