x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
86,117,194,414,128,255,404,194,343,105,414,251,219,183,255,88,117,118,140,86,274,88,117,478,88,442,52,421,414,251,36,203,452,478,88,67,88,160,219,140,364,421,255,364,219,86,58,160,414,251,442,219,251,237,291,219,291,160,404,255,355,355,251,478,355,386,237,364,54,386,62,386,364,36,160,274,3,88,160,404,88,395,251,117,209,478,452,4,255,6,491,491,386,160,32,105,404,105,386,52,160,54,128,117,88,160,54,183,251,160,129,414,183,316,251,54,67,52,129,160,128,52,404,251,421,227,117,183,316,36,3,209,58,414,54,414,67,355,432,452,88,177,414,160,251,211,442,105,274,183,88,343,442,62,194,86,117,251,183,274,67,402,432,386,128,255,67,183,386,117,52,411,177,118,54
251,86,203,452,183,395,194,432,442,160,491,67,219,160,122,395,86,219,255,62,4,3,117,154,160,117,251,219,219,118,54,67,343,211,432,491,122,52,251,160,54,362,129,105,421,316,160,67,183,364,442,183,402,316,67,251,54,316,237,117,117,227,67,450,227,255,362,117,211,118,209,251,6,432,154,3,54,316,452,67,251,386,160,160,414,364,251,54,3,251,251,183,54,255,251,128,316,251,36,62,404,255,32,442,362,67,452,316,452,209,432,117,491,118,62,32,329,402,36,386,177,203,251,128,364,395,414,491,421,219,62,316,154,478,237,54,255,404,128,237,395,414,404,251,251,219,36,237,67,251,118,414,386,251,88,402,414,54,255,219,52,251,128,67,122,160,36,274,122,386,54,129,402,160,128
404,183,105,211,54,88,160,128,54,452,255,32,36,316,3,291,251,402,52,450,421,414,194,421,54,421,36,478,255,432,54,154,227,32,491,118,54,442,395,450,194,117,128,88,36,62,362,386,432,219,386,32,364,160,411,117,386,54,255,36,71,450,402,491,478,194,316,274,414,54,117,117,362,450,160,386,194,337,154,54,67,3,274,227,88,450,117,140,183,343,183,316,6,219,67,183,67,3,219,211,364,128,237,386,491,255,478,128,88,88,62,211,88,442,140,450,105,211,251,88,291,404,118,177,255,36,160,251,402,177,128,36,52,86,129,62,160,203,4,251,160,255,54,395,404,6,251,105,140,4,160,203,251,118,117,67,203,343,183,86,211,118,122,54,414,251,402,117,6,154,251,183,432,227,194
291,452,177,52,128,105,36,67,478,251,251,128,255,452,402,404,160,36,194,452,402,62,160,194,478,105,129,160,177,421,364,478,219,414,88,117,219,237,329,88,251,122,128,251,183,203,177,36,211,432,255,402,54,211,421,36,86,364,211,62,62,452,160,36,52,442,67,6,4,54,274,203,219,128,411,404,3,128,404,54,154,194,402,118,421,316,183,362,88,386,209,203,237,160,154,404,251,105,58,67,316,4,129,36,209,54,255,219,128,329,117,478,117,386,105,364,54,251,255,421,4,452,442,316,4,183,154,386,251,118,227,54,395,432,194,432,255,442,251,491,62,432,251,71,122,160,478,129,211,364,183,209,58,177,211,154,4,478,160,237,432,386,36,219,194,255,343,67,316,3,4,251,140,404,421
67,442,251,194,386,105,160,251,251,3,491,67,117,478,54,421,255,32,251,255,404,337,442,411,117,450,414,251,160,251,128,316,140,194,255,402,4,227,36,67,154,154,105,329,36,211,183,255,414,88,88,452,209,219,251,478,67,86,62,237,140,117,117,67,251,118,194,177,160,237,160,88,227,88,117,54,86,4,160,491,316,54,491,62,128,251,386,32,118,237,160,128,251,52,355,88,117,140,237,36,414,140,52,432,343,4,160,411,4,478,452,432,452,160,118,404,450,67,251,58,316,255,251,362,36,337,316,219,6,478,36,227,3,404,6,88,160,211,432,251,6,160,364,67,386,54,52,251,4,183,442,62,183,402,67,6,402,67,255,478,54,478,128,36,316,227,203,251,67,432,67,117,432,71,414
414,450,237,6,227,237,183,183,88,452,160,414,62,251,58,140,316,71,251,450,71,251,105,251,291,203,411,478,329,71,54,255,316,194,291,386,442,54,402,58,251,58,255,364,432,227,362,67,386,88,442,177,442,329,67,450,160,491,478,140,128,54,154,251,227,291,414,402,88,251,491,88,227,251,67,4,219,32,251,432,32,67,88,140,491,255,402,67,442,117,450,316,154,414,452,183,36,478,227,227,227,117,251,154,414,183,6,237,62,227,71,404,219,62,452,432,36,442,67,160,421,251,414,203,67,160,404,255,395,316,160,237,491,450,209,395,105,67,54,251,442,3,274,237,404,4,211,237,291,219,414,54,450,86,219,255,316,421,211,402,255,251,251,395,54,54,411,274,128,128,452,237,128,478,3
402,452,52,251,452,355,432,67,54,386,355,118,154,67,177,183,414,194,402,255,274,154,128,404,54,4,432,355,183,67,32,432,251,251,452,3,86,128,251,478,183,478,128,491,432,316,128,404,402,160,118,386,128,58,88,160,491,54,452,255,183,160,160,54,128,411,219,140,255,118,105,251,117,442,183,160,291,274,194,255,432,251,478,160,450,194,402,88,54,154,211,329,105,452,219,211,58,255,183,118,4,160,203,316,414,291,86,177,450,3,362,274,411,67,251,386,478,62,86,54,404,478,364,32,343,86,316,251,414,88,160,118,71,122,251,219,54,194,67,316,414,203,160,251,362,478,140,122,3,452,117,395,203,251,36,129,452,291,411,58,364,386,237,411,86,160,251,478,105,364,255,52,118,67,88
491,117,88,386,36,86,177,160,105,86,478,414,386,452,52,160,67,478,160,36,88,337,414,491,140,402,54,432,128,183,140,36,4,160,478,421,255,316,386,154,203,67,194,86,274,6,452,237,316,32,67,337,432,62,3,442,316,122,67,251,67,177,219,355,237,117,432,117,71,386,86,86,209,251,386,128,117,364,404,355,251,452,386,255,251,452,251,118,237,58,6,88,160,251,432,118,128,211,452,54,67,316,88,255,4,402,343,386,255,251,212,86,183,355,3,194,237,251,183,255,316,227,414,386,251,255,337,128,219,58,52,177,67,452,329,54,404,478,411,117,402,3,67,237,154,117,128,67,209,88,386,452,52,316,355,209,432,160,36,122,105,62,251,316,129,67,117,491,67,36,255,67,203,364,54
194,362,62,160,452,36,450,432,67,219,117,54,160,194,54,183,386,36,432,219,88,291,491,251,442,386,32,414,274,88,411,291,183,117,432,54,316,203,329,432,478,452,337,219,212,237,128,251,36,117,117,404,86,452,251,450,386,117,255,88,54,88,452,67,386,160,117,3,251,432,122,491,32,67,337,402,67,491,291,414,364,183,211,386,154,117,478,251,255,421,421,4,194,67,88,122,414,364,128,404,386,67,183,386,67,491,316,442,291,160,255,478,227,364,450,140,183,32,88,414,122,452,160,54,251,491,36,203,404,203,251,404,251,316,58,128,251,491,140,118,54,209,251,411,251,88,62,183,128,411,86,177,3,414,67,86,3,118,67,337,432,251,4,452,478,355,183,402,432,442,52,160,316,452,160
255,421,118,395,3,54,251,255,251,402,118,337,160,52,251,274,105,88,386,402,255,67,452,88,452,227,36,177,54,404,316,140,118,491,251,402,154,154,219,386,355,316,128,36,58,362,274,3,251,36,432,177,54,117,355,71,316,54,105,251,183,154,117,478,402,6,118,251,117,88,251,36,414,58,160,402,442,478,362,255,203,32,291,414,329,122,52,432,160,62,274,32,54,316,67,36,386,117,432,386,209,32,478,154,386,129,329,140,62,316,36,128,362,154,316,402,219,251,251,316,117,478,203,219,316,88,219,291,362,160,329,129,211,54,86,219,160,117,67,414,67,183,442,154,36,414,432,274,251,337,478,6,402,183,71,117,251,3,129,118,237,478,86,183,251,203,203,316,386,154,452,194,452,414,183
118,86,160,337,88,343,209,364,421,237,402,452,274,160,67,452,291,209,411,343,362,450,386,36,3,117,154,251,105,432,154,316,88,160,122,86,105,452,414,251,450,362,478,364,177,211,402,160,160,219,251,160,386,237,432,67,118,452,67,251,183,491,402,105,255,452,3,212,343,154,255,86,364,183,154,183,274,58,160,251,237,67,67,128,404,209,355,67,203,404,329,52,219,386,54,211,404,6,117,140,291,52,129,219,316,432,117,129,251,52,160,122,118,316,343,3,316,62,177,154,154,442,364,160,67,364,329,251,255,160,251,432,36,117,160,421,395,478,219,3,364,386,414,316,54,478,67,117,291,71,71,4,105,128,58,36,442,160,122,88,364,118,3,105,211,6,251,362,343,118,343,421,71,274,251
58,227,402,227,194,442,337,32,450,88,128,194,67,316,362,154,88,316,128,212,58,442,362,491,364,478,54,211,274,209,118,402,255,386,442,251,122,67,478,88,237,491,140,452,402,316,86,432,452,237,452,203,255,251,355,67,478,219,88,227,118,386,36,36,194,316,177,316,386,52,54,411,140,404,404,404,386,411,117,478,219,402,54,414,67,194,160,478,478,160,316,414,88,86,414,128,237,118,255,432,118,62,219,129,86,414,54,402,404,160,227,355,177,251,255,128,128,88,364,402,67,117,71,395,402,194,32,219,140,237,67,67,414,316,251,251,432,432,128,67,421,432,255,160,251,3,452,160,67,88,4,362,442,86,67,129,237,67,491,316,32,491,117,386,227,227,36,122,255,251,36,491,58,160,255
6,203,52,4,251,452,160,251,54,452,154,58,128,154,411,432,6,442,183,140,160,421,67,88,177,194,402,432,404,194,4,62,255,4,274,140,54,71,128,54,212,71,194,402,194,52,129,251,362,402,52,491,67,52,404,71,117,432,86,105,291,160,105,237,452,118,251,432,316,62,329,414,3,255,117,237,432,237,203,62,36,128,491,404,362,450,183,414,386,54,54,140,154,67,452,194,251,251,117,54,160,194,203,343,255,411,355,117,62,4,86,450,54,255,411,237,432,404,386,211,219,129,478,183,404,4,219,255,450,452,118,364,88,194,251,211,203,160,421,86,88,212,362,117,452,237,58,402,117,251,491,117,117,227,404,395,343,291,54,6,154,237,88,160,432,219,160,402,4,237,160,154,36,316,251
129,67,237,414,183,117,355,386,452,251,255,386,62,160,54,255,414,183,58,251,105,211,478,411,36,58,237,491,450,54,219,54,404,237,414,237,386,404,183,414,160,251,54,452,329,36,154,227,194,67,117,194,291,88,3,386,237,414,316,491,105,442,54,32,203,32,86,6,227,364,251,251,386,362,140,442,54,491,362,58,194,117,251,160,386,386,337,404,411,364,432,36,32,251,450,4,52,62,386,67,36,442,411,67,54,404,251,3,414,364,478,432,355,88,86,203,118,251,251,122,203,227,432,54,386,88,450,3,183,67,52,219,54,209,291,67,442,67,54,36,203,160,255,450,67,54,251,251,274,211,128,4,203,6,183,411,452,251,160,414,140,450,160,251,255,58,251,88,54,32,316,255,211,117,54
