x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
409,468,322,38,322,198,115,470,322,468,397,397,146,468,322,210,397,468,291,150,291,468,409,468,150,150,198,309,468,117,309,200,322,362,322,322,291,247,397,291,322,470,362,38,476,85,468,17,150,150,200,266,150,362,150,362,362,198,470,115,291,409,232,150,38,232,247,38,38,362,291,200,38,17,115,38,17,309,200,150,362,291,232,115,198,309,115,198,409,397,247,470,397,470,468,150,150,322,309,398,200,309,38,397,232,60,397,247,247,117,468,476,117,468,398,468,232,468,247,397,198,60,398,200,476,409,470,115,198,445,291,362,468,470,468,117,409,397,117,398,85,247,397,210,150,210,210,115,198,397,322,322,150,198,409,115,17,117,17,398,85,398,117,291,150,85,38,117,210,397,34,468,322,85,117
409,468,247,198,247,476,38,198,476,398,398,470,210,247,468,397,397,468,470,397,266,362,362,398,470,200,247,291,117,468,409,38,324,324,468,468,291,60,117,291,117,60,397,362,470,362,247,362,117,362,200,362,266,85,397,247,115,200,200,115,232,38,38,362,117,247,210,291,247,115,309,115,232,266,117,17,115,398,309,397,23,85,150,397,60,115,60,247,38,232,247,247,397,117,470,468,291,38,322,468,470,38,397,322,247,397,232,397,398,362,362,397,476,247,85,398,398,362,150,247,398,117,468,291,117,117,476,362,38,409,198,198,397,468,398,150,476,398,362,397,468,470,445,445,397,115,291,200,198,397,247,409,322,150,38,266,266,17,398,200,232,398,397,322,468,85,85,85,85,247,150,38,362,468,247
476,247,322,445,468,198,445,210,397,409,470,210,468,476,309,150,362,150,397,266,470,38,409,470,266,322,398,322,38,247,247,247,291,146,85,200,200,117,85,200,85,198,117,200,115,468,362,324,468,200,85,17,362,210,38,232,115,397,117,232,85,468,117,470,247,117,322,117,38,397,23,115,397,200,200,322,232,200,150,397,397,115,232,309,232,115,38,247,397,85,247,247,38,85,362,200,198,200,322,198,291,397,198,200,468,398,117,397,60,38,117,397,232,247,468,198,398,398,362,309,362,117,468,470,470,362,362,397,445,291,115,398,115,397,398,397,117,362,247,198,468,322,198,200,397,291,115,397,322,362,150,398,470,115,409,476,476,117,362,17,85,266,200,200,247,398,322,322,247,17,38,146,397,247,397
476,476,150,445,150,397,470,60,291,60,409,247,397,477,38,85,470,60,409,409,468,397,266,409,38,150,398,38,210,468,409,85,146,324,324,362,324,324,324,38,362,60,38,362,324,150,322,150,324,409,468,324,17,232,150,322,470,247,115,85,85,150,117,34,232,247,232,85,85,397,322,200,198,324,324,232,17,38,398,150,309,468,60,38,85,60,198,409,60,117,470,291,397,38,291,38,200,468,291,291,398,198,322,397,200,232,398,470,322,476,470,409,409,470,470,409,247,85,409,85,468,476,200,322,291,117,468,117,398,291,398,38,38,476,291,324,362,85,398,476,291,468,200,198,150,468,150,322,115,247,476,362,322,247,409,409,200,476,322,85,322,17,397,291,468,200,74,322,117,17,17,322,322,397,60
470,60,470,150,470,291,198,397,150,210,409,468,397,477,470,362,470,266,409,85,150,470,476,150,38,476,291,38,322,409,210,470,146,397,324,291,362,85,362,200,324,38,150,200,60,468,115,324,362,397,397,322,198,117,232,322,409,17,17,409,291,409,115,232,210,34,38,397,38,117,397,266,38,198,17,115,115,232,23,200,200,23,291,232,85,115,291,409,232,470,60,38,291,362,117,247,85,38,200,247,398,322,322,470,398,232,470,60,60,476,468,247,476,210,470,362,362,324,470,247,60,476,398,200,309,322,468,324,445,362,445,397,38,476,476,468,322,362,324,324,445,362,291,198,476,468,322,247,468,115,476,38,38,85,38,322,17,232,266,266,200,85,17,232,210,468,200,247,17,150,198,60,322,362,476
476,470,247,445,60,470,468,247,397,409,476,476,468,85,409,309,150,468,150,291,85,247,468,38,470,470,362,362,362,60,198,470,146,362,247,470,362,397,200,397,397,322,324,468,200,322,60,468,362,60,468,232,322,210,362,117,397,470,398,85,198,468,198,210,117,115,117,247,23,60,117,38,322,322,198,17,115,150,232,200,115,291,23,38,324,468,266,322,117,247,117,468,468,117,470,85,291,470,198,397,291,60,60,117,476,476,397,397,468,247,397,322,247,309,247,476,210,324,397,470,470,309,409,309,362,470,200,324,200,470,445,476,291,476,324,117,117,398,198,470,476,409,150,397,200,468,322,200,409,398,409,200,150,476,398,291,409,476,291,117,398,266,232,17,34,468,150,150,322,198,150,468,266,60,17
247,470,445,247,362,470,291,247,150,468,266,468,468,470,247,468,409,476,397,247,468,468,470,362,468,115,210,362,115,198,322,324,468,198,470,362,397,470,409,470,362,362,117,200,247,397,322,247,322,362,468,397,150,324,397,117,17,397,291,198,85,115,34,198,115,38,397,468,409,247,324,324,322,146,17,397,200,232,266,324,468,324,146,309,38,409,324,247,117,74,38,409,468,200,247,85,309,309,247,200,38,291,291,291,200,117,247,322,291,468,247,470,362,247,409,150,409,150,200,397,85,85,409,200,200,291,150,409,291,409,324,324,38,468,324,322,198,309,362,150,150,476,470,198,198,291,322,362,291,115,397,397,60,117,362,409,309,322,322,198,117,291,398,322,34,198,210,210,291,117,210,445,200,200,200
409,200,397,477,362,247,445,60,150,468,247,247,470,409,468,470,198,198,247,322,468,309,324,309,291,468,291,115,470,198,60,247,198,291,398,470,150,150,150,324,468,322,397,468,232,85,247,117,38,324,198,198,150,85,117,85,210,397,198,322,34,409,34,232,409,324,324,150,397,397,468,17,198,38,115,266,38,397,397,397,232,85,309,309,322,322,60,247,247,409,470,38,362,200,200,38,476,247,85,409,200,470,397,476,468,398,476,397,38,117,322,470,362,247,409,232,398,362,324,200,397,60,291,468,150,362,409,476,17,291,150,468,468,38,117,309,398,150,397,397,198,150,150,468,468,476,409,247,468,38,468,468,85,409,398,60,200,266,198,74,74,38,291,291,397,74,398,468,117,117,247,210,17,397,362
445,232,409,409,477,397,477,397,38,291,470,409,397,470,309,409,247,309,322,362,85,198,115,291,470,476,291,150,38,247,468,309,468,398,198,17,117,38,38,200,60,117,362,85,60,38,210,38,322,470,210,470,85,324,117,291,468,85,468,309,34,34,468,38,232,397,38,38,247,247,322,470,468,247,322,266,146,324,397,150,324,324,397,468,150,38,322,362,362,117,468,74,115,115,85,362,476,150,362,468,115,397,470,476,468,200,291,38,322,247,397,468,398,309,398,362,291,468,468,397,397,476,470,150,409,470,397,150,200,409,146,291,115,247,445,476,470,476,150,362,362,291,468,468,247,85,247,115,247,409,409,115,38,200,60,117,85,362,322,200,409,476,198,74,398,470,398,409,322,409,397,247,397,115,247
470,150,362,476,445,397,397,476,409,468,291,476,409,468,362,232,150,397,477,477,198,291,477,397,398,476,247,247,150,322,115,150,60,60,198,117,398,362,470,150,468,38,247,397,468,150,468,468,60,38,247,324,210,247,470,291,409,398,85,150,117,232,85,468,210,210,38,409,324,322,247,115,115,198,470,397,324,324,266,150,468,23,198,210,468,117,409,468,117,38,200,38,468,470,115,362,85,476,309,470,468,291,117,470,470,200,322,291,322,398,362,200,309,38,445,409,476,291,468,200,476,476,470,468,476,468,409,476,322,200,150,409,476,445,398,398,291,468,409,470,468,309,398,397,309,476,150,362,150,85,476,200,476,38,398,476,85,291,291,409,117,476,362,409,362,198,38,362,198,150,362,74,409,409,445
