x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
200,198,200,85,291,409,409,397,397,117,470,232,362,210,398,146,150,150,236,117,291,74,85,476,115,476,51,476,470,371,51,397,476,476,17,17,74,200,362,210,210,409,398,468,397,150,146,200,445,375,409,200,200,324,324,324,85,117,375,398,397,468,309,409,409,468,371,371,85,470,85,398,409,60,291,322,38,117,198,468,85,146,397,96,232,468,398,74,210,74,476,476,247,476,60,115,409,409,409,74,183,96,200,146,146,150,85,210,309,146,117,409,409,60,232,115,362,60,183,150,150,85,468,183,468,397,397,183,236,38,38,115,115,468,85,397,200,150,409,476,117,200,468,322,397,470,470,74,397,210,210,468,470,183,375,85,76,247,117,236,117,398,398,150,146,322,150,371,468,117,85,476,232,247,117
373,198,232,200,322,409,232,468,468,198,198,117,232,210,17,232,146,117,397,85,74,38,85,146,445,115,373,373,373,117,115,115,398,266,476,17,76,76,398,362,200,409,236,398,445,397,85,85,375,397,375,200,117,398,324,150,60,266,266,117,117,322,85,470,468,198,232,198,371,85,150,373,60,409,291,38,111,397,468,85,200,210,146,146,468,362,322,74,38,309,309,309,476,397,398,60,210,409,468,74,309,309,74,409,409,85,476,373,409,146,468,85,468,85,51,38,362,375,38,375,183,183,85,114,85,398,398,476,398,183,60,373,85,476,373,398,200,409,150,200,60,468,409,397,322,198,38,232,114,232,232,468,470,409,114,397,397,247,236,183,115,183,117,117,200,198,17,397,115,150,85,210,468,371,247
409,117,398,51,74,232,115,115,74,500,322,60,60,398,17,17,198,38,38,476,476,38,398,409,115,468,115,476,476,468,38,371,266,38,476,96,198,468,468,468,371,200,200,117,38,85,445,398,468,373,397,38,397,445,445,150,445,60,362,115,115,468,322,468,470,324,232,371,371,85,117,150,397,476,322,291,322,362,198,85,111,60,468,210,111,468,198,198,198,309,200,409,74,397,85,445,117,445,397,183,96,85,183,322,85,373,476,183,115,60,60,146,85,322,115,397,51,324,324,115,309,397,85,85,210,60,210,117,236,114,85,38,85,146,146,117,17,146,17,322,362,397,114,198,468,38,198,114,114,17,362,375,375,114,115,247,236,409,146,146,183,74,117,38,362,183,397,115,236,60,210,247,470,371,371
397,470,291,74,115,51,371,74,500,322,236,85,236,476,398,232,85,17,236,476,476,114,150,236,468,373,198,210,198,85,409,117,247,468,150,150,96,200,397,115,371,397,397,236,200,324,150,38,232,468,236,375,38,371,445,85,150,397,60,115,115,468,117,38,38,397,232,38,38,291,309,200,60,150,409,96,38,198,468,210,117,232,398,117,198,247,198,362,115,362,397,247,397,397,117,445,398,38,85,60,291,60,247,60,60,74,74,146,362,409,115,468,322,322,146,375,51,397,324,375,38,397,397,236,115,117,117,183,150,60,150,60,409,468,322,409,322,445,322,476,96,398,397,114,146,198,500,200,375,409,362,362,115,232,117,115,38,500,146,146,409,200,115,200,210,198,210,60,210,38,60,210,198,373,409
291,398,291,146,371,51,117,111,322,38,500,85,150,470,476,60,117,17,17,398,398,397,409,291,150,353,409,210,198,353,398,398,232,232,397,362,38,198,38,362,397,198,117,371,409,150,150,324,371,117,115,38,200,371,476,476,476,362,85,398,85,115,74,38,146,76,117,85,291,309,291,146,247,146,150,38,60,38,198,476,210,85,476,111,200,210,398,198,115,150,200,210,397,115,397,210,117,198,291,60,398,96,85,150,397,60,150,362,17,470,115,468,468,198,210,371,398,146,309,183,322,362,322,236,60,210,210,210,17,398,17,236,17,409,409,117,96,322,445,398,17,362,17,115,468,38,38,375,17,398,470,115,198,247,198,38,468,60,409,468,74,468,115,38,247,210,198,247,60,397,146,232,470,371,470
409,409,198,38,291,397,198,111,111,476,210,470,85,247,60,117,397,74,198,17,74,236,114,291,150,146,468,115,247,74,38,371,371,232,397,397,398,74,362,38,362,85,324,371,409,150,398,85,371,115,409,200,409,375,150,476,375,500,266,85,85,74,85,362,111,146,398,398,60,362,470,60,198,309,96,38,96,476,324,476,476,85,117,247,476,362,397,38,150,362,468,247,232,476,476,309,476,476,210,210,247,85,247,150,398,398,17,309,150,309,183,398,309,146,468,468,409,468,232,232,362,236,398,150,96,397,397,397,398,362,146,362,247,468,322,476,85,96,38,322,500,17,397,373,468,38,232,232,409,397,470,114,500,500,247,232,236,476,115,397,236,210,200,51,115,60,397,247,150,247,409,232,150,470,74
398,409,38,232,409,409,409,74,51,111,409,210,247,117,146,117,468,198,398,198,397,114,236,409,38,38,468,353,17,76,17,468,210,371,409,38,74,398,362,476,117,476,146,476,409,85,85,373,373,183,210,397,409,150,17,373,468,150,17,476,397,111,111,60,111,398,198,146,397,146,85,198,76,397,96,309,198,322,397,397,468,322,468,247,111,210,397,150,210,150,150,232,150,476,309,198,150,210,150,96,74,468,322,397,409,397,114,309,476,17,398,398,398,146,362,210,476,198,198,146,362,468,397,60,183,85,324,210,398,117,150,198,198,200,200,200,60,324,38,468,500,397,322,362,409,500,183,115,17,500,60,247,247,398,85,232,115,468,468,51,397,236,60,232,115,60,322,476,150,398,398,85,117,117,115
470,38,111,409,111,146,200,476,115,111,291,445,445,476,111,232,115,468,146,150,183,409,470,236,291,51,51,468,74,76,76,17,17,210,445,409,397,200,200,115,117,85,200,117,247,198,398,236,373,409,146,150,476,51,17,17,470,371,17,362,51,362,362,74,397,60,398,146,397,470,85,76,150,397,362,146,146,322,397,324,38,468,398,322,324,398,322,247,362,60,468,60,115,309,468,198,468,150,500,74,74,322,150,322,38,468,409,476,362,371,309,373,397,397,17,146,409,375,198,324,324,324,398,397,183,198,324,445,198,115,85,150,247,470,322,60,470,476,85,183,476,38,353,322,198,183,183,150,60,60,468,468,38,397,398,60,476,115,38,85,60,51,232,409,200,210,183,476,470,85,398,76,115,373,371
362,232,470,232,476,74,470,397,115,397,232,117,476,247,111,146,398,115,468,183,74,397,476,373,470,373,111,232,210,74,409,353,198,210,409,60,322,198,232,445,322,476,398,117,117,117,51,236,146,117,117,470,500,500,397,470,470,117,17,51,51,60,476,60,409,198,198,17,85,468,60,470,60,114,114,409,146,468,397,397,397,117,198,398,322,74,398,200,397,468,468,60,115,115,115,76,468,445,117,500,470,468,322,468,74,476,362,476,409,291,17,38,398,291,232,232,232,17,322,397,150,468,146,96,96,468,51,117,445,150,236,476,247,322,60,362,146,470,117,373,38,353,353,409,232,198,150,500,115,468,51,38,38,468,85,85,476,115,85,232,398,200,17,115,468,398,322,470,476,476,76,373,362,398,371
362,470,115,470,38,74,200,210,470,397,115,409,409,85,232,409,115,232,445,468,397,146,476,150,476,198,51,76,51,210,353,85,85,445,150,398,146,198,200,470,445,398,146,74,74,198,398,51,397,60,470,322,210,232,445,117,470,198,51,85,247,247,74,476,409,17,409,373,200,85,150,60,397,114,115,409,468,309,397,198,146,74,322,476,476,146,17,398,117,74,373,38,76,362,210,38,445,470,500,470,398,74,114,117,409,85,362,115,236,150,17,115,371,115,371,371,232,232,322,247,150,468,146,324,398,85,397,397,445,150,398,236,322,74,74,117,266,146,322,476,470,322,468,146,96,470,398,398,232,397,397,38,398,236,60,468,397,17,247,117,232,470,17,236,397,362,117,183,470,85,476,362,476,373,232
