x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
397,468,362,38,322,162,60,468,322,468,362,362,117,476,322,210,397,468,291,150,291,500,445,445,150,85,232,291,445,117,322,183,291,322,362,322,291,266,409,291,291,468,322,60,468,60,468,60,150,150,183,266,183,362,150,362,362,210,468,117,266,409,232,150,17,210,266,17,60,347,291,183,17,60,85,17,17,322,210,117,397,291,210,117,210,322,60,232,445,375,232,476,397,445,445,183,117,322,291,429,210,322,17,397,247,60,397,266,210,117,468,468,150,468,397,445,247,476,247,429,210,85,362,183,476,409,476,117,210,476,322,362,468,445,445,117,409,362,117,362,85,232,362,232,150,232,210,117,183,397,322,322,150,232,429,150,17,117,17,429,117,397,117,280,198,38,38,150,210,362,17,468,362,85,85
397,468,247,210,247,500,60,162,500,409,362,476,200,266,468,397,429,468,468,397,291,397,397,445,500,232,247,291,117,445,445,17,322,362,445,445,291,17,117,291,150,60,409,362,409,362,247,362,117,347,183,347,266,60,429,266,117,210,210,150,266,38,38,322,85,266,210,322,266,150,322,117,266,266,85,17,150,397,291,397,17,85,150,397,38,117,38,266,85,232,232,266,309,117,476,476,291,38,322,476,476,17,397,291,247,397,210,397,375,362,291,362,468,247,85,445,397,362,150,247,429,85,500,291,183,117,476,322,17,409,210,210,397,409,362,150,476,362,362,362,476,476,429,429,397,117,322,210,210,362,266,429,322,150,17,266,266,17,397,198,247,397,397,330,445,117,117,85,85,247,210,38,322,468,247
468,247,322,445,468,210,409,210,362,362,476,247,476,476,362,198,322,198,397,266,468,17,397,445,291,322,445,291,38,247,247,232,291,150,85,210,210,85,85,200,85,210,150,247,150,468,362,322,445,232,85,17,347,183,17,210,60,429,150,266,117,429,85,468,232,117,322,150,17,429,17,117,347,183,210,322,210,150,183,397,362,150,210,291,247,85,17,232,362,85,266,232,38,85,362,183,183,210,322,183,322,429,183,183,468,397,117,375,60,38,117,397,210,266,476,150,429,362,362,322,362,85,500,500,445,409,362,362,409,280,117,445,117,397,445,397,150,362,291,178,476,322,232,178,362,322,85,397,347,397,150,397,500,117,429,468,468,85,362,17,85,280,198,232,232,397,330,330,247,17,17,150,362,232,362
468,468,162,445,162,409,468,117,266,60,409,247,397,476,17,117,500,85,445,397,445,397,266,445,38,150,397,38,232,445,397,74,150,322,322,362,362,322,322,17,362,17,17,362,322,150,322,183,347,445,468,291,17,232,117,322,468,266,117,117,117,150,150,38,266,247,247,117,150,409,322,247,247,347,322,291,17,60,397,117,362,468,38,38,85,38,183,397,60,150,445,309,362,38,291,38,183,476,291,322,429,183,362,397,247,247,429,468,322,476,468,397,397,476,476,429,266,60,429,85,476,476,183,322,266,117,476,117,409,266,409,17,17,476,291,322,362,60,429,429,291,429,178,210,178,476,117,347,85,210,500,362,362,210,429,429,232,429,330,85,330,17,397,280,445,150,85,330,150,85,17,291,322,362,60
468,60,468,162,468,291,162,409,162,247,409,476,397,476,397,362,476,309,445,85,150,445,476,150,38,476,247,38,322,397,232,476,150,362,322,247,409,85,362,210,309,60,150,183,60,445,117,309,347,409,409,347,183,85,232,266,397,17,17,429,291,397,150,266,150,38,38,409,38,117,397,266,38,247,17,183,117,291,17,150,210,38,210,247,117,85,291,429,232,445,60,38,291,362,117,247,117,38,210,291,429,322,322,429,375,247,468,38,117,476,468,266,445,210,476,347,322,322,476,247,60,500,397,183,322,322,476,322,476,322,476,362,85,476,476,468,322,362,322,353,476,353,322,210,476,476,347,266,476,117,476,38,38,38,38,362,17,266,266,247,198,38,38,280,210,445,210,247,17,117,210,85,291,362,468
468,445,247,445,60,500,468,266,362,409,476,476,476,117,429,309,117,476,150,322,85,266,468,17,500,500,322,397,322,74,198,476,150,362,247,476,322,409,247,409,409,309,309,468,183,309,38,476,347,60,445,232,266,210,347,117,397,468,397,60,210,468,210,210,150,85,117,247,17,38,38,85,322,322,183,17,117,150,210,150,60,291,38,60,291,476,247,362,150,247,85,476,445,117,445,85,247,445,183,362,291,60,60,117,429,468,397,397,468,210,397,266,266,322,210,445,210,322,429,476,429,322,409,322,362,500,210,322,183,476,445,476,291,476,362,85,150,429,210,476,429,476,150,409,210,476,322,178,429,362,397,210,150,476,362,291,429,468,291,117,362,232,232,17,38,445,150,150,330,198,117,445,291,85,17
247,429,468,247,330,445,266,266,162,476,266,476,476,476,266,445,397,500,397,247,445,476,445,362,468,150,150,322,150,232,322,322,476,198,476,409,409,445,409,476,347,309,117,150,232,409,322,232,291,347,445,409,150,347,445,117,17,397,322,150,60,117,17,210,117,38,409,468,409,247,322,322,322,117,17,445,210,210,291,291,468,322,117,322,60,429,322,247,117,85,38,429,445,150,247,85,322,322,247,210,60,247,291,291,198,117,266,322,266,468,266,468,347,266,397,150,397,150,210,429,60,117,397,247,247,291,150,397,266,445,322,322,17,445,322,322,210,291,362,150,150,476,476,210,150,266,322,362,322,85,397,362,38,117,362,429,362,291,291,232,117,280,445,330,38,210,210,210,330,85,198,445,198,210,210
397,210,397,500,397,247,445,60,162,476,232,232,476,397,476,476,210,150,247,322,445,322,322,291,291,468,322,74,476,150,74,291,232,291,362,476,150,117,150,347,445,309,409,445,232,117,232,117,38,322,210,210,117,85,150,117,210,397,210,322,60,397,17,247,409,347,309,150,347,347,468,38,183,17,117,291,60,397,397,397,291,60,266,291,322,291,60,247,247,445,476,38,362,198,198,17,445,247,60,445,210,468,397,468,468,397,468,397,38,183,322,476,362,247,468,247,397,347,347,183,397,60,247,429,150,353,429,500,38,266,210,445,468,17,150,322,362,150,397,397,150,210,150,476,445,476,429,247,500,17,429,429,117,429,362,85,183,291,162,117,85,38,280,280,397,85,397,397,85,150,247,247,38,362,362
429,210,397,397,500,397,476,362,60,322,500,429,347,476,309,429,247,309,309,397,85,198,117,291,409,468,322,150,17,247,445,291,476,445,150,17,117,74,74,183,38,74,347,74,38,38,232,38,322,476,210,445,60,322,117,266,445,85,468,291,17,60,468,60,210,362,38,85,266,266,322,468,468,247,322,247,150,291,397,150,322,322,409,468,150,60,291,362,362,117,445,85,117,150,85,429,445,150,362,445,117,397,468,468,468,150,266,38,322,247,397,468,397,291,397,362,291,500,500,397,397,476,468,150,429,429,397,150,210,397,150,291,85,247,445,468,445,468,150,322,397,322,445,445,266,85,266,85,247,362,429,162,85,162,85,150,85,362,362,232,362,445,232,85,347,445,347,397,291,397,397,247,397,85,247
468,117,330,468,468,397,397,500,397,429,291,468,397,476,347,210,117,429,476,500,198,291,445,409,409,468,247,247,150,322,150,150,74,17,232,117,409,347,476,117,445,17,266,445,476,150,445,476,38,38,247,322,210,247,468,266,409,409,85,150,117,247,150,429,210,247,38,397,347,309,247,150,117,210,468,362,291,291,247,150,468,17,178,247,468,117,429,429,150,38,178,38,468,500,150,362,85,476,291,445,468,291,117,468,468,232,322,322,322,397,397,183,291,38,429,429,476,322,429,183,476,500,468,468,468,468,429,468,291,210,150,445,468,468,445,445,291,445,409,445,429,322,397,397,347,476,162,322,162,117,445,247,476,38,429,468,60,362,291,445,117,445,397,409,347,210,38,347,198,117,330,60,362,429,429
60,468,150,397,468,397,429,445,429,500,445,117,85,397,247,362,210,429,247,476,476,247,362,117,38,247,291,468,291,409,322,397,150,210,476,210,232,17,445,210,74,74,309,117,17,445,210,291,85,397,476,476,210,409,409,347,150,468,322,17,347,347,429,468,309,309,347,468,397,38,347,210,117,117,468,85,429,266,247,60,210,322,468,85,178,117,247,362,429,322,468,322,150,85,445,85,445,198,362,266,210,322,266,322,232,322,468,362,468,150,85,117,429,429,429,468,183,183,183,291,347,150,183,476,468,468,353,468,150,445,362,468,362,291,291,445,362,247,409,117,210,409,429,38,280,347,468,247,162,266,362,445,200,247,117,117,362,183,183,362,183,362,397,117,150,198,347,330,291,291,330,468,60,117,247
429,468,500,330,500,500,210,445,500,500,347,500,247,397,500,500,266,500,397,500,445,476,468,347,468,322,322,210,322,291,150,150,397,210,266,266,117,38,38,74,397,150,17,468,347,85,397,210,291,445,362,117,347,117,85,38,117,468,150,291,178,247,291,247,468,397,210,60,429,347,347,60,429,429,17,291,397,397,266,397,362,362,178,429,150,60,362,362,150,247,445,60,247,247,362,85,198,445,38,445,445,117,150,500,429,429,322,322,468,468,362,468,397,291,362,232,500,232,476,476,476,347,476,347,476,210,397,397,291,362,362,362,468,468,468,330,468,445,409,409,291,397,429,322,397,210,476,500,362,322,362,38,500,362,397,445,247,183,183,85,322,500,445,500,60,117,60,397,17,397,468,247,266,60,468
362,397,330,210,330,210,468,397,445,210,500,500,445,445,347,85,397,445,362,476,322,322,322,162,117,409,409,38,210,397,232,322,232,210,210,150,266,397,117,397,117,397,117,347,397,117,291,397,291,347,247,409,117,210,409,347,468,322,85,397,85,468,429,38,210,85,397,429,60,309,117,117,210,17,362,266,468,198,397,38,362,362,322,178,291,17,409,247,178,468,291,468,117,198,85,476,445,117,362,468,397,362,362,397,429,232,362,362,183,468,183,397,347,322,500,429,476,476,476,232,397,291,476,210,347,468,210,322,291,247,362,210,150,468,362,198,445,291,445,362,247,322,468,247,280,362,468,500,322,60,247,60,476,362,445,445,183,445,150,85,291,476,445,397,500,347,347,60,291,232,232,291,150,266,247
397,330,500,468,468,468,85,397,266,500,500,397,500,476,445,210,60,476,162,322,476,445,322,445,347,322,468,150,247,322,232,38,397,38,476,322,322,38,210,476,232,117,232,309,85,117,476,445,117,150,409,247,409,409,85,38,291,468,247,322,38,291,247,429,38,291,183,309,347,210,183,17,210,150,322,266,117,397,322,291,291,38,38,85,322,429,500,409,247,322,468,429,322,17,476,397,362,445,322,322,445,85,322,468,362,280,362,429,429,117,397,500,429,347,500,429,150,476,476,397,232,347,476,476,397,322,247,198,362,210,468,60,150,247,362,468,60,330,291,445,247,247,117,429,468,247,468,409,322,162,500,397,445,476,397,117,247,117,347,266,85,322,60,322,150,347,178,60,291,322,362,232,476,178,247
445,429,468,362,500,500,397,429,500,322,500,397,347,445,247,468,468,266,500,445,322,162,468,409,210,210,409,266,322,476,117,362,445,476,85,117,322,397,397,232,38,476,38,476,476,210,476,17,150,397,347,347,445,409,445,85,468,322,291,178,397,38,247,85,85,247,117,429,347,397,247,210,247,17,17,322,362,500,247,117,150,85,210,210,210,247,117,150,117,247,178,429,117,198,60,198,397,198,468,468,322,362,468,500,210,322,150,322,468,322,150,397,117,117,117,322,409,322,322,445,476,178,210,117,322,210,468,291,291,291,117,330,210,445,198,445,362,291,210,445,322,247,468,362,322,468,117,468,347,291,291,291,397,232,409,210,60,445,322,397,150,445,17,322,150,322,322,429,429,429,476,17,178,150,445
468,500,468,362,468,362,500,429,468,362,500,266,266,178,347,468,500,409,322,445,162,60,476,247,17,162,322,266,150,362,476,397,266,397,178,397,397,150,322,232,76,397,476,150,476,210,117,17,397,362,85,117,409,445,38,178,362,322,178,60,322,322,85,362,247,117,362,291,210,429,309,309,247,210,362,60,85,362,38,429,291,468,322,150,210,38,38,322,247,178,468,17,117,60,500,85,266,322,397,468,362,322,500,468,210,468,38,468,247,183,397,429,397,500,409,468,232,500,38,322,362,38,178,117,445,445,468,409,247,409,397,330,117,247,117,476,362,476,291,476,198,468,322,210,409,409,468,468,162,291,476,117,232,445,409,347,347,347,60,291,397,150,445,85,476,476,232,232,150,362,397,322,291,17,445
468,468,445,330,468,429,429,322,178,429,397,266,468,500,85,445,322,468,445,468,468,247,162,409,85,476,476,38,38,476,210,397,117,322,178,291,397,76,397,232,322,397,362,38,210,247,247,85,150,85,347,362,409,322,38,247,429,429,178,468,247,429,85,210,362,247,347,266,150,291,468,397,362,362,247,117,476,17,247,183,397,210,117,500,322,150,429,85,468,362,468,17,266,117,362,322,362,322,397,397,468,266,500,500,409,266,362,322,429,397,322,468,397,322,500,347,500,500,322,362,500,117,445,291,178,247,117,322,409,198,247,247,247,397,397,476,291,397,397,117,362,409,468,117,468,117,500,291,468,409,117,347,266,347,347,347,117,291,210,266,291,150,150,178,178,178,150,232,178,429,266,468,150,178,445
291,409,362,468,445,291,247,322,397,468,500,178,445,397,322,445,409,409,247,409,322,409,38,322,476,322,476,362,409,266,266,322,476,232,232,17,117,353,150,322,178,362,362,445,150,247,150,322,362,362,117,266,445,85,38,178,210,210,322,210,468,85,429,362,468,397,178,291,468,397,429,85,429,247,85,60,247,291,397,500,468,468,291,291,266,117,445,322,178,445,468,117,445,266,198,150,85,397,468,429,362,183,397,322,266,409,468,266,247,397,322,397,409,397,468,232,468,468,266,178,429,468,468,117,362,60,468,232,409,330,291,397,445,117,476,429,362,476,322,210,362,117,291,322,500,409,210,322,362,117,468,150,210,38,347,409,445,291,347,150,38,178,150,291,150,150,362,178,178,266,429,397,17,150,409
266,500,247,247,500,500,429,322,468,500,468,445,347,500,445,247,476,210,468,409,322,476,322,38,476,247,210,117,150,210,210,397,347,397,17,476,17,397,17,76,76,178,210,247,291,362,291,247,309,117,150,397,347,362,38,38,291,60,247,17,429,210,362,38,247,210,266,85,397,183,468,362,117,183,60,322,322,429,210,397,17,429,117,117,38,38,500,500,322,468,445,429,322,247,266,322,198,247,198,183,500,362,468,322,500,247,210,409,266,468,210,445,266,476,409,150,468,362,468,322,178,362,397,397,60,232,291,397,409,330,445,409,347,247,347,38,429,476,476,60,210,397,117,468,500,210,429,150,117,210,409,322,266,150,266,60,409,409,347,150,322,409,38,347,347,476,38,397,38,117,117,362,429,409,468
468,429,468,445,409,409,397,468,362,397,445,178,397,291,445,117,247,445,445,397,362,445,322,362,362,445,445,322,117,347,445,150,476,117,232,232,117,397,353,429,76,117,117,198,247,445,445,445,85,38,445,347,85,85,210,150,178,178,291,362,468,85,468,362,429,150,309,347,17,397,17,85,409,85,183,362,183,266,150,210,85,150,468,362,117,150,266,445,178,322,60,429,60,247,198,266,247,322,85,468,266,266,397,500,291,500,468,409,232,397,409,397,476,476,409,150,409,409,266,409,266,429,500,429,468,232,500,17,500,347,198,347,397,476,210,247,309,210,397,60,117,17,500,198,468,291,409,429,17,476,322,17,476,322,178,322,117,85,445,347,210,347,38,291,291,347,291,291,476,232,322,468,362,178,17
