x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
442,442,442,491,478,491,499,452,478,414,489,462,462,432,462,421,442,421,442,404,442,402,404,452,404,462,343,433,432,404,336,364,402,402,292,251,251,259,261,255,261,261,255,274,261,237,237,251,259,237,255,203,203,203,203,160,183,154,160,88,117,117,88,154,88,88,67,67,36,88,36,67,67,36,62,67,36,52,54,67,52,88,62,86,86,154,154,88,128,88,291,292,255,251,219,255,343,292,404,316,414,386,421,414,421,432,404,442,457,452,442,487,442,457,452,414,421,404,432,433,432,404,457,432,452,433,404,404,432,386,386,395,395,452,402,452,402,442,487,487,414,432,452,442,442,432,452,402,404,386,315,316,316,183,194,160,140,160,140,140,117,160,177,154,117,140,105,118,154,117,117,194,140,118,117
491,442,452,499,487,491,478,499,491,462,499,432,457,442,432,496,421,457,469,404,395,386,404,414,414,404,421,404,402,364,343,320,386,336,364,402,259,251,292,255,251,261,259,237,291,261,237,219,237,259,261,219,251,237,160,183,117,160,154,88,88,88,54,154,67,67,117,36,67,54,54,67,36,118,54,36,36,67,88,36,67,88,62,62,154,128,154,86,86,154,219,203,183,251,292,282,343,395,292,364,433,432,364,487,457,404,496,487,489,452,491,450,491,442,432,404,462,462,404,452,433,433,432,404,450,452,442,457,452,414,386,432,402,469,442,414,450,457,442,442,450,452,450,442,442,442,386,414,386,402,362,364,316,255,194,255,251,140,160,154,117,129,118,105,117,117,105,140,118,177,117,154,203,177,140
491,487,442,487,432,452,478,452,432,499,487,414,421,487,386,457,457,469,414,499,478,462,421,462,390,442,395,462,402,421,320,355,337,291,390,291,251,316,316,316,259,251,255,237,203,227,274,274,261,251,261,194,251,237,255,194,203,117,160,88,105,160,117,160,160,67,117,88,105,36,36,54,118,118,67,88,54,67,54,36,52,47,128,88,88,177,118,118,128,194,194,219,154,255,251,291,291,282,395,395,432,402,421,487,496,478,496,452,452,450,414,452,450,491,432,489,414,452,450,414,452,457,414,414,450,402,414,414,450,414,432,386,402,414,432,414,433,450,395,433,433,450,404,450,452,386,432,402,404,315,364,362,316,251,251,194,219,219,177,154,160,118,118,105,183,160,177,129,105,129,177,160,251,194,203
489,491,469,432,452,452,452,452,499,487,487,452,462,499,487,469,442,386,457,499,469,411,421,432,469,402,402,402,398,421,404,432,337,386,291,291,315,292,274,251,274,255,251,259,251,259,251,203,251,282,255,261,194,237,255,160,183,203,160,140,117,194,105,36,33,160,54,33,33,54,117,67,88,62,118,140,36,67,117,52,62,88,154,86,160,154,154,183,128,194,194,203,255,251,255,362,364,364,362,362,421,362,432,402,432,414,462,452,462,489,452,496,452,487,452,489,414,462,457,462,402,488,478,462,402,433,433,433,442,404,432,395,469,478,450,469,452,489,452,491,421,487,452,414,414,432,491,414,432,433,402,364,255,316,255,219,154,255,209,209,251,194,117,160,160,177,194,140,194,117,117,194,183,251,251
452,491,478,469,489,478,478,487,478,414,499,452,457,499,442,496,452,386,457,469,478,462,478,442,404,469,433,402,398,395,343,390,336,336,337,337,219,291,219,251,255,255,255,274,203,259,251,282,282,237,237,291,227,251,251,292,183,183,140,183,154,140,117,105,140,88,117,105,67,117,88,67,88,62,62,47,54,47,67,203,118,86,211,86,128,160,183,88,154,183,183,203,251,219,337,291,316,364,395,364,433,404,402,496,457,402,457,487,402,499,499,496,496,457,457,491,499,432,457,432,462,462,462,478,402,452,450,442,395,478,395,450,386,469,402,432,433,452,491,452,404,442,469,414,452,404,402,442,386,432,442,320,362,362,251,194,292,183,251,255,154,255,160,117,194,183,194,194,154,251,177,194,255,203,292
491,491,487,432,489,489,478,478,452,499,457,496,452,478,442,457,469,432,469,496,432,457,411,432,442,421,433,450,421,386,337,390,390,337,343,343,343,261,316,251,274,255,291,291,316,259,291,251,282,237,291,251,291,255,227,316,211,316,316,183,160,117,154,160,160,160,194,183,105,140,211,88,140,140,88,36,117,54,128,203,86,88,88,154,211,183,183,154,219,160,255,255,251,337,364,337,274,450,402,402,432,404,442,452,499,457,402,478,450,478,457,491,478,450,496,496,432,499,433,450,488,462,489,450,432,450,478,452,462,457,442,462,491,489,462,478,432,450,421,469,491,404,469,442,489,402,432,442,452,433,457,337,442,320,320,292,292,292,237,251,237,237,219,251,160,160,251,219,203,251,316,251,251,320,183
491,491,442,478,499,489,496,452,432,491,496,478,478,457,469,457,496,469,491,478,457,442,432,457,395,386,469,421,390,386,316,433,398,343,390,219,292,292,315,343,274,355,274,355,336,316,255,316,327,261,251,291,255,237,237,251,329,183,316,203,194,183,183,154,160,251,160,154,183,140,118,160,118,203,118,117,177,160,160,177,203,177,211,160,203,177,211,160,154,203,219,251,237,364,316,337,337,395,402,402,362,432,442,478,488,487,457,478,496,414,487,487,491,450,487,491,499,442,442,433,478,491,478,402,469,432,469,452,478,442,450,442,442,450,462,462,432,452,433,478,489,452,452,457,469,491,432,421,364,491,386,452,404,364,292,316,364,255,292,183,255,255,251,255,183,219,219,320,203,282,316,219,251,255,255
499,478,469,491,452,457,487,457,457,457,499,496,491,499,442,478,452,496,469,432,442,478,478,489,411,469,395,450,398,398,390,316,316,337,411,390,337,320,320,291,291,255,291,274,316,251,329,282,292,237,251,329,337,237,203,327,292,251,203,251,160,203,203,227,227,194,251,154,154,194,160,118,203,203,203,160,160,194,194,183,183,211,194,183,194,211,194,194,211,160,160,219,251,274,364,337,386,392,452,392,392,452,432,487,402,489,491,496,487,489,487,452,462,496,432,478,478,469,457,469,478,462,489,489,469,478,478,442,452,442,432,452,452,491,478,432,491,491,478,450,489,404,442,457,442,432,432,421,442,414,452,442,320,404,402,316,364,251,211,219,219,219,255,255,203,203,219,364,237,203,320,251,282,320,255
489,489,442,489,499,442,499,496,452,487,457,457,487,478,442,478,489,452,491,457,450,478,489,450,489,469,386,432,421,390,432,411,386,337,390,316,336,316,329,355,355,355,320,291,282,292,291,316,251,291,291,337,291,337,316,329,327,251,291,211,183,203,316,183,255,227,183,118,237,251,160,261,118,160,211,237,160,255,203,211,194,183,194,203,183,177,251,211,219,255,255,160,251,251,291,316,414,432,395,452,452,395,452,489,432,499,489,499,489,487,489,499,489,496,499,469,462,432,442,488,457,491,457,442,469,496,432,452,487,457,469,489,478,478,442,450,469,491,450,442,442,462,462,489,457,442,421,442,432,478,414,414,320,432,337,320,219,251,251,292,316,255,194,320,320,291,251,316,364,364,251,282,337,386,320
489,499,487,496,432,442,488,489,489,491,462,491,478,452,487,491,457,457,491,489,487,450,491,414,491,450,386,398,386,432,411,386,337,414,355,390,329,316,329,355,343,336,291,251,274,327,327,237,336,255,343,329,291,292,329,274,327,251,251,274,251,251,237,316,274,140,183,237,194,183,237,140,237,160,211,255,255,255,237,203,177,154,211,251,219,183,160,255,211,183,255,203,237,291,261,274,414,392,450,452,432,395,491,450,489,442,491,452,452,489,432,462,489,452,487,491,487,488,487,488,457,491,457,469,488,450,487,489,489,469,489,450,457,442,442,452,478,462,442,489,450,462,491,452,421,491,491,457,452,457,487,320,432,402,337,337,337,219,292,282,292,329,251,255,291,282,255,316,329,316,386,337,386,386,337
