x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
154,154,160,414,219,414,432,160,255,88,452,251,251,117,203,86,160,117,160,54,219,67,88,452,117,491,67,491,452,237,36,183,414,491,86,67,86,160,404,160,404,404,386,452,386,251,183,255,414,251,414,117,219,219,316,255,316,160,404,402,404,386,183,478,404,414,402,402,54,414,67,402,404,54,160,404,36,88,219,414,154,255,219,117,251,414,414,67,251,67,452,478,404,160,54,88,404,54,404,36,183,36,154,117,160,251,54,160,251,219,160,452,160,219,219,54,67,54,160,154,160,67,432,386,452,402,160,219,251,36,36,160,36,414,86,251,88,237,432,432,219,251,452,237,251,316,478,88,237,160,88,251,491,54,160,128,67,219,160,237,67,251,452,414,160,251,117,160,414,67,54,452,237,154,67
404,88,219,452,251,414,251,478,491,160,452,88,219,88,86,386,86,160,219,54,36,36,88,88,194,88,237,219,237,86,67,54,255,251,414,491,67,54,414,251,117,402,203,154,404,402,251,160,251,404,414,117,316,316,54,251,88,316,251,88,117,160,54,478,251,402,414,67,255,67,251,404,54,432,251,36,54,386,432,67,255,255,160,160,404,255,255,67,36,237,255,251,88,316,316,88,404,251,36,67,386,183,36,432,414,117,452,404,452,194,404,160,452,67,67,54,251,414,36,251,154,160,251,154,432,452,414,452,452,219,67,251,88,432,203,88,219,432,160,251,316,452,316,316,251,316,52,237,52,183,88,404,404,316,67,251,404,67,194,160,67,128,117,88,154,117,36,316,117,386,54,117,432,251,154
414,251,88,219,54,86,86,67,67,491,255,54,54,251,36,160,203,219,67,491,432,251,194,432,67,432,86,491,219,452,54,160,194,36,414,67,54,414,414,414,203,160,154,117,36,117,452,432,432,316,404,36,386,251,402,183,386,54,316,88,117,414,402,414,478,251,404,386,402,67,183,183,432,432,183,386,160,386,88,54,86,67,404,251,160,404,88,88,154,255,160,386,88,251,67,88,67,36,237,160,183,117,154,414,452,414,452,219,160,67,36,194,194,452,160,414,67,160,219,88,251,414,117,154,414,54,88,117,402,160,117,54,54,88,117,88,183,160,67,251,219,237,88,316,452,52,237,117,160,36,160,237,316,67,237,67,160,251,160,88,128,67,117,54,402,316,316,117,36,117,251,237,432,251,251
255,432,88,54,88,86,54,54,491,255,251,86,219,478,251,219,88,36,160,491,386,86,117,194,452,86,117,117,117,452,255,491,160,414,117,117,251,203,203,67,251,67,67,251,160,203,160,36,183,432,316,316,36,386,414,88,160,386,251,117,117,414,183,36,36,432,67,36,36,67,251,183,251,160,404,432,36,154,432,67,160,219,414,160,414,386,203,255,86,316,203,251,251,183,160,404,160,154,54,36,160,36,117,54,219,88,316,194,219,414,160,452,160,402,194,386,36,219,251,404,54,432,414,404,54,219,117,255,255,117,160,36,402,432,117,404,237,478,251,491,88,452,251,88,160,117,491,251,316,404,251,237,54,237,251,160,36,491,154,154,414,402,54,251,219,251,386,67,386,36,54,237,160,255,414
88,404,219,154,255,160,117,251,251,36,491,67,86,478,36,251,203,36,219,219,251,251,452,237,67,452,452,237,237,251,67,255,160,160,404,316,36,203,36,54,117,117,67,251,36,160,154,251,404,154,160,414,237,316,386,491,160,160,88,251,117,117,54,54,255,117,117,160,160,251,183,54,251,67,67,54,54,36,154,478,316,67,478,117,219,251,404,36,88,251,154,154,203,67,404,160,154,154,183,36,386,88,54,452,251,54,194,404,36,491,491,452,452,316,219,402,452,67,251,54,404,404,386,404,54,402,402,219,36,404,36,219,36,432,54,117,183,219,491,237,54,183,251,117,251,88,52,316,36,316,414,54,237,404,67,36,404,54,386,414,67,414,117,54,316,251,251,255,117,432,67,88,432,160,404
404,414,160,36,255,255,117,117,67,478,86,414,54,88,54,160,251,54,251,478,54,219,86,194,237,88,452,491,414,67,67,237,255,160,316,404,404,67,316,36,251,117,386,386,404,160,251,154,251,183,414,183,414,404,183,491,160,491,491,88,117,54,160,255,160,255,432,414,160,316,491,54,255,402,54,36,67,54,386,414,67,86,117,160,478,404,404,67,386,154,404,203,117,414,452,203,54,491,183,160,160,67,154,154,491,219,36,251,117,251,194,432,316,117,452,452,36,452,117,154,414,386,452,219,67,251,432,386,404,386,160,402,452,432,255,404,117,54,54,219,478,52,219,183,452,52,219,386,432,316,432,54,491,160,251,251,251,402,237,316,251,219,219,316,54,54,432,255,160,251,478,160,154,432,36
316,414,36,160,478,255,402,67,67,386,386,88,88,54,160,160,478,183,386,251,251,117,194,414,54,36,491,432,203,86,36,414,255,251,404,36,67,160,251,491,203,491,160,491,491,386,160,402,402,219,154,402,160,54,160,183,491,86,491,183,183,160,183,67,67,452,316,255,316,67,160,316,67,404,160,88,402,386,316,386,414,251,478,117,414,219,316,86,67,203,203,251,117,452,203,160,88,404,160,154,54,154,154,316,316,316,117,251,432,36,404,414,432,117,251,402,452,54,117,117,404,452,414,54,404,54,386,386,414,160,219,117,117,128,255,255,67,251,67,414,452,219,194,194,251,491,219,160,36,491,160,432,255,255,54,237,414,386,402,54,386,386,255,414,67,160,255,491,160,432,255,36,117,117,117
452,154,154,414,67,86,160,160,88,117,478,386,386,478,36,160,67,478,160,54,86,386,452,491,117,432,54,452,86,203,117,36,36,237,414,404,251,251,316,203,203,67,203,160,386,36,402,219,219,52,154,402,432,54,36,452,404,160,117,251,54,183,237,386,255,160,452,117,117,316,88,160,183,160,316,183,67,402,404,316,316,478,386,219,219,386,251,160,251,67,36,67,160,203,414,160,183,183,452,67,67,251,88,251,36,414,432,432,386,404,316,117,219,414,36,251,251,194,160,219,404,386,432,414,402,402,386,117,386,117,36,219,160,452,402,67,452,478,414,88,452,36,117,194,160,160,219,160,219,67,404,432,36,255,316,219,414,117,54,88,88,67,316,255,160,67,251,491,160,36,432,88,154,255,88
219,219,86,154,478,36,478,432,117,251,88,67,251,183,36,88,386,54,414,160,67,255,491,251,452,432,36,386,316,67,386,255,160,117,316,88,386,183,316,432,491,491,316,183,183,203,160,203,52,160,160,432,183,491,402,452,452,183,402,117,36,117,491,117,432,183,160,36,404,414,88,432,36,54,316,404,88,432,402,404,386,219,251,386,219,54,414,251,251,386,386,36,160,117,117,117,452,414,160,432,432,67,160,432,67,491,414,432,386,316,404,491,386,402,452,160,194,36,154,386,219,452,251,160,251,452,67,251,414,386,386,414,255,404,88,128,219,478,128,86,86,194,194,414,251,219,160,219,219,432,219,251,36,404,88,88,36,117,54,251,386,219,36,491,491,316,255,478,478,491,36,154,251,386,255
251,432,154,452,36,67,183,316,316,402,67,386,183,54,183,386,67,88,414,386,316,67,491,86,491,237,36,88,54,386,251,117,160,414,251,386,117,183,251,432,386,404,160,36,54,251,251,36,251,52,432,251,183,251,414,160,402,160,117,386,219,183,117,491,432,36,160,255,117,88,219,36,316,54,88,414,414,414,404,219,160,54,255,414,255,117,36,414,203,36,255,67,67,255,67,67,255,160,452,432,160,67,432,237,452,88,432,88,67,386,36,88,386,88,316,386,219,219,203,251,219,452,237,251,402,117,386,414,432,255,414,160,251,88,88,219,219,219,86,414,86,194,452,160,67,452,432,432,251,316,491,36,404,160,67,88,251,36,160,117,237,491,67,183,251,183,160,452,452,88,491,251,478,386,219
