species_richness,Sigma_str,range_str,scaled_cov
107,100_0,0_025,0.03864141332104493
110,10_0,0_025,0.042809038660377004
117,1_0,0_025,0.06271072681571863
120,0_5,0_025,0.07221449438521317
130,0_1,0_025,0.09000807552872502
137,0_0,0_025,0.0995779597482706
295,0_0,0_2,0.3318786667603257
111,10_0,0_5,0.045920442768844674
128,1_0,0_05,0.0890287689080598
112,10_0,0_05,0.045482898289143786
111,10_0,0_1,0.04985636906446571
200,0_1,0_5,0.2057637527656162
212,0_1,0_15,0.2194016123943602
157,0_5,0_1,0.13365679011843803
114,10_0,0_2,0.051797912052502955
109,100_0,0_05,0.037849559663277264
105,100_0,0_15,0.04065808672806011
114,10_0,0_15,0.05081467376148251
129,1_0,0_5,0.09655623385189006
141,0_5,0_05,0.10885941924078393
147,1_0,0_2,0.11824926781570183
141,1_0,0_15,0.11603578061761138
137,1_0,0_1,0.10750281937878213
161,0_1,0_05,0.150793429189786
164,0_5,0_15,0.14523707627811036
172,0_0,0_05,0.18019204151530105
239,0_0,0_1,0.2612588636574033
197,0_1,0_1,0.2002717197297019
107,100_0,0_5,0.03899492034285448
217,0_1,0_2,0.23086638684351957
274,0_0,0_15,0.3072206818943083
147,0_5,0_5,0.12609007122480256
166,0_5,0_2,0.15010969552236636
335,0_0,0_5,0.3714920977228249
106,100_0,0_2,0.04004288881046164
108,100_0,0_1,0.03927889163123939
