x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
74,96,111,34,150,236,354,470,452,476,409,283,262,464,398,236,198,272,288,261,283,348,236,268,111,76,177,409,483,417,439,420,409,353,272,157,47,26,60,136,398,500,476,296,437,309,409,262,330,324,440,485,491,481,353,272,236,211,355,244,371,445,371,291,66,47,42,86,324,468,397,336,309,375,398,355,247,261,85,38,42,47,51,39,51,74,39,66,178,111,115,266,150,150,117,189,398,482,481,452,280,178,60,183,117,76,178,178,200,146,198,225,247,461,476,476,417,408,236,210,117,198,470,481,497,409,347,85,76,200,225,272,397,429,452,375,397,210,86,247,268,397,398,232,115,150,183,117,177,362,439,476,445,397,398,157,11,14,8,115,146,371,330,324,255,242,225,261,247,388,428,500,491,481,440
38,115,115,140,189,437,309,375,499,468,429,392,296,409,428,247,189,322,398,336,222,222,222,183,157,38,136,397,443,470,454,347,429,397,429,322,85,5,14,96,309,445,468,373,362,371,318,318,266,397,468,483,476,373,397,330,322,409,373,336,417,408,428,468,262,147,117,348,445,409,387,355,437,477,428,348,409,398,162,74,13,17,11,26,23,32,38,146,96,117,146,200,235,76,191,292,347,296,420,437,468,322,397,373,283,235,163,232,211,143,86,85,210,189,189,362,355,354,262,236,178,115,452,464,439,388,429,177,38,198,288,373,440,483,445,324,362,140,146,373,470,499,482,468,437,347,353,232,157,291,355,445,409,330,191,183,51,13,38,115,353,470,445,347,272,162,189,178,198,371,461,477,499,485,454
34,34,146,178,242,236,437,392,398,445,440,292,420,470,350,178,210,244,373,322,309,85,280,262,111,86,178,322,353,409,408,437,439,347,318,288,117,38,23,86,200,318,247,211,177,353,330,318,375,354,409,397,470,330,200,309,354,464,387,354,388,499,477,497,409,210,283,373,397,409,115,272,470,470,439,452,439,362,178,115,111,47,38,26,17,60,66,236,296,162,198,225,150,183,225,236,314,354,353,362,461,476,437,375,347,198,96,178,74,60,86,210,147,140,198,86,235,354,409,291,117,60,354,470,476,409,324,189,117,136,232,397,336,439,409,262,60,51,136,429,491,497,481,483,491,457,397,362,183,150,146,262,397,207,266,283,198,76,198,235,437,468,398,232,118,150,136,96,117,146,292,429,477,464,476
51,150,85,110,42,235,445,362,371,207,336,353,445,483,280,236,440,232,373,336,322,242,200,266,117,115,177,110,244,397,468,397,398,366,291,247,147,96,150,115,262,85,60,178,200,191,288,235,314,373,440,437,291,266,162,207,371,375,291,266,348,468,454,387,392,291,268,322,392,397,207,236,387,461,468,437,280,242,268,157,296,375,112,20,17,76,236,371,232,211,210,110,210,242,397,355,439,445,288,347,476,445,468,409,244,136,157,236,150,283,347,437,429,362,200,85,85,225,454,262,222,162,200,397,371,210,272,66,85,69,222,115,162,470,291,118,47,37,266,499,477,500,500,476,468,477,429,388,115,76,198,147,200,178,183,191,207,417,429,443,483,318,280,74,85,51,34,17,26,60,115,348,397,476,482
222,150,261,51,146,191,322,409,247,115,210,373,452,497,429,324,409,347,336,159,178,266,330,178,115,247,115,38,162,362,429,470,262,235,150,117,114,117,371,409,318,74,85,136,117,291,200,268,262,288,336,353,292,147,96,86,162,143,177,397,409,445,355,362,309,136,115,348,350,397,330,242,247,397,350,408,309,225,76,283,409,371,371,140,47,115,324,428,324,280,17,8,48,314,445,477,470,322,262,280,445,468,457,440,314,146,235,115,85,217,388,481,500,429,388,117,159,330,470,353,159,309,266,262,262,189,178,74,74,86,225,266,198,397,280,74,17,76,330,476,476,491,476,461,464,375,366,314,222,26,117,47,86,115,60,146,177,445,483,499,461,288,38,6,20,74,23,13,6,47,162,235,409,481,500
445,397,191,177,76,350,388,322,262,162,232,348,429,309,347,291,291,429,266,222,115,225,347,157,398,324,86,60,146,235,388,440,183,146,85,150,117,288,454,476,409,242,266,330,191,266,210,397,244,157,373,314,304,177,85,34,74,236,350,362,417,397,198,211,210,96,51,183,314,445,375,210,247,324,420,373,348,288,318,371,398,439,318,198,222,330,350,409,322,183,26,34,42,268,500,483,493,429,232,304,324,314,336,291,296,296,247,318,280,146,350,483,491,476,409,309,191,373,452,468,429,304,272,198,177,322,76,60,47,198,318,417,291,330,112,20,8,136,291,470,464,440,398,375,162,225,232,157,74,20,51,69,118,261,159,200,420,497,491,500,485,398,115,5,5,38,23,13,8,17,136,398,429,452,437
408,371,232,117,183,268,255,266,162,247,261,398,408,362,236,314,330,468,375,268,353,397,387,375,409,207,86,60,51,225,350,353,309,115,177,74,150,353,468,491,397,373,296,268,211,314,371,292,217,262,354,373,318,314,198,42,26,183,336,428,350,189,47,136,150,42,38,146,437,476,464,336,210,236,347,477,428,443,481,481,485,409,304,322,191,324,355,373,291,115,13,37,146,409,491,482,437,291,198,177,66,157,162,157,147,177,309,371,296,387,353,485,500,470,428,150,222,247,397,440,296,189,178,85,76,42,39,85,117,291,371,373,114,183,51,17,6,115,347,322,291,398,417,162,74,117,183,118,5,23,8,38,38,85,210,375,461,497,500,476,483,468,296,47,6,5,12,32,8,38,162,417,397,353,347
398,197,159,244,163,200,373,268,232,354,387,429,445,375,350,262,178,247,288,288,388,371,324,291,304,348,140,39,147,117,207,336,247,146,115,200,115,183,247,283,322,314,366,268,117,150,318,198,96,225,232,336,409,397,291,136,118,235,288,398,296,304,60,222,268,74,32,34,362,477,468,217,197,150,353,398,318,481,500,500,439,262,210,236,296,291,178,283,291,262,177,26,232,452,500,439,445,242,118,150,26,60,34,86,183,353,464,440,247,266,350,476,470,445,347,66,86,207,362,362,292,47,74,117,34,26,51,183,110,296,309,336,280,86,60,12,38,118,417,452,373,309,236,261,115,247,262,136,110,6,17,38,23,262,373,397,493,483,470,443,409,387,355,150,38,8,17,69,47,60,200,347,244,191,85
355,244,236,207,362,309,476,481,347,397,481,468,437,409,197,146,85,136,163,189,150,288,178,115,162,211,85,38,17,111,309,354,373,191,74,34,146,117,85,115,117,292,353,85,23,32,111,76,183,309,266,468,481,500,439,375,373,225,373,292,210,242,428,283,324,222,20,26,247,398,397,366,255,198,291,261,191,409,483,485,468,322,225,288,210,147,211,272,322,200,178,38,147,373,452,476,454,322,280,198,39,51,74,96,261,388,457,375,397,291,314,397,408,355,222,51,38,235,439,330,232,197,159,85,114,69,38,85,232,354,211,162,117,288,309,150,74,309,437,483,454,408,373,232,85,76,283,262,143,60,26,6,60,296,362,429,461,476,440,309,330,428,387,262,183,74,47,210,296,309,268,324,324,60,17
373,292,330,354,304,247,409,483,485,476,445,476,409,324,117,47,17,85,157,225,200,322,309,114,111,162,69,47,48,162,159,232,146,66,69,115,288,225,210,118,398,347,375,191,74,17,76,177,115,178,387,470,481,483,493,428,445,420,242,198,198,291,296,440,409,371,210,291,262,261,222,111,76,115,314,217,198,292,409,429,468,136,247,291,397,162,247,373,362,222,117,11,232,468,355,417,388,483,392,322,283,189,177,322,409,409,468,420,371,318,232,162,247,163,232,96,115,146,272,178,261,296,283,355,292,189,147,322,355,330,200,210,362,461,461,354,162,355,481,499,443,353,362,235,114,283,362,445,314,117,183,111,355,266,408,429,255,336,262,178,76,292,397,457,353,136,76,387,445,353,318,232,371,211,74
