species_richness,Sigma_str,range_str,scaled_cov
128,0_0,0_025,0.09630589850391019
100,10_0,0_025,0.04156774678252313
107,1_0,0_025,0.06121430442232646
106,0_5,0_025,0.07242248014957417
100,100_0,0_025,0.03627676309295651
117,0_1,0_025,0.08794368062120848
100,10_0,0_05,0.045026580772287536
97,100_0,0_5,0.037422897378393556
132,0_5,0_5,0.12395307892897461
117,1_0,0_05,0.08777681448338273
118,1_0,0_5,0.09398989979671417
104,10_0,0_2,0.05072127638661186
147,0_1,0_05,0.14665455723716794
96,100_0,0_1,0.038235349181918905
132,1_0,0_2,0.11600166714544348
299,0_0,0_5,0.3604660064137622
197,0_1,0_2,0.21937522366401646
174,0_1,0_5,0.20019517057282446
96,100_0,0_05,0.03793830070775577
100,100_0,0_15,0.03758999895010879
98,100_0,0_2,0.03798520788281567
100,10_0,0_15,0.0508501043917316
104,10_0,0_5,0.04379115877372046
130,1_0,0_15,0.11198867845936417
140,0_5,0_1,0.13286823142260615
148,0_5,0_2,0.14808863953281337
157,0_0,0_05,0.17839246358868016
171,0_1,0_1,0.19728795008652725
188,0_1,0_15,0.21297485471277544
212,0_0,0_1,0.2589439079296252
249,0_0,0_15,0.29714892877408994
270,0_0,0_2,0.31938944660808505
102,10_0,0_1,0.04860586108376612
145,0_5,0_15,0.1412091591919846
126,1_0,0_1,0.1041289540616592
127,0_5,0_05,0.10671315854608596
