x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
439,468,397,38,355,200,117,476,354,470,375,397,150,476,347,236,397,468,324,197,324,481,443,481,197,150,262,355,476,162,388,247,362,388,398,397,354,314,440,353,362,481,397,85,493,86,468,60,198,163,200,291,200,397,177,397,397,225,483,146,324,454,291,198,17,280,324,38,86,409,353,255,38,85,146,47,8,397,266,191,428,355,292,177,247,375,114,272,470,397,272,500,420,476,440,162,117,324,266,428,198,291,13,371,225,47,354,236,198,114,468,468,118,470,397,454,210,470,255,409,200,74,371,198,477,439,481,117,217,452,314,347,476,445,445,96,398,347,86,354,51,200,336,163,115,198,189,111,150,397,318,309,159,217,439,150,8,147,8,470,140,429,183,330,236,85,34,198,247,398,8,476,373,115,111
439,476,283,236,291,493,69,207,500,428,397,477,225,291,461,398,440,476,476,397,314,397,398,445,500,280,314,353,147,468,454,13,397,398,485,468,347,17,162,336,183,111,439,398,454,388,266,397,146,373,210,355,291,86,440,291,115,261,242,162,291,60,74,373,118,318,247,371,322,197,355,178,309,324,146,5,178,468,355,439,13,115,198,429,74,150,74,318,96,280,262,291,362,143,485,476,291,26,324,440,470,23,371,266,217,354,191,371,355,324,266,347,452,225,60,439,373,347,118,247,409,114,483,291,150,115,500,347,34,409,197,200,371,409,355,117,493,354,296,353,476,470,398,409,373,85,247,163,178,355,242,420,314,146,17,296,291,13,409,236,280,440,409,362,468,117,140,114,114,291,232,47,355,461,262
493,266,355,454,477,225,440,242,375,409,470,247,477,493,371,198,355,200,409,296,481,17,445,476,324,373,452,354,74,309,309,291,354,189,118,261,261,117,115,247,143,247,162,280,177,470,397,353,461,247,85,5,362,200,47,247,85,439,159,272,136,468,115,485,272,146,355,191,38,445,11,143,398,247,272,362,262,211,236,409,397,198,262,353,291,118,17,283,398,115,296,291,34,96,353,189,178,210,322,162,291,397,146,159,439,354,96,347,38,23,85,371,177,217,477,118,429,355,336,291,354,96,481,481,440,397,366,373,440,266,111,439,76,397,428,362,114,330,222,146,476,272,178,146,314,255,60,355,309,353,115,371,485,114,429,481,468,114,388,17,110,292,217,255,292,409,355,371,266,23,34,178,388,247,375
500,483,178,440,159,409,470,111,291,69,440,272,428,485,38,117,485,69,454,409,476,420,292,452,60,198,439,74,292,470,445,114,236,375,388,409,397,397,373,23,409,47,38,398,362,178,355,189,362,445,481,309,17,236,150,324,470,280,111,110,111,163,147,17,309,291,291,136,162,440,355,266,280,371,362,314,5,85,445,162,388,476,60,42,96,74,210,428,69,177,476,347,398,38,291,47,189,468,262,296,428,146,322,373,183,198,397,470,291,493,440,371,397,476,476,398,236,34,429,74,468,476,197,324,262,114,470,85,409,232,409,8,17,500,255,292,314,51,373,409,225,398,117,146,114,443,96,309,60,198,485,336,322,198,398,429,225,454,336,114,362,23,439,318,476,189,74,353,159,74,5,322,322,398,60
470,85,481,147,476,309,178,397,159,262,409,445,409,500,440,371,477,318,443,115,191,454,500,163,74,481,324,51,371,409,291,483,183,409,373,324,409,147,397,280,362,74,183,225,85,454,114,322,373,398,409,336,183,96,236,291,409,34,8,439,291,409,162,283,198,34,60,420,38,146,398,291,60,262,8,189,150,309,8,210,266,38,280,291,140,115,330,445,261,461,60,42,322,371,117,262,111,17,207,255,409,280,291,429,354,197,439,23,60,445,439,210,429,159,481,322,309,296,470,207,38,481,373,163,318,322,468,322,454,330,461,330,51,470,468,439,291,318,266,291,428,291,247,146,476,429,283,210,470,85,476,23,13,51,34,336,23,266,291,266,210,76,51,291,236,454,232,272,8,146,225,76,296,371,481
481,452,242,439,85,493,476,272,355,429,481,481,476,115,437,322,146,476,177,353,74,292,476,23,485,493,398,409,398,86,261,485,200,398,318,500,397,428,296,445,429,314,354,481,200,324,39,481,355,60,468,242,291,222,354,115,398,476,375,74,225,454,207,222,146,85,115,262,8,60,76,85,336,324,210,17,146,163,262,198,114,309,38,60,330,485,292,375,178,292,117,500,461,146,476,85,247,445,159,355,266,34,34,111,409,481,336,373,440,162,324,236,200,262,198,445,163,291,409,476,420,291,409,291,353,500,200,291,163,470,439,476,242,485,318,74,114,397,150,477,409,420,76,362,150,445,247,140,398,347,397,178,146,483,362,291,437,481,291,150,397,262,247,5,39,461,159,177,347,183,117,440,283,85,5
255,445,445,247,330,445,266,266,162,461,280,476,476,470,280,461,409,493,409,266,452,481,461,397,470,177,225,388,198,272,362,371,470,247,500,420,445,481,454,500,397,362,114,200,292,409,347,255,292,371,445,409,150,336,420,115,34,397,314,159,60,115,17,189,117,38,409,470,409,247,322,324,322,159,23,445,236,236,296,322,485,355,150,347,51,443,362,283,115,76,47,440,452,178,280,86,330,322,225,197,17,232,247,262,162,85,222,283,211,470,207,445,292,210,362,114,375,114,162,397,60,86,388,198,210,262,147,397,236,409,291,291,8,429,262,247,136,232,314,86,111,468,483,146,114,210,262,314,255,51,388,336,34,96,353,439,322,322,318,217,111,292,439,330,26,191,217,210,318,96,198,439,177,191,198
375,183,397,500,347,225,437,51,143,461,198,232,481,409,470,468,211,157,283,362,468,354,362,324,322,468,347,117,481,222,110,336,266,347,429,493,198,159,200,388,470,324,437,468,247,114,255,115,38,324,198,200,115,74,136,110,200,397,200,324,51,397,11,247,409,322,296,150,373,362,468,23,198,23,117,296,51,409,420,440,296,76,296,322,354,324,60,262,291,452,483,51,371,225,210,8,454,222,60,437,178,476,388,481,440,347,445,353,17,115,247,476,322,198,439,183,354,309,291,150,362,34,236,439,146,324,409,500,26,232,150,439,468,38,114,262,296,96,330,353,117,115,96,481,397,476,375,178,481,8,437,409,76,409,347,60,189,283,150,111,74,34,296,291,397,74,397,420,85,115,225,222,23,355,347
409,178,362,373,500,397,481,362,38,291,485,429,347,483,283,437,255,291,336,409,69,211,150,322,454,481,353,198,34,314,476,354,481,468,217,23,162,114,76,236,42,118,375,86,60,42,232,34,322,470,211,445,51,324,111,262,439,74,468,272,11,38,483,51,210,362,23,74,255,261,324,481,454,236,309,261,143,292,397,189,347,362,429,481,178,74,347,397,373,118,445,85,118,147,110,398,439,159,324,440,85,362,445,429,445,118,211,51,262,163,354,468,347,225,347,318,242,476,493,355,373,485,468,111,409,409,362,114,183,373,114,247,60,198,428,445,409,454,96,280,318,232,409,428,198,23,198,74,183,347,398,114,38,150,74,114,74,353,347,236,388,461,236,76,362,468,362,420,296,409,388,247,373,85,225
476,96,291,445,461,371,355,481,375,420,262,454,397,470,347,198,114,409,481,500,225,309,470,428,439,477,283,283,189,375,189,197,76,51,280,159,440,373,481,163,476,23,291,439,476,183,445,468,26,13,247,296,200,236,476,266,428,398,74,143,114,222,114,429,183,225,38,398,324,291,236,146,114,183,476,362,318,296,247,163,476,5,198,262,493,117,429,468,163,34,198,34,468,500,146,353,76,500,292,439,470,255,76,454,477,177,272,236,266,371,330,114,210,17,409,375,468,262,409,146,470,500,443,452,468,476,397,476,247,178,118,398,470,439,397,397,232,409,371,409,375,247,330,322,272,468,117,280,115,76,439,189,476,23,409,477,47,324,291,428,115,443,397,437,347,198,26,353,178,114,330,42,355,409,409
