x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
115,150,150,74,409,468,500,146,200,117,247,85,210,200,362,362,371,371,371,117,200,60,85,362,85,397,60,470,397,309,38,198,470,470,74,60,60,236,236,210,146,409,397,409,398,398,398,470,409,362,397,322,150,150,309,468,150,232,232,200,468,476,210,500,468,468,468,468,85,476,60,146,476,38,409,409,38,150,150,468,74,200,476,146,232,397,322,74,146,74,468,468,322,398,210,236,470,409,291,38,291,117,210,115,85,85,74,198,200,200,85,468,397,60,362,60,397,200,236,115,322,150,476,470,476,468,409,362,397,38,38,232,85,468,117,468,232,232,398,468,38,117,409,398,468,476,476,60,362,85,247,468,468,60,150,117,85,397,198,198,115,397,362,362,85,210,115,291,476,117,117,468,362,362,115
470,150,247,247,322,409,198,397,397,117,117,85,210,200,38,371,60,371,470,117,60,38,38,38,409,38,115,115,309,117,117,117,470,397,470,74,85,85,409,210,85,322,322,409,409,398,115,362,362,397,409,362,115,397,146,309,60,232,150,150,150,210,115,500,500,468,397,85,371,85,146,146,74,476,398,17,150,398,409,74,200,200,146,146,322,322,322,115,74,150,150,198,468,398,247,200,371,409,409,38,398,291,115,409,409,74,468,397,468,200,470,85,470,60,60,38,397,409,38,322,322,322,150,117,232,409,468,500,468,397,38,362,247,468,398,468,247,362,362,362,38,398,362,409,398,247,85,397,85,247,38,468,398,291,115,468,468,397,397,198,117,200,85,198,210,210,38,409,247,247,117,247,397,397,232
470,150,247,85,85,198,322,322,74,500,500,60,60,397,38,38,409,60,60,500,500,17,398,398,38,409,38,409,409,398,115,198,198,85,397,85,322,409,409,409,210,85,85,38,38,74,468,468,468,397,397,60,397,468,468,117,309,38,210,150,210,476,398,500,500,398,398,398,397,150,146,146,470,470,398,210,198,398,150,38,17,17,397,146,117,322,150,146,146,150,150,232,74,232,232,371,200,409,409,85,247,117,247,468,85,409,468,362,150,74,74,85,85,409,146,409,38,247,247,60,232,470,117,232,397,232,362,117,362,117,117,38,232,247,198,117,117,200,115,397,409,362,117,362,500,85,117,117,85,38,247,362,291,17,200,117,200,409,397,117,117,85,85,85,362,210,409,309,309,115,247,60,397,232,232
470,470,198,85,85,85,322,74,500,468,309,60,397,468,468,468,115,38,470,500,500,17,397,397,398,409,210,362,322,309,398,198,198,397,198,117,117,322,232,150,247,247,247,38,85,115,115,115,247,468,115,247,146,232,468,38,38,309,38,210,232,476,309,38,38,398,397,74,74,198,198,150,38,210,470,17,17,117,409,198,38,115,397,117,117,150,150,362,115,247,232,198,232,397,232,291,291,85,85,17,397,115,468,146,85,85,210,210,362,409,85,470,470,362,150,409,38,409,247,247,38,291,291,291,60,397,232,362,115,115,115,115,398,470,198,247,232,409,397,468,150,409,362,117,198,198,476,117,247,409,397,291,17,200,74,74,74,409,146,117,398,117,38,117,247,247,409,198,397,60,60,210,210,397,397
38,322,291,247,468,85,85,74,309,38,500,85,85,468,500,85,115,38,38,210,397,150,397,210,115,398,398,322,322,371,371,409,210,232,397,309,74,232,60,60,247,247,247,468,322,74,74,198,322,85,85,85,200,232,470,470,309,117,210,322,200,232,85,38,236,38,210,210,210,247,198,115,117,117,115,17,17,17,198,468,117,38,468,85,117,291,397,200,200,247,146,198,236,146,397,198,198,198,146,17,468,117,146,398,398,85,210,247,74,409,117,397,470,150,150,232,468,115,247,85,232,247,247,291,38,397,397,232,60,468,115,232,38,232,247,150,150,397,476,397,115,150,115,198,500,198,117,476,38,397,409,17,198,200,74,38,210,146,291,409,38,398,115,115,247,247,291,397,115,398,210,362,476,476,476
409,409,322,60,468,468,60,60,146,476,146,468,85,117,85,117,200,60,115,60,60,150,17,150,115,115,398,362,362,60,60,309,232,210,309,247,247,74,150,60,150,150,468,322,322,150,247,117,198,85,322,146,322,232,200,236,236,470,117,200,200,85,232,236,85,322,468,468,85,247,500,74,117,362,38,17,74,468,362,468,468,115,85,309,468,397,397,115,200,398,398,236,200,476,476,291,470,470,362,397,397,117,146,150,468,397,85,247,117,362,117,397,247,60,409,409,409,468,115,115,247,232,409,60,232,468,468,468,468,398,232,398,362,470,470,500,150,115,74,409,476,115,470,362,500,60,468,247,468,362,468,17,476,476,198,150,150,468,291,291,362,398,397,115,115,60,322,397,291,397,398,362,117,476,38
409,409,60,468,476,476,397,60,38,146,468,200,309,117,117,117,500,146,362,309,309,117,117,150,38,38,476,322,115,115,60,409,60,210,309,74,74,150,85,398,85,468,232,476,476,60,60,247,198,117,117,322,409,200,60,236,236,74,38,470,200,210,236,210,74,468,117,322,397,85,85,362,115,397,85,85,85,362,362,397,468,146,398,309,309,309,398,115,115,200,200,236,150,476,291,247,146,362,247,150,85,397,150,291,468,397,200,200,470,74,362,397,247,60,232,232,468,60,115,115,398,409,409,38,397,38,247,247,409,117,397,150,362,362,470,470,115,210,74,468,476,470,362,362,500,500,322,60,38,468,38,409,398,409,150,150,150,362,362,74,409,409,397,468,200,60,322,470,117,398,398,60,117,117,291
409,60,60,476,210,210,309,470,60,85,398,409,409,470,74,117,117,500,309,198,117,362,476,150,309,38,210,476,115,115,115,60,38,236,397,397,150,150,115,38,150,115,232,115,150,74,247,200,247,247,117,150,468,60,60,60,409,117,74,200,85,309,309,210,398,74,398,117,397,500,85,38,362,397,397,85,74,198,397,397,38,398,398,398,409,409,322,198,291,85,468,150,150,247,476,247,500,247,476,115,115,150,85,291,74,470,476,470,470,362,247,247,146,247,38,198,309,198,60,210,398,398,409,409,398,398,247,409,247,117,117,362,362,476,476,115,468,500,115,117,470,115,198,198,198,198,322,60,60,60,468,476,85,398,398,150,468,85,74,117,117,397,468,468,200,60,200,470,470,60,397,60,117,362,291
210,210,398,398,470,115,470,409,200,398,85,200,470,210,74,74,468,309,470,309,117,409,476,398,476,309,85,371,371,115,371,236,236,247,397,115,150,115,309,398,398,468,117,200,85,85,60,200,117,146,146,468,470,470,150,409,409,117,74,115,115,117,476,210,409,150,117,38,150,500,38,362,38,115,85,409,198,468,397,397,322,150,150,409,362,117,409,198,198,468,468,117,150,117,38,117,500,476,247,476,476,291,17,409,74,476,470,476,470,150,38,38,397,146,198,210,210,60,198,210,210,476,247,85,397,476,85,150,409,409,397,476,468,476,115,476,247,468,117,198,115,198,146,362,362,397,198,476,322,468,85,60,38,398,150,150,362,85,85,210,398,397,115,146,470,200,200,322,470,470,60,397,397,397,362
200,362,200,398,38,115,397,409,468,398,74,397,397,146,150,468,200,409,409,470,322,198,476,200,476,309,38,60,60,371,371,236,236,476,247,397,115,117,247,468,468,468,200,74,74,150,398,74,468,146,476,409,150,150,470,146,398,398,117,150,117,322,210,476,468,38,397,397,198,117,117,38,210,60,210,409,468,397,397,85,117,85,150,409,409,322,117,409,198,85,468,85,117,362,117,38,397,500,476,476,210,17,17,150,398,85,476,115,115,117,38,150,150,85,398,398,398,210,60,210,210,476,247,247,397,85,468,468,409,409,500,397,468,60,60,210,247,247,291,291,291,146,468,115,38,476,476,468,398,398,470,38,362,198,115,468,468,74,146,117,210,398,38,146,146,146,74,85,322,85,470,397,397,397,146
115,115,200,247,60,470,468,468,409,115,397,470,362,150,117,476,468,200,409,322,362,409,409,60,60,309,74,85,60,371,236,291,236,291,291,470,115,468,247,398,468,470,470,322,362,117,117,398,232,468,476,397,397,232,500,146,146,468,150,150,322,476,476,85,468,468,38,397,468,198,117,60,38,146,398,409,468,17,146,409,117,85,85,150,397,397,247,117,362,468,468,117,362,397,198,397,362,38,150,117,210,17,210,146,150,398,115,115,117,74,38,397,85,397,397,38,309,38,38,115,115,476,397,247,362,468,468,468,409,85,397,500,60,60,210,210,468,468,74,38,470,470,409,476,38,476,210,115,398,146,38,38,115,198,115,468,398,146,117,117,210,146,38,146,362,74,146,117,85,322,397,117,117,150,146
115,247,247,117,470,476,468,38,38,115,322,322,200,362,409,117,117,397,322,362,200,397,397,500,362,468,74,85,371,198,198,468,468,38,468,470,470,117,397,232,468,470,200,362,322,322,117,468,476,232,500,150,232,210,210,146,397,397,150,150,476,409,85,85,150,362,468,468,409,115,115,470,74,468,468,468,398,398,398,115,115,476,117,476,247,247,210,362,362,200,398,362,198,115,198,115,150,247,150,397,397,146,85,85,85,398,115,409,409,247,247,397,397,362,198,117,117,38,468,198,115,115,60,60,409,362,85,371,371,232,85,85,470,362,210,210,409,409,74,470,470,146,409,200,200,200,476,200,146,146,38,409,322,38,38,146,398,115,468,150,38,198,468,468,362,362,60,117,117,117,38,500,117,146,150
17,200,38,38,470,476,200,200,38,476,468,200,200,200,362,468,60,397,362,200,74,60,60,150,362,362,468,468,397,117,85,85,468,38,476,397,117,291,200,38,232,200,200,362,198,60,117,117,476,291,85,500,38,38,409,210,210,500,85,117,398,115,115,210,85,362,362,468,210,115,115,470,468,470,38,146,468,398,398,115,115,117,476,468,468,470,210,409,362,115,60,115,146,117,398,150,210,247,146,60,150,247,146,409,117,200,409,200,117,117,150,500,500,198,362,117,468,468,468,198,117,60,476,398,398,85,232,232,371,200,198,468,198,362,362,85,117,117,409,146,146,470,468,198,409,198,60,210,150,409,409,146,150,322,409,409,398,117,60,38,38,198,198,362,468,322,85,397,38,38,409,409,146,210,150
200,17,200,247,409,150,468,409,409,322,468,468,146,38,38,468,409,397,74,74,74,362,60,398,398,150,468,397,468,117,362,117,398,468,470,476,397,291,150,397,247,247,146,409,309,198,309,309,247,85,85,291,397,38,409,409,409,397,117,470,115,398,468,210,398,150,150,38,210,409,409,476,470,397,117,146,85,409,232,85,210,210,232,232,470,470,409,409,150,200,468,60,150,150,398,210,60,60,476,60,60,476,476,117,117,398,200,38,500,470,500,470,362,74,117,362,150,468,468,150,398,117,247,476,322,198,85,115,117,198,85,198,38,115,150,85,468,117,117,74,468,74,468,468,198,198,198,198,397,150,146,117,322,150,409,476,476,398,115,60,85,291,291,291,322,60,397,210,210,115,470,409,210,146,17
