x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
200,115,210,60,150,322,398,232,210,115,470,262,262,183,266,115,115,115,117,76,262,85,85,476,85,468,38,470,468,291,38,232,476,476,74,74,114,236,373,183,362,409,322,398,322,150,114,236,409,247,468,266,266,266,373,291,146,200,397,291,373,470,247,468,398,409,362,375,38,398,60,397,375,51,146,371,17,114,198,409,111,353,468,115,291,476,468,8,322,38,445,500,200,470,17,96,398,353,353,38,210,38,162,117,117,198,74,210,236,198,198,409,409,85,247,114,375,60,162,146,146,60,398,247,409,266,247,210,347,51,38,200,117,409,85,398,373,373,470,470,117,247,409,236,266,398,468,85,291,150,115,324,468,111,236,111,85,247,146,262,111,397,470,198,117,318,96,150,375,111,74,445,150,318,60
347,115,247,183,150,398,183,468,476,198,150,76,210,150,17,232,76,85,262,60,17,17,111,115,397,115,247,247,247,146,76,74,397,232,468,96,115,74,353,236,85,397,183,398,409,362,96,96,247,322,445,247,150,362,291,291,96,362,291,117,117,200,96,468,468,373,198,146,236,114,117,324,38,468,198,8,51,397,470,85,353,371,150,236,470,353,362,85,8,353,362,236,500,262,322,60,198,247,476,85,322,247,17,445,398,85,476,353,470,236,468,183,476,96,76,38,375,409,51,468,150,210,115,117,85,397,409,470,445,236,76,362,146,470,236,468,371,468,236,324,74,468,398,322,266,115,38,266,114,266,117,398,398,318,115,371,409,309,262,200,115,247,117,111,146,150,38,322,111,318,51,117,445,232,150
409,60,398,38,111,309,210,115,76,476,262,38,60,291,8,17,247,38,38,468,468,17,398,470,60,470,38,468,470,445,74,146,232,38,476,117,318,470,397,468,322,150,146,117,38,114,373,398,468,347,409,38,409,468,468,183,470,115,347,85,115,476,398,398,476,362,232,397,398,60,115,115,397,468,150,146,198,362,150,74,111,17,397,353,76,470,117,198,200,362,232,322,38,247,85,409,74,409,247,150,117,85,210,397,85,397,476,178,117,117,74,236,117,362,178,468,114,247,291,114,362,397,150,162,247,60,162,247,362,150,200,60,85,111,146,111,38,200,38,322,200,291,85,236,409,38,115,146,114,17,183,232,318,150,150,291,210,397,146,111,232,85,85,85,409,117,398,96,398,115,262,200,468,262,232
409,476,210,60,115,38,409,76,500,291,262,85,232,476,468,468,117,17,210,476,409,76,115,150,476,397,115,198,150,76,375,115,232,397,117,146,115,318,353,96,309,468,409,291,232,236,200,38,291,468,318,398,96,347,468,96,117,373,85,115,115,476,146,8,38,362,236,8,8,200,362,183,8,114,398,51,17,150,409,362,198,236,398,150,210,362,232,373,117,397,373,236,247,397,198,409,322,60,60,74,322,8,198,38,38,60,85,236,353,375,146,476,409,375,178,398,85,309,291,398,38,468,409,322,150,210,210,309,309,150,236,85,398,445,200,468,371,470,324,500,85,468,247,76,114,198,476,198,291,398,262,236,85,232,162,162,17,476,117,200,445,371,117,200,347,247,375,85,291,38,38,291,117,397,468
232,470,309,232,397,115,115,111,236,17,500,85,114,476,500,74,262,17,74,291,409,398,470,397,114,398,468,353,210,210,362,353,178,232,353,375,38,236,38,309,409,178,117,375,468,247,178,291,362,117,146,76,247,322,476,476,409,146,117,347,146,146,115,96,322,60,150,146,150,232,236,114,236,96,96,17,85,17,150,500,318,85,500,111,210,353,397,236,200,247,150,150,373,60,397,117,114,210,232,38,398,146,38,210,375,8,198,398,8,476,115,468,470,232,198,409,470,111,262,111,362,347,266,362,38,347,347,210,38,470,60,232,38,322,324,115,198,247,476,322,38,247,38,114,409,76,74,291,17,266,468,114,198,210,114,17,409,85,371,470,60,470,115,51,371,247,200,262,74,409,85,397,470,397,468
468,470,247,38,236,375,146,111,117,476,232,470,85,247,74,115,309,85,291,38,76,247,111,397,210,210,468,150,362,115,74,324,362,236,362,397,468,96,398,85,318,115,322,397,409,291,397,76,398,117,468,247,470,373,146,398,210,500,178,198,150,85,117,266,178,322,468,398,111,232,476,114,200,232,96,17,150,500,318,470,476,111,115,210,500,353,397,85,210,397,470,322,146,445,476,236,500,500,210,162,198,115,247,146,409,398,8,232,85,236,117,398,266,85,470,468,347,470,115,200,409,117,409,236,85,468,409,397,398,397,162,324,236,470,200,397,117,117,115,324,476,17,397,266,398,17,247,266,373,318,468,85,470,445,309,309,322,409,162,397,262,262,232,51,51,51,398,291,115,150,468,232,150,470,38
398,470,60,247,476,470,468,111,74,111,397,150,198,85,210,198,398,198,398,291,362,114,115,409,38,17,476,362,8,115,17,470,146,324,470,17,96,409,236,470,236,470,198,476,470,115,150,398,409,247,362,397,409,309,17,247,362,117,17,476,198,198,178,85,117,468,291,117,324,146,115,322,111,398,146,309,198,322,397,318,470,236,476,232,85,232,409,115,247,183,198,322,115,476,232,198,85,247,117,114,8,445,232,375,409,362,117,210,470,8,397,362,398,115,247,115,470,114,115,85,398,476,375,60,362,114,347,362,398,115,162,146,115,150,362,322,85,247,117,398,470,362,236,266,362,476,150,115,17,476,76,210,262,353,38,162,85,371,445,51,397,371,76,200,85,38,247,476,111,398,322,60,117,115,115
476,60,114,397,60,114,200,500,111,111,200,468,398,500,74,200,114,476,198,150,115,397,470,236,236,74,74,445,115,236,146,74,17,178,476,470,353,309,353,210,291,96,236,115,397,178,470,247,397,468,115,178,409,115,17,17,470,198,115,347,60,150,198,96,291,60,409,115,362,409,114,115,210,397,397,115,115,375,397,398,17,476,409,309,291,470,318,146,397,76,470,115,117,236,468,150,468,150,470,74,114,324,114,318,17,397,397,397,347,247,236,247,236,362,8,85,266,309,198,322,362,262,398,397,322,322,375,468,324,115,74,162,309,476,445,111,468,500,115,183,409,17,266,247,232,150,200,85,115,115,409,470,51,397,397,60,470,115,38,96,96,76,210,362,111,115,117,476,468,38,347,74,111,362,262
232,397,409,200,468,38,470,468,111,266,200,85,476,232,76,200,398,74,468,232,38,362,500,291,476,397,117,445,353,117,398,362,210,115,409,74,324,210,353,409,353,468,353,247,247,117,17,291,236,146,146,398,470,470,362,468,398,150,60,115,117,117,500,60,398,150,117,8,85,373,115,476,38,76,85,398,85,476,324,409,371,210,318,373,146,146,476,236,318,398,409,117,200,114,85,114,468,397,117,398,398,371,232,397,114,500,375,470,362,210,8,60,266,162,178,210,210,38,309,398,210,476,247,111,162,476,60,236,398,262,309,445,330,362,85,468,309,500,117,324,51,309,236,398,309,117,111,470,117,409,115,17,8,445,85,85,468,115,85,362,409,247,8,96,470,371,210,398,468,470,51,398,322,470,262
262,409,115,409,17,60,262,232,476,398,146,397,398,76,247,362,114,114,397,476,362,96,476,117,500,247,17,198,85,397,397,150,85,476,146,409,150,150,309,470,322,322,150,38,74,247,353,17,353,38,470,247,114,146,373,198,397,309,117,198,247,198,146,500,398,8,398,322,117,115,117,38,398,74,117,409,470,362,397,324,324,38,362,409,500,183,60,470,150,74,373,8,76,397,146,60,397,468,409,398,198,60,85,117,362,115,375,162,178,162,60,162,347,210,347,362,266,322,324,347,198,476,247,309,375,117,322,397,409,247,398,262,309,115,117,232,232,150,324,470,445,318,468,200,74,468,468,309,262,347,324,8,309,210,76,470,322,8,362,117,322,476,8,210,232,232,115,198,397,150,470,232,476,409,210
