x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
198,146,232,38,291,371,468,232,266,115,468,322,262,198,262,146,146,117,162,115,247,85,85,468,96,468,8,476,470,324,60,266,470,500,74,74,150,247,371,247,353,468,362,445,362,210,146,353,445,247,409,210,210,309,397,309,115,210,375,262,397,409,262,409,397,398,362,371,60,409,96,409,409,17,210,397,17,115,117,409,85,371,397,85,117,409,409,38,210,74,468,500,183,476,60,96,409,397,322,60,210,114,200,200,200,236,114,309,247,236,200,398,398,51,236,96,322,60,150,146,210,85,398,309,409,309,397,232,322,51,51,210,210,409,114,409,371,371,470,470,117,150,398,210,232,398,468,76,247,146,146,371,445,111,291,114,85,266,117,266,85,398,468,146,117,266,85,162,398,146,76,470,150,324,117
322,150,322,183,198,397,150,476,476,266,247,117,262,236,8,236,117,115,262,38,38,17,85,96,468,76,309,309,324,117,74,74,409,371,476,117,146,117,397,353,117,445,150,445,468,353,85,85,322,322,468,322,115,362,362,362,85,375,309,150,150,247,117,409,409,375,198,198,324,146,198,397,60,468,210,17,74,409,470,85,291,322,114,183,398,397,247,96,38,362,397,232,500,397,397,60,200,322,445,60,247,236,38,468,398,114,476,397,468,236,468,200,476,150,85,38,371,398,38,409,236,236,146,146,115,468,409,470,409,247,85,371,183,470,236,445,371,445,236,291,60,398,397,262,200,150,60,236,96,236,146,409,398,322,115,309,468,266,266,210,85,210,117,115,162,150,17,397,146,373,74,198,468,322,291
373,74,322,38,74,291,150,117,74,500,291,74,85,322,8,8,232,38,60,470,468,17,362,470,38,468,38,445,470,476,60,200,309,17,476,200,266,445,397,468,362,150,117,85,8,85,397,397,468,362,468,17,409,445,468,200,468,115,322,85,117,468,409,398,468,375,247,398,398,60,146,146,398,468,146,146,210,397,146,76,76,17,409,210,85,398,111,115,150,371,200,397,74,330,76,398,74,409,247,198,115,114,210,398,114,398,476,232,198,60,60,266,198,409,150,409,115,309,309,115,371,398,150,198,322,115,198,210,291,232,115,85,85,150,150,115,51,150,85,247,150,236,85,232,468,60,115,115,96,17,200,232,291,114,146,291,210,362,210,96,232,96,96,74,397,115,397,146,397,85,210,198,468,324,324
324,468,150,74,85,38,371,38,500,362,291,115,322,476,398,362,146,8,198,470,373,76,115,210,476,309,114,200,198,96,397,117,210,468,146,200,117,371,247,115,353,445,409,210,232,210,146,17,247,468,362,468,96,362,445,85,115,373,85,117,146,468,150,38,74,362,232,38,17,198,397,232,17,96,445,76,17,117,409,200,115,183,397,115,210,247,236,362,96,371,371,232,330,397,198,398,247,74,76,76,247,38,117,38,38,60,85,236,362,371,198,468,468,409,150,375,85,309,309,398,51,468,409,322,150,198,210,291,236,183,236,115,398,470,232,445,291,476,291,476,85,445,236,85,115,200,476,210,247,398,247,232,60,232,146,146,17,500,210,210,398,362,115,162,309,322,398,85,373,17,60,200,198,373,409
162,409,232,183,322,85,117,85,322,17,500,85,85,476,500,76,210,8,17,362,362,362,476,362,150,362,468,362,200,247,373,362,198,210,353,373,8,232,8,236,468,117,85,397,445,200,117,247,398,117,146,38,200,322,500,476,445,117,117,373,146,150,117,74,247,74,150,117,150,362,362,96,322,76,85,17,76,17,117,476,200,85,476,85,200,291,398,236,200,200,200,150,330,76,397,115,115,200,210,74,362,117,60,210,373,38,236,397,17,476,117,445,470,210,198,397,470,85,291,117,373,322,322,373,51,371,210,198,51,409,51,291,51,324,291,114,115,200,476,247,60,198,60,96,409,85,85,247,60,291,476,114,198,210,114,17,409,51,362,468,74,468,115,51,322,324,322,324,85,409,76,210,409,322,409
409,468,183,38,262,322,146,115,150,476,183,470,85,322,76,146,262,115,362,17,60,262,117,322,200,200,468,150,362,114,60,309,353,210,373,397,445,85,371,60,371,85,353,371,468,247,409,38,398,146,470,247,476,398,115,409,150,476,146,146,115,85,150,247,232,266,409,409,117,397,476,38,232,322,85,17,115,476,291,470,476,85,96,200,476,362,397,38,210,397,409,236,146,445,500,330,500,500,210,198,198,114,236,117,409,373,17,330,85,247,117,445,262,85,470,470,373,470,117,200,409,198,468,236,60,409,409,371,409,397,232,247,236,445,232,470,114,114,96,247,470,60,397,266,409,38,210,262,397,397,468,111,500,468,262,247,262,409,232,398,324,309,232,60,60,51,398,322,150,198,409,150,117,409,38
373,409,38,232,468,468,468,115,60,111,397,150,150,111,150,146,398,232,468,322,262,115,117,468,17,17,476,373,8,114,8,476,146,309,468,8,85,445,371,500,210,500,117,500,468,76,76,398,409,232,397,397,409,200,8,162,397,74,51,476,200,162,200,117,200,468,324,146,409,117,146,371,115,445,117,322,247,322,398,397,470,200,476,200,96,247,398,115,232,115,115,247,146,500,210,200,114,362,198,115,60,468,232,373,445,373,115,247,470,17,373,371,409,200,291,85,470,115,115,60,397,476,398,60,309,85,291,371,397,198,236,183,117,198,291,324,96,247,111,409,409,397,266,309,397,476,200,115,17,476,111,262,247,397,60,232,74,397,409,51,398,353,96,232,111,51,247,476,146,409,198,74,85,117,117
470,38,85,397,60,117,198,476,85,111,291,409,397,476,60,150,115,470,210,162,117,468,470,247,262,74,74,398,114,210,150,17,8,210,470,468,373,236,353,200,232,85,150,115,322,146,468,247,397,470,117,210,468,38,8,8,470,162,74,266,51,200,210,117,353,85,409,146,373,470,115,115,309,445,398,117,115,397,397,397,17,470,398,322,322,398,353,150,373,74,470,96,146,200,468,200,468,183,476,85,85,262,146,266,38,409,409,445,373,330,322,291,236,375,17,38,291,210,150,309,397,309,409,398,291,309,409,468,291,117,115,198,247,470,398,96,398,476,111,146,409,38,291,262,236,198,200,115,115,146,468,476,17,397,397,60,500,111,38,117,117,111,247,353,117,146,150,476,468,51,200,60,74,236,371
236,322,409,183,468,60,470,445,85,291,247,111,470,210,60,150,409,96,468,210,17,373,500,322,476,397,115,397,371,114,468,373,210,115,409,74,353,200,353,470,397,470,397,200,200,117,8,247,200,200,146,468,476,500,397,470,409,150,74,85,85,115,500,74,470,247,200,38,115,371,117,470,60,76,76,468,117,470,291,398,353,198,266,371,115,150,468,210,210,398,398,96,200,150,96,115,468,409,117,468,409,266,262,409,114,500,398,476,397,247,38,38,322,200,200,210,198,17,236,397,198,476,236,115,198,500,51,198,409,236,247,445,247,324,114,445,247,476,117,309,38,309,266,468,291,150,115,476,146,468,146,60,17,445,114,114,445,117,111,353,398,309,38,146,476,373,322,373,468,476,51,397,322,409,236
322,397,183,373,17,115,262,150,470,397,115,362,409,76,210,362,115,162,398,470,398,85,476,150,500,262,8,115,85,398,371,117,74,470,200,409,183,150,247,470,409,397,200,76,76,210,371,8,398,60,476,266,117,210,397,210,397,266,115,162,200,183,115,476,468,38,409,353,150,115,117,60,398,85,183,398,468,353,397,210,291,38,322,409,476,198,38,468,183,60,397,8,74,397,150,85,409,476,476,409,146,74,76,117,373,114,468,115,117,115,38,85,291,198,371,371,200,291,291,309,198,476,236,247,398,115,397,445,468,210,398,247,247,114,117,247,236,198,309,468,409,309,476,198,60,468,468,330,247,362,362,17,330,210,111,476,324,17,324,150,322,476,8,291,247,247,114,150,322,117,476,236,476,398,162
