x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
178,118,210,51,189,347,397,210,211,117,409,288,232,204,322,117,117,146,162,117,314,115,115,476,117,468,38,468,398,309,39,255,470,481,76,85,115,266,362,159,362,445,318,371,283,115,85,210,409,280,429,200,210,247,322,255,117,191,397,318,336,476,280,409,362,373,291,362,60,397,76,388,373,38,191,324,8,117,200,398,115,371,445,118,236,477,476,8,322,34,409,500,204,476,38,117,397,347,347,60,197,85,150,147,117,197,74,210,266,200,157,398,397,111,291,178,371,51,162,189,150,60,398,309,429,266,236,204,353,38,8,236,150,398,85,398,292,354,468,470,115,198,398,200,280,397,445,111,318,198,112,355,468,96,255,115,115,318,207,324,110,397,445,211,150,322,115,207,397,146,74,398,191,262,85
280,115,236,159,200,397,200,429,468,198,200,85,247,197,34,262,114,115,314,96,17,5,146,162,388,147,280,262,262,146,85,85,371,232,468,96,150,60,314,200,76,373,162,397,409,353,110,86,210,242,445,232,117,347,200,255,74,324,280,150,143,200,96,468,445,347,191,150,236,117,183,309,17,445,189,5,76,388,470,96,296,330,198,200,409,373,324,85,5,318,324,236,500,336,324,85,244,309,476,86,322,309,34,468,362,86,476,324,470,232,468,143,500,118,85,23,353,388,39,445,197,222,114,146,86,362,445,500,409,262,85,336,178,476,247,397,330,400,183,288,39,409,409,296,309,115,60,291,96,291,146,398,397,309,117,397,409,318,322,244,118,314,162,115,157,191,38,324,146,318,74,178,397,189,150
397,38,353,8,74,318,178,150,76,476,314,38,38,353,5,34,280,74,74,468,409,34,375,429,60,409,60,400,468,409,74,178,247,34,477,162,322,468,388,468,324,117,147,117,38,85,353,388,468,247,373,34,362,409,398,118,468,110,291,38,112,470,397,398,481,336,242,409,409,74,146,118,362,468,198,198,207,353,162,76,114,8,354,266,51,470,118,162,200,347,203,330,17,244,85,468,86,468,255,222,178,115,280,397,115,336,481,178,117,117,85,242,146,347,157,468,117,247,309,115,330,398,147,200,244,60,191,280,397,200,146,38,74,114,157,86,23,143,17,309,189,291,76,211,400,23,117,117,111,17,197,236,309,150,147,296,232,362,200,115,232,117,146,85,409,117,388,150,388,150,318,207,398,244,207
362,476,204,60,146,34,398,85,500,353,291,115,291,470,397,398,189,38,232,470,388,85,191,207,476,362,157,197,200,96,373,115,236,400,117,150,114,280,347,115,291,470,409,292,210,203,200,38,236,468,236,397,74,255,445,60,115,362,60,85,86,468,198,38,60,371,296,17,17,262,318,210,8,150,400,74,5,150,398,322,183,232,388,150,198,330,207,362,115,397,362,210,288,397,198,398,291,76,85,111,336,17,178,38,60,74,96,262,309,362,147,477,398,397,115,362,74,291,314,409,8,470,468,322,150,200,178,266,314,159,292,112,397,445,232,468,318,468,291,477,85,409,283,74,117,198,476,162,247,371,222,236,85,203,178,162,8,477,189,266,468,355,200,236,336,318,362,96,355,8,17,291,189,397,445
200,468,292,210,397,118,197,117,318,5,500,114,117,470,500,96,314,23,74,322,388,353,468,398,146,355,409,322,200,283,336,347,191,207,330,397,8,262,51,291,409,197,117,397,445,247,200,236,324,115,115,39,232,247,470,476,397,115,85,288,183,146,117,86,266,74,204,198,189,280,291,117,314,115,147,38,111,17,183,500,322,76,500,85,183,292,397,236,207,280,147,162,355,60,354,115,117,280,266,38,409,178,51,210,362,8,197,397,8,476,110,429,476,191,146,398,470,110,291,96,336,322,291,371,38,324,324,247,23,476,39,262,5,291,314,112,178,210,468,292,17,207,39,96,445,76,51,309,17,232,468,86,200,232,111,17,398,86,336,476,85,476,159,51,330,291,236,296,110,468,112,330,468,353,429
409,468,280,17,291,354,203,118,117,470,198,398,96,322,85,162,336,115,314,51,111,292,117,354,222,210,398,162,353,111,74,291,330,210,354,371,468,76,398,85,322,86,296,397,468,266,371,85,375,111,468,198,445,330,111,397,198,500,183,183,178,60,150,291,247,322,409,388,115,288,500,110,262,280,86,8,210,477,314,468,470,111,115,191,500,314,375,114,247,397,470,347,197,409,470,296,476,476,280,247,247,117,288,162,409,362,23,247,85,266,114,375,222,85,476,445,330,468,111,197,409,115,398,203,111,470,397,371,397,354,197,266,236,470,203,398,115,110,76,322,470,8,324,266,398,17,232,280,347,262,409,74,470,468,280,314,353,397,211,388,318,266,291,60,60,74,397,318,150,146,470,247,159,476,8
388,468,51,247,470,468,445,86,85,115,371,150,183,86,210,200,398,211,397,318,324,162,150,397,60,8,445,347,34,115,23,429,117,296,476,5,114,398,291,476,222,481,150,500,468,96,147,397,398,189,291,371,398,222,8,200,322,76,8,445,200,236,191,85,162,409,288,178,347,150,117,314,117,468,203,292,204,324,373,309,445,266,476,200,60,232,398,115,288,178,232,330,146,476,247,262,85,322,203,146,17,468,232,354,409,347,115,210,468,5,373,324,400,115,262,117,481,85,96,85,398,476,373,39,354,112,347,309,409,112,197,146,115,146,292,247,74,210,96,353,409,324,198,247,362,476,157,117,5,476,76,210,210,291,39,183,96,353,409,74,373,371,86,203,112,34,266,477,117,388,318,51,146,96,115
500,60,111,373,39,115,204,477,115,112,236,400,371,476,60,189,117,476,203,198,147,355,409,211,242,76,85,445,147,210,150,51,17,200,476,445,324,324,354,191,232,112,200,115,336,183,476,247,353,468,112,178,388,74,8,23,409,150,85,314,51,197,236,111,247,60,445,146,336,375,143,114,262,397,373,150,117,362,398,388,5,470,397,322,291,470,280,146,354,85,476,147,150,283,468,150,398,210,470,74,112,330,118,322,17,373,355,371,322,280,262,247,210,354,5,74,288,266,203,322,347,280,409,375,283,296,347,468,244,85,60,189,247,476,397,74,388,477,85,143,375,8,255,247,183,143,150,96,117,118,397,476,74,347,362,76,445,189,51,146,117,96,210,324,115,114,146,500,409,38,322,85,117,373,247
207,373,398,198,429,38,470,409,96,255,200,76,468,210,51,198,375,51,468,210,23,347,481,291,468,373,150,409,330,115,409,318,242,118,468,60,330,210,353,445,322,470,373,210,210,146,38,200,198,118,117,397,429,470,309,468,388,117,51,114,114,118,476,110,371,189,147,5,85,397,178,481,38,112,96,397,110,500,309,398,362,200,236,397,189,117,476,296,318,445,409,150,210,85,115,118,400,362,162,398,397,362,211,397,111,500,347,468,353,191,34,60,255,147,150,198,203,34,283,409,150,470,198,74,146,500,39,210,398,207,262,398,283,322,76,409,247,500,111,296,51,210,203,397,283,115,85,477,150,397,115,38,8,429,111,115,429,162,114,354,468,283,17,115,476,353,247,375,468,468,51,397,353,470,204
280,409,150,397,5,76,266,200,476,375,146,362,397,60,266,318,115,115,373,468,322,85,470,115,476,244,38,197,74,398,336,146,60,500,189,397,197,162,247,468,362,322,159,51,85,207,324,8,291,38,429,198,76,143,347,115,354,247,115,197,222,189,118,477,397,23,398,309,118,115,157,51,429,85,183,397,468,266,354,322,262,34,318,397,481,146,51,468,198,85,347,5,74,362,204,38,375,468,445,388,204,38,115,183,318,146,362,191,198,183,38,157,371,178,354,397,255,296,322,330,146,481,211,266,336,115,266,330,371,191,355,210,232,85,114,232,191,117,291,398,397,210,468,183,38,398,409,322,247,347,314,17,292,291,111,470,309,8,362,150,296,476,23,210,291,244,115,178,388,178,476,210,476,398,232
