x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
375,397,371,183,362,324,314,456,398,453,461,449,373,463,445,384,439,452,409,354,409,459,437,477,322,330,307,397,429,255,291,247,318,322,251,236,222,203,296,222,251,371,291,156,409,150,354,159,265,232,266,266,210,291,197,262,222,136,292,86,147,225,115,86,42,110,111,44,20,150,86,115,48,23,51,47,5,117,85,85,118,117,117,42,86,178,85,74,247,178,200,439,304,408,351,262,304,397,397,408,388,397,288,443,399,353,437,417,420,388,455,477,409,445,458,454,408,439,375,410,347,235,397,309,452,392,420,236,303,371,291,362,445,458,420,353,454,452,397,476,347,409,468,398,387,409,409,309,347,397,350,347,266,232,322,150,42,120,38,266,72,210,117,146,110,69,37,111,150,200,25,322,236,146,117
408,429,353,330,366,476,288,399,485,452,443,454,398,409,429,454,445,454,468,408,354,362,398,429,476,350,362,362,262,387,354,96,309,291,398,318,232,47,157,235,150,150,314,318,375,324,255,314,232,324,291,318,266,197,324,236,115,200,162,111,146,51,38,200,96,143,112,146,120,85,147,115,111,183,76,5,72,242,189,191,38,72,76,162,66,85,60,117,23,178,200,210,351,207,445,409,354,236,445,439,470,307,409,468,445,440,468,463,481,455,470,448,500,408,347,420,461,457,324,409,420,292,452,353,266,283,476,409,200,392,291,347,397,470,409,375,473,468,439,461,445,481,476,461,459,350,373,371,330,398,322,409,336,225,111,266,247,47,255,150,146,236,200,159,242,85,69,114,111,203,150,111,291,353,244
476,330,409,397,445,388,445,397,408,477,468,375,445,476,366,362,443,362,409,440,476,211,457,470,353,408,388,384,232,324,266,251,288,156,210,200,204,178,147,232,178,204,195,236,191,371,355,350,409,292,232,72,353,268,157,235,183,291,157,159,110,296,117,322,198,114,191,143,74,236,33,110,225,189,150,198,146,147,117,195,183,54,140,150,111,117,28,140,210,118,203,232,85,198,318,322,291,387,398,371,409,440,397,410,454,470,439,452,355,351,371,461,398,452,459,420,448,449,440,397,420,330,449,461,428,362,373,384,428,353,280,397,280,408,445,410,347,440,387,409,464,455,397,408,470,387,322,410,384,354,291,373,457,207,347,398,336,147,244,44,111,156,118,136,200,236,242,222,211,85,115,204,350,272,347
476,481,371,420,366,409,473,353,476,371,468,408,468,485,336,398,468,296,457,476,473,399,375,439,291,324,397,210,314,387,392,178,232,309,266,280,255,268,280,76,307,146,120,322,304,244,330,235,354,417,443,347,143,291,265,280,362,266,140,117,114,198,140,33,162,198,195,76,96,283,232,198,147,235,255,195,8,96,292,143,200,291,76,44,69,76,117,242,60,150,330,255,314,157,309,211,322,429,362,392,468,350,443,428,388,397,449,470,457,476,457,485,477,477,458,474,397,324,464,355,410,481,387,409,354,291,449,288,409,351,429,197,210,482,400,464,457,388,468,485,409,481,417,392,375,464,400,409,307,375,464,371,318,266,330,324,183,362,236,140,255,74,266,198,318,162,118,236,198,111,60,309,318,397,242
459,387,468,397,473,420,398,449,417,375,500,453,452,485,500,429,470,384,437,354,388,464,481,347,247,461,384,204,347,366,296,408,200,314,291,255,247,162,247,235,303,140,203,262,211,388,232,336,373,371,373,322,283,236,330,353,373,118,76,330,242,292,178,200,191,74,112,283,86,157,291,210,120,204,51,150,150,191,42,222,200,51,236,147,111,114,204,266,159,296,110,115,280,291,247,309,265,207,371,362,468,409,397,458,468,373,459,362,347,485,453,470,482,409,464,475,476,409,468,375,314,470,440,371,355,399,458,397,398,445,428,417,266,468,468,452,440,455,476,461,437,454,417,398,481,445,398,398,428,307,476,197,157,198,146,262,115,210,236,255,156,150,86,189,200,324,210,251,44,247,262,232,366,398,468
481,481,440,429,398,475,464,439,452,483,468,482,452,409,445,439,397,454,388,392,292,397,448,225,463,464,408,371,373,195,244,417,232,307,262,408,314,291,255,314,324,251,307,409,288,322,198,439,375,207,454,318,371,322,350,255,362,445,324,183,236,347,210,232,197,156,200,255,54,146,203,146,288,283,200,73,191,236,235,210,162,197,72,86,247,351,203,200,146,211,178,455,354,236,437,236,375,473,353,428,408,309,330,373,476,477,398,463,452,443,449,464,445,428,476,482,437,470,445,457,476,399,468,398,397,483,384,400,373,468,452,470,399,483,445,397,397,452,408,473,481,420,437,468,454,429,440,392,457,420,445,291,314,458,336,296,354,398,247,198,288,222,211,33,96,322,225,232,303,262,283,408,353,314,143
468,483,440,456,483,482,476,439,417,454,470,461,461,454,445,461,476,470,468,408,464,456,440,428,409,262,336,375,235,280,283,330,366,236,439,247,318,375,347,417,304,347,198,318,324,353,330,324,362,373,410,409,314,371,353,262,198,350,272,283,183,207,115,210,197,150,330,371,347,247,280,304,283,247,115,373,244,247,283,266,398,262,198,222,69,280,236,178,140,114,111,322,336,262,292,232,350,387,362,355,247,440,428,454,449,400,410,455,476,428,468,473,470,429,468,398,485,384,397,437,362,398,457,351,398,375,362,448,409,439,408,409,255,456,449,456,397,455,445,445,461,476,470,445,439,477,440,429,353,336,392,387,204,247,307,362,283,292,291,195,162,265,304,266,114,191,262,314,309,255,322,397,318,347,353
500,428,454,481,440,445,464,461,437,454,452,476,476,485,448,464,399,429,409,437,449,428,429,397,375,399,347,283,445,266,198,266,200,288,362,429,204,200,232,292,371,272,353,371,296,235,350,262,210,397,292,314,291,236,235,236,336,373,280,350,162,350,76,262,353,272,314,210,330,336,375,120,255,146,235,291,150,366,362,362,197,178,251,236,242,247,111,183,210,283,375,112,268,242,283,111,429,324,304,420,355,474,443,470,428,473,476,474,366,437,461,474,459,459,397,400,464,456,445,409,463,322,443,470,373,439,464,482,292,387,355,461,468,375,437,429,475,475,443,454,464,388,443,475,464,464,456,388,458,210,463,461,236,398,355,159,268,266,183,150,140,112,255,272,296,157,336,428,262,247,354,330,236,437,409
468,474,477,464,483,443,485,481,408,470,464,448,481,468,420,461,458,398,470,453,291,392,375,397,468,458,354,314,183,292,400,318,397,353,247,85,203,159,157,262,147,236,330,203,197,183,262,197,354,428,309,443,255,400,283,373,420,232,398,309,146,189,457,178,292,324,140,146,266,304,309,448,362,266,296,314,207,336,347,255,307,291,318,371,156,111,266,262,247,159,324,117,178,191,189,353,409,314,373,464,347,454,461,475,452,477,459,409,468,443,437,445,464,445,452,455,449,440,473,476,453,483,458,347,445,485,399,362,409,456,392,461,384,454,448,481,470,500,410,468,440,459,468,482,457,362,409,408,397,457,409,280,197,309,200,210,207,292,272,251,330,366,198,150,355,398,350,408,392,437,373,398,445,355,388
475,477,458,477,417,452,468,464,485,481,454,476,476,449,464,454,392,452,476,485,399,387,476,408,468,454,309,322,247,371,262,232,146,178,247,210,324,291,392,247,397,118,288,350,398,266,400,384,198,157,362,362,307,324,458,336,409,398,232,266,251,296,235,410,288,244,189,371,314,296,283,210,247,247,409,366,351,318,296,236,398,25,210,242,400,136,262,330,146,60,189,42,322,470,204,288,232,476,387,458,457,362,350,457,476,409,464,453,453,455,439,429,468,375,476,477,470,461,473,420,459,500,461,468,470,455,457,474,443,397,408,464,470,445,452,468,453,457,473,481,477,461,482,464,429,477,448,455,397,354,455,303,454,191,362,439,162,247,288,324,200,392,283,355,314,280,162,362,330,291,445,288,468,468,452
