species_richness,M,a,K,lambda_str,range_str,scaled_cov
107,99,25.0,25.0,0_0,0_05,0.0
103,99,25.0,25.0,0_0,0_1,0.0
83,1,25.0,25.0,0_0,0_1,0.15326743654568162
86,1,25.0,25.0,0_0,0_05,0.14807387080414564
332,7,0.5102040816326531,25.0,0_0,0_5,0.3789558709364031
260,3,2.7777777777777777,25.0,0_0,0_5,0.3217101407385124
163,9,0.30864197530864196,25.0,0_0,0_05,0.1490960470363852
246,7,0.5102040816326531,25.0,0_0,0_1,0.25955291122911067
216,11,0.2066115702479339,25.0,0_0,0_1,0.21692224065734061
222,3,2.7777777777777777,25.0,0_0,0_1,0.2594513084342825
151,11,0.2066115702479339,25.0,0_0,0_05,0.12462526261581014
135,15,0.1111111111111111,25.0,0_0,0_05,0.08626641346172728
296,13,0.14792899408284024,25.0,0_0,0_5,0.3397974108031215
128,19,0.06925207756232687,25.0,0_0,0_05,0.06096194582455727
193,15,0.1111111111111111,25.0,0_0,0_1,0.1812472814234743
181,17,0.08650519031141868,25.0,0_0,0_1,0.16774188233137796
130,17,0.08650519031141868,25.0,0_0,0_05,0.07226125436303628
81,1,25.0,25.0,0_0,0_5,0.15674534680192104
194,5,1.0,25.0,0_0,0_05,0.20322301911018453
248,5,1.0,25.0,0_0,0_1,0.28181219267795904
105,99,25.0,25.0,0_0,0_5,0.0
231,9,0.30864197530864196,25.0,0_0,0_1,0.23759414075163302
330,9,0.30864197530864196,25.0,0_0,0_5,0.3618220097495337
259,21,0.05668934240362812,25.0,0_0,0_5,0.2813725203271425
177,3,2.7777777777777777,25.0,0_0,0_05,0.2123790814612235
178,7,0.5102040816326531,25.0,0_0,0_05,0.17747554314159858
312,11,0.2066115702479339,25.0,0_0,0_5,0.3508711035330352
200,13,0.14792899408284024,25.0,0_0,0_1,0.20106186598634498
146,13,0.14792899408284024,25.0,0_0,0_05,0.10166933173656105
328,5,1.0,25.0,0_0,0_5,0.37488758326492666
286,15,0.1111111111111111,25.0,0_0,0_5,0.3231605705413211
277,17,0.08650519031141868,25.0,0_0,0_5,0.3072100802145643
170,19,0.06925207756232687,25.0,0_0,0_1,0.15433072436658493
265,19,0.06925207756232687,25.0,0_0,0_5,0.2968472713010121
123,21,0.05668934240362812,25.0,0_0,0_05,0.05303208154007999
163,21,0.05668934240362812,25.0,0_0,0_1,0.14300868968062486
