x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
487,487,488,491,487,491,491,489,491,487,491,489,489,488,491,487,487,487,487,487,489,487,487,491,478,491,467,491,491,487,457,478,491,491,457,452,452,452,452,442,442,433,413,402,386,362,343,337,337,316,316,291,282,262,255,251,237,219,219,203,194,183,176,183,160,160,154,160,128,154,128,154,154,128,152,160,128,154,160,179,161,191,194,203,219,251,255,223,255,251,295,315,295,312,310,320,343,337,364,355,366,370,390,398,404,414,414,432,433,433,433,452,450,452,452,432,442,433,450,450,450,433,457,452,457,452,442,442,450,431,414,432,421,433,404,414,395,402,402,395,364,364,366,355,343,336,337,316,316,295,291,291,292,274,274,251,251,255,251,251,223,237,237,227,219,220,211,219,223,211,209,227,219,219,212
489,487,489,491,488,491,488,491,491,489,491,487,489,488,487,491,487,489,489,478,469,462,487,487,487,478,488,487,487,478,462,462,478,469,487,491,452,442,452,442,431,432,404,386,392,370,355,329,329,322,316,291,291,274,251,251,219,223,212,194,183,183,160,183,160,160,160,152,154,140,152,154,128,160,154,122,152,160,183,160,183,194,203,211,227,237,251,251,237,278,284,291,291,316,329,329,355,362,355,362,392,395,386,421,421,414,452,442,452,442,457,442,469,442,442,432,457,457,442,457,452,452,452,450,457,452,457,469,452,442,432,442,432,452,431,404,414,414,390,390,386,386,370,362,355,337,316,327,315,316,292,295,292,284,274,280,274,251,255,251,227,251,227,220,220,220,211,227,219,227,211,219,237,227,227
491,489,487,489,487,487,488,488,487,491,489,478,478,491,462,489,489,491,478,491,491,491,487,491,478,491,478,491,487,491,462,469,478,450,491,457,450,467,452,452,432,421,404,386,364,357,364,355,343,316,316,274,291,262,261,251,251,211,219,191,183,194,183,191,183,160,160,160,160,140,152,152,160,161,154,160,160,176,169,161,179,177,219,219,219,255,251,251,262,284,284,295,291,320,320,337,337,336,364,372,395,392,404,421,442,433,457,432,432,433,432,450,450,462,450,467,450,452,457,450,457,462,450,452,452,433,450,452,452,442,433,431,431,431,431,413,413,404,386,395,386,381,357,366,364,327,337,327,320,295,315,295,292,282,278,274,274,274,255,251,251,251,237,227,251,237,251,223,211,227,237,227,251,237,251
489,491,489,478,487,487,478,487,491,491,489,488,491,491,491,491,488,478,489,491,491,478,487,487,491,478,487,487,478,491,488,491,478,487,457,457,457,452,452,432,442,421,404,398,386,364,357,327,329,329,316,292,274,274,262,237,227,227,219,194,183,203,177,154,154,177,154,140,129,140,160,154,160,154,161,169,140,161,183,177,191,209,220,219,251,251,251,274,262,291,291,310,316,320,336,362,362,362,362,370,398,386,411,404,432,421,442,442,442,452,442,469,450,462,450,462,450,457,457,467,432,469,467,457,432,452,452,457,452,442,450,432,452,452,432,442,431,431,411,414,386,395,372,362,357,355,364,336,329,329,316,315,291,291,291,280,251,291,255,255,262,255,237,251,251,251,251,227,251,212,219,251,251,255,255
487,491,489,489,491,487,488,491,491,469,491,487,487,491,487,491,489,478,489,489,491,491,491,491,487,491,491,488,478,478,478,478,469,467,469,469,442,452,432,432,432,421,404,402,364,364,357,343,337,316,292,312,282,274,255,262,227,219,211,211,194,183,177,160,169,160,160,160,154,160,154,154,160,154,160,154,160,154,183,219,211,203,255,219,237,251,261,251,274,291,292,315,322,316,343,343,357,364,386,372,411,404,404,442,442,414,442,452,431,467,467,462,469,452,452,467,469,450,457,450,462,462,457,462,442,457,457,452,432,462,432,450,413,452,414,431,431,414,421,404,386,386,386,362,370,355,336,343,315,329,337,312,315,315,282,274,291,274,278,284,251,278,251,237,255,251,251,251,237,255,251,251,261,251,262
491,491,489,478,489,489,489,489,487,491,489,491,487,489,487,488,491,487,489,491,478,489,487,489,489,487,491,491,489,478,462,478,478,469,478,469,469,450,457,432,442,414,414,404,395,364,364,336,337,316,320,291,292,280,251,262,237,255,237,209,194,177,179,183,176,169,177,169,154,160,183,154,160,160,160,152,177,161,194,219,194,211,219,237,262,255,274,274,292,284,320,320,320,343,364,357,355,395,386,395,404,411,432,432,450,442,431,450,442,452,450,462,452,450,478,469,450,478,452,452,469,462,469,457,450,452,462,452,457,452,450,452,462,457,433,442,431,414,404,413,414,370,390,381,372,343,362,355,343,337,337,315,329,295,295,292,291,292,280,284,274,262,261,262,251,251,261,255,251,251,262,251,251,278,237
491,491,478,489,491,491,491,487,487,491,491,488,488,487,489,489,491,489,491,489,489,487,487,491,478,467,491,489,478,478,457,489,478,478,489,432,452,452,452,462,433,452,404,432,398,370,355,355,337,316,295,292,278,255,251,251,262,219,237,219,203,191,183,169,176,183,161,160,161,160,160,161,160,183,176,177,183,194,203,211,227,223,255,251,262,255,282,274,278,292,316,327,327,362,355,364,362,386,390,395,392,414,432,442,452,450,433,450,462,431,457,457,467,452,457,467,487,452,452,450,469,478,467,450,462,450,462,457,462,450,450,442,442,433,442,433,421,432,413,414,414,398,390,386,386,386,362,355,320,362,327,337,320,316,291,291,316,292,292,274,284,282,274,278,251,255,255,282,251,261,261,251,251,251,255
491,487,487,491,478,487,489,489,487,487,491,491,491,491,478,488,487,491,488,478,487,491,491,491,487,491,478,491,478,478,478,457,450,467,491,478,462,457,452,442,433,414,411,390,390,355,370,343,337,310,295,292,292,261,237,261,251,227,212,219,194,194,183,191,183,169,183,160,160,177,160,160,176,177,183,179,183,203,219,220,220,251,251,251,255,284,280,282,292,292,310,320,336,343,366,362,366,386,414,395,404,432,432,442,421,452,452,457,452,457,452,452,457,467,432,457,462,462,457,467,467,462,478,467,462,462,462,452,452,450,442,450,442,462,450,431,450,452,433,413,414,386,386,390,372,364,362,355,355,337,343,343,315,322,320,315,316,291,274,280,278,274,280,280,262,255,255,292,251,251,274,251,274,278,255
489,491,487,488,491,478,491,491,487,489,487,487,489,489,487,488,491,478,491,489,487,489,491,489,491,491,467,491,488,478,489,478,469,462,487,452,462,452,452,457,452,450,414,398,386,366,355,343,316,316,310,295,278,291,261,262,255,227,227,211,194,194,211,177,191,177,169,152,177,183,161,194,160,176,191,194,183,223,219,227,227,237,251,255,255,262,295,291,310,322,336,315,337,343,355,362,392,398,398,414,432,421,432,452,432,478,452,462,457,452,457,478,457,467,478,457,457,450,452,478,457,478,457,450,462,489,450,457,462,452,452,457,452,452,432,432,442,462,432,414,402,404,402,402,386,364,362,362,355,364,336,336,310,336,315,312,278,291,284,292,292,284,261,292,292,282,274,282,284,291,255,274,282,292,280
489,491,488,491,478,487,489,491,491,491,487,491,489,487,489,491,487,487,491,491,491,478,491,487,491,488,467,487,469,489,487,469,467,491,469,478,452,452,452,452,442,432,404,386,366,372,364,316,336,312,320,291,274,274,274,251,251,220,219,219,211,203,191,211,194,160,177,183,176,169,183,160,191,177,183,203,219,223,220,227,227,220,255,262,274,274,274,315,310,312,329,316,336,364,357,362,395,390,414,421,431,414,452,433,452,442,457,450,450,462,442,452,467,457,467,469,462,467,467,467,457,489,462,462,467,452,462,462,462,452,457,450,452,433,433,442,432,432,431,433,411,411,414,392,370,390,386,366,362,362,364,316,343,327,316,315,316,280,292,291,291,310,278,284,284,282,280,284,284,274,292,282,292,292,284
