x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
478,487,489,489,487,489,491,487,491,489,491,491,487,489,491,478,487,478,487,478,491,478,478,491,478,491,469,491,491,487,457,478,491,491,452,452,450,452,452,433,442,442,404,402,372,362,343,337,337,316,316,291,282,255,255,237,227,219,219,203,183,183,177,183,160,154,154,160,140,160,129,160,160,128,140,154,128,154,154,177,160,194,191,194,219,251,255,227,251,251,292,316,292,316,310,316,343,337,364,355,364,364,386,402,402,421,414,432,442,432,442,452,450,450,452,432,442,432,450,452,442,433,452,450,457,450,442,442,442,432,414,442,414,433,404,414,392,404,395,395,362,362,366,343,337,336,343,315,316,310,291,292,292,255,255,255,251,255,251,237,223,237,251,227,211,219,211,211,227,219,203,227,211,223,219
487,478,487,489,487,491,489,489,491,487,489,478,491,487,487,489,487,487,487,478,469,462,487,478,478,478,489,489,489,478,462,469,478,478,487,491,452,442,450,442,432,432,411,386,392,372,355,329,329,327,316,291,291,274,251,251,219,227,219,194,183,183,169,183,160,160,154,152,152,154,154,154,128,160,152,118,154,169,183,160,183,194,194,211,237,237,251,237,237,278,291,284,291,316,327,329,355,355,362,362,386,402,386,421,432,414,452,442,452,450,452,442,469,442,442,432,457,462,450,462,450,452,452,452,457,452,457,469,452,442,433,450,442,452,414,402,414,414,386,395,386,386,372,364,355,337,316,320,315,316,291,310,292,284,274,282,274,251,251,255,237,251,237,227,219,227,209,223,223,237,211,227,227,223,227
491,487,487,487,478,487,487,489,478,491,489,478,478,491,462,491,487,491,478,491,491,491,489,489,478,491,478,489,489,491,462,478,478,450,491,462,450,469,452,452,432,414,404,395,362,362,364,343,343,320,316,274,284,255,261,237,237,211,219,191,191,191,183,194,183,160,154,154,154,140,140,140,160,154,160,160,154,160,169,160,177,177,211,219,219,255,251,255,274,291,284,310,291,320,316,337,337,336,366,386,402,386,411,421,450,432,450,432,432,442,442,452,450,462,452,462,450,452,457,450,457,462,452,452,452,432,452,452,452,442,433,432,432,432,432,411,414,411,392,402,392,386,362,366,364,327,343,320,316,292,316,292,292,284,278,261,261,274,251,251,255,237,251,237,255,237,251,227,211,223,227,237,251,251,251
491,489,489,478,489,487,478,478,491,489,489,489,491,489,491,491,489,487,487,491,491,478,487,489,489,478,487,478,478,491,487,491,478,487,452,462,457,452,452,432,433,414,404,402,372,364,362,320,329,336,316,291,274,274,274,237,237,237,219,194,183,203,183,154,154,183,160,140,129,140,154,154,154,160,160,160,140,160,194,177,194,203,219,219,255,255,251,255,261,292,292,292,320,327,329,362,362,362,362,372,402,386,404,411,433,421,450,450,442,452,442,469,450,457,450,462,442,452,457,469,432,478,469,452,432,452,450,452,452,442,452,432,452,452,442,450,432,432,404,414,392,402,366,362,362,355,364,336,329,329,320,316,291,291,291,278,251,292,255,255,261,255,251,251,237,251,251,227,237,219,219,237,237,255,255
478,491,487,489,491,487,487,489,489,469,489,487,487,491,478,491,491,487,491,491,491,491,491,491,487,491,491,489,478,478,478,487,478,478,478,478,442,457,432,432,442,421,402,404,362,366,362,343,343,316,310,316,284,274,255,261,227,219,209,209,191,183,177,160,160,160,160,154,154,154,154,152,160,154,154,154,169,154,183,219,211,203,255,219,237,251,261,255,274,291,292,310,327,316,343,355,355,362,372,372,414,402,402,442,442,414,433,452,421,469,462,462,469,452,452,462,478,450,462,452,462,452,462,457,442,462,457,450,432,462,442,452,414,452,421,432,414,414,421,411,392,386,386,362,366,343,336,343,315,327,337,310,316,316,282,274,292,274,282,291,251,278,255,251,255,255,251,251,237,251,237,237,261,251,255
491,491,491,478,487,489,489,487,487,489,487,491,487,491,478,487,489,489,491,489,487,491,487,487,491,487,491,491,487,478,462,478,478,469,478,478,478,442,452,432,450,414,414,404,402,364,364,337,337,315,320,291,292,282,255,261,237,255,237,211,194,177,177,177,177,177,160,169,160,154,183,154,154,160,154,152,177,160,194,211,194,209,223,237,274,255,274,274,292,291,320,320,327,343,366,355,355,392,386,402,402,411,421,432,450,442,432,450,442,452,450,462,452,450,478,478,442,478,452,452,478,462,469,457,450,452,462,452,452,452,450,452,462,452,433,450,421,414,404,404,411,366,386,386,386,343,355,355,343,336,337,316,329,292,310,292,292,292,284,284,274,255,261,261,255,251,261,255,251,251,261,255,255,278,237
491,491,478,491,491,491,491,487,489,489,489,487,487,478,487,489,491,487,491,491,487,489,478,491,478,478,489,487,487,478,457,487,478,478,489,432,450,450,452,462,442,452,404,432,402,364,355,355,343,320,310,291,278,255,255,251,261,219,237,219,203,194,191,160,177,183,160,160,177,154,154,160,154,177,177,177,194,191,203,209,227,227,255,251,261,255,284,274,278,291,315,327,329,364,362,364,362,386,386,395,392,414,432,433,452,452,433,450,462,432,462,457,462,450,462,469,487,450,452,450,478,478,469,442,462,452,462,452,462,442,442,450,433,442,442,433,414,432,411,421,414,395,395,386,386,386,362,343,316,364,327,336,316,316,291,291,316,292,292,278,284,284,274,278,251,251,255,278,255,261,255,251,251,251,251
491,487,489,489,478,487,487,489,487,489,491,491,491,489,487,487,478,491,489,478,489,491,491,491,489,491,478,491,478,478,478,452,450,478,491,478,457,452,452,450,442,414,404,386,386,355,372,343,336,310,291,292,292,255,237,261,255,237,219,211,194,194,191,194,177,160,177,169,160,177,154,154,177,183,191,177,183,194,219,219,219,237,255,255,251,284,284,284,291,291,315,316,336,343,366,362,372,392,414,392,411,432,432,450,421,452,452,452,452,457,452,450,452,469,432,457,457,457,462,469,469,462,478,469,457,462,462,452,452,442,442,452,442,462,442,432,452,452,442,404,414,386,386,386,364,362,362,355,355,336,343,343,315,316,320,316,316,291,274,282,274,278,278,282,255,251,255,292,251,251,274,251,274,278,255
487,491,478,487,491,478,489,489,487,487,489,478,487,489,478,489,491,478,491,489,489,491,491,489,489,491,469,491,487,478,487,478,478,457,487,450,462,452,452,452,457,452,414,395,386,366,355,355,316,316,292,310,278,292,261,261,255,227,223,211,194,194,211,183,191,177,160,152,177,183,160,194,154,160,183,191,183,227,219,227,237,237,255,255,251,274,292,291,316,327,336,315,343,343,355,362,392,402,395,414,432,414,433,450,432,478,452,462,452,450,452,478,452,469,478,462,462,442,452,478,452,487,462,450,462,487,442,457,462,452,452,462,452,452,432,442,433,462,421,414,402,404,404,404,386,364,362,362,362,362,336,329,310,336,316,316,278,291,284,292,292,291,255,292,292,284,278,282,291,291,251,261,284,292,278
491,491,487,491,469,487,491,491,491,491,489,489,487,478,491,491,489,487,491,491,489,487,491,478,491,487,469,487,469,489,487,478,469,491,462,478,457,450,452,450,442,433,404,386,364,372,364,316,336,315,320,291,274,274,261,251,255,219,219,219,209,203,191,211,194,160,177,177,160,169,183,160,194,183,183,203,219,227,223,227,227,219,255,255,274,274,274,316,315,315,329,316,337,364,362,362,402,386,411,414,414,414,452,442,452,450,452,452,442,457,442,452,462,452,469,478,469,469,469,469,452,489,457,462,469,452,452,462,462,452,462,452,452,432,433,450,432,432,421,442,404,404,414,392,372,392,386,364,362,364,364,316,343,320,316,316,316,278,291,291,291,310,282,282,282,282,282,291,284,274,291,282,292,292,282
487,487,487,491,487,489,487,491,491,491,491,491,489,487,487,491,491,489,489,491,491,491,491,487,462,487,478,489,478,491,478,478,462,469,457,452,452,469,457,450,452,432,432,404,386,364,362,343,329,320,316,292,291,284,274,251,251,255,219,227,211,227,211,183,194,203,154,183,183,177,183,177,194,183,191,194,219,203,219,227,251,237,255,255,284,282,292,291,315,336,337,329,355,366,364,372,404,386,402,414,433,421,432,450,450,462,450,450,457,450,452,452,452,462,469,442,478,452,462,462,452,487,478,452,452,469,462,457,462,452,452,462,442,450,450,452,452,452,442,402,432,414,414,402,386,395,362,362,364,343,343,316,336,329,320,315,329,315,291,291,292,284,274,284,291,274,291,291,291,282,291,292,278,291,292
478,487,489,491,487,491,491,478,491,487,487,489,489,491,491,489,487,489,487,487,478,491,489,491,491,491,478,487,489,478,478,489,469,487,487,462,452,442,462,432,442,452,402,414,386,372,343,362,343,316,320,291,284,284,274,251,261,251,219,227,211,211,183,177,183,194,183,194,183,169,177,194,191,203,203,219,219,227,219,255,251,255,255,274,261,291,291,320,336,320,337,355,343,355,372,386,402,402,411,442,432,432,450,442,433,462,442,462,462,452,462,469,452,469,469,452,457,457,478,469,452,462,452,478,469,452,442,462,452,462,450,450,452,452,450,452,452,450,432,414,433,432,414,395,402,362,395,364,355,355,329,362,362,327,320,316,316,315,337,316,282,320,291,292,291,291,274,282,291,291,274,316,278,284,292
478,487,478,478,491,491,487,491,489,491,487,487,487,487,489,491,478,489,487,489,489,491,478,478,487,489,491,491,491,487,452,462,478,450,478,452,450,450,442,432,432,421,404,404,386,355,355,343,336,329,291,320,274,255,261,255,251,255,227,219,219,211,194,203,203,183,183,194,194,177,183,194,169,203,203,211,227,219,223,227,237,255,292,282,291,292,292,316,327,320,320,343,362,362,386,386,402,414,411,411,432,442,442,452,452,457,452,450,450,442,450,469,452,469,478,462,478,478,478,469,469,462,489,457,478,442,462,462,469,478,450,457,442,452,450,442,442,432,452,432,414,411,414,395,414,395,364,386,362,364,372,343,343,337,343,337,327,320,315,291,315,315,291,292,315,291,291,292,274,291,284,284,282,292,292
487,487,491,491,487,489,489,491,489,491,491,489,487,489,478,491,491,487,478,491,487,489,489,491,469,478,489,491,489,469,478,457,487,469,478,462,462,462,450,452,432,421,392,411,386,355,355,337,327,315,292,292,291,261,237,251,251,255,227,255,211,223,194,191,191,183,183,169,194,194,194,194,209,211,203,227,209,251,251,227,255,255,261,274,291,291,316,320,329,337,355,336,337,366,395,366,386,402,421,421,421,452,452,432,432,457,452,432,462,469,469,478,469,452,452,462,457,462,469,452,462,469,469,450,478,452,478,433,452,450,442,450,442,452,452,432,452,442,421,414,432,414,414,414,386,386,386,366,364,364,355,329,343,316,329,343,343,327,316,316,316,320,292,315,310,284,291,284,282,282,292,292,292,291,291
491,489,478,491,487,478,487,489,487,487,487,487,489,491,491,487,489,487,489,489,478,491,478,487,487,469,491,489,487,478,469,478,487,462,457,452,452,452,432,442,414,414,392,402,372,372,327,337,329,316,291,292,291,274,251,251,255,227,251,227,237,227,211,203,183,211,194,177,177,183,183,194,209,203,219,211,209,237,237,255,255,255,278,274,292,316,291,316,316,316,355,327,355,364,386,402,404,414,432,462,432,421,442,433,442,462,432,469,450,450,452,462,450,450,469,469,450,478,478,450,489,462,452,462,469,469,462,469,452,452,452,452,442,452,421,442,450,421,442,433,414,414,395,395,402,386,386,366,386,364,355,343,337,355,337,327,329,337,327,316,316,292,316,316,315,316,278,291,291,292,316,282,274,315,310
489,491,487,487,489,489,487,489,491,491,491,478,489,478,478,487,487,489,491,491,491,489,487,478,489,478,491,491,478,478,478,462,478,469,462,442,457,452,452,442,433,432,392,402,362,355,362,337,337,316,315,291,292,251,251,255,251,251,219,211,227,209,203,194,194,183,191,194,194,203,183,191,194,219,203,223,219,227,237,251,251,251,261,251,282,292,282,320,329,337,366,362,364,366,386,386,414,404,414,432,442,432,452,432,452,457,462,469,452,462,452,478,452,478,452,478,469,478,469,450,478,478,478,450,478,462,452,432,452,450,442,462,450,452,452,442,462,452,452,433,402,402,404,421,386,395,392,366,362,372,366,343,337,329,343,355,320,316,329,316,320,315,315,316,316,291,316,316,310,292,310,320,316,316,315
487,491,491,491,491,487,487,489,489,491,489,491,478,487,491,491,489,478,487,478,491,489,489,491,491,478,487,487,489,478,478,487,452,452,478,478,457,462,433,442,433,404,414,386,366,372,343,327,327,292,274,282,284,274,255,255,251,237,251,251,223,194,223,194,194,183,183,203,219,211,211,211,191,223,203,227,203,223,255,251,255,274,261,274,282,292,316,310,315,343,337,364,362,362,386,402,402,404,421,433,442,452,452,442,450,442,462,457,457,462,452,457,469,457,469,469,478,469,452,452,462,469,450,450,452,478,462,450,452,462,469,452,450,457,452,442,442,450,432,433,432,432,395,404,402,402,366,355,364,362,364,364,362,337,355,337,316,336,337,316,329,316,316,315,316,316,316,310,291,292,316,316,320,316,316
