species_richness,M,a,K,lambda_str,range_str,scaled_cov
10,1,25.0,25.0,0_1,0_15,9.280693132526171e-20
99,99,25.0,25.0,0_1,0_15,0.0
47,3,2.7777777777777777,25.0,0_1,0_15,-7.037548498529723e-19
84,7,0.5102040816326531,25.0,0_1,0_15,-1.142597271110194e-18
73,5,1.0,25.0,0_1,0_15,-1.1041189407134616e-18
93,9,0.30864197530864196,25.0,0_1,0_15,-1.056096318208354e-18
93,11,0.2066115702479339,25.0,0_1,0_15,-8.609944863837026e-19
95,13,0.14792899408284024,25.0,0_1,0_15,-7.846728309340826e-19
97,15,0.1111111111111111,25.0,0_1,0_15,-7.471515698050895e-19
95,17,0.08650519031141868,25.0,0_1,0_15,-6.485305775137447e-19
98,19,0.06925207756232687,25.0,0_1,0_15,-7.322601386917327e-19
97,21,0.05668934240362812,25.0,0_1,0_15,-6.237865507545149e-19
