x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
191,117,198,51,159,324,397,232,204,117,400,291,247,200,322,118,140,140,191,115,322,115,117,470,117,461,38,445,408,309,38,247,470,476,74,96,118,247,362,183,371,429,309,366,292,140,110,232,409,280,461,232,236,266,347,280,118,195,397,314,362,476,291,429,375,397,304,371,60,373,74,373,371,38,191,330,5,118,197,397,114,366,461,117,232,476,470,8,322,17,408,500,207,470,34,115,397,353,350,60,198,76,162,143,118,195,76,210,266,198,162,408,397,96,292,159,362,51,189,178,150,60,397,296,409,280,236,207,336,38,8,210,157,408,85,398,322,353,429,468,117,200,398,203,266,397,468,111,309,200,115,353,445,110,242,115,115,309,200,322,110,388,445,210,157,314,115,200,387,143,74,399,197,266,76
292,115,242,162,200,392,198,445,468,204,200,96,266,197,38,262,115,115,322,85,17,5,146,157,388,147,292,280,266,150,85,85,371,236,468,96,150,60,318,203,85,366,183,375,409,347,96,96,232,247,445,242,143,354,211,280,85,330,288,147,146,200,110,470,468,330,198,157,236,136,157,309,17,445,183,5,60,388,470,110,309,350,189,204,409,362,322,85,5,314,322,211,500,322,322,85,232,296,476,96,318,314,23,445,371,86,470,336,470,244,468,146,500,117,85,23,353,397,51,445,198,210,115,157,85,375,399,500,408,244,76,347,159,476,244,400,324,398,197,283,38,409,397,292,291,115,47,280,111,291,150,400,397,309,117,388,400,318,296,232,117,283,147,114,157,191,38,322,143,324,60,162,397,200,162
397,38,354,8,76,292,183,150,76,476,292,38,51,324,5,38,283,74,60,468,409,34,397,409,74,429,60,429,468,409,60,191,247,34,477,159,309,461,373,461,318,150,147,117,38,85,362,375,445,266,397,26,375,400,398,150,468,96,314,47,115,468,397,398,481,336,247,400,400,74,117,140,362,468,183,197,207,353,162,60,114,8,350,280,51,470,117,162,210,347,200,336,23,242,111,409,85,445,262,210,150,112,247,375,115,322,477,162,136,117,85,236,143,354,178,461,115,247,309,115,336,397,150,210,266,39,198,280,388,198,150,39,60,115,178,85,26,146,23,296,197,292,85,236,397,23,118,140,111,17,197,242,309,150,147,296,225,354,198,115,244,115,136,74,409,120,397,117,397,159,309,200,429,262,210
373,470,207,60,136,38,398,85,481,353,291,115,309,470,397,397,198,34,232,470,397,96,183,198,476,373,178,198,203,96,375,117,242,408,117,150,114,283,322,115,296,468,429,291,210,210,207,34,247,429,262,397,85,266,429,60,117,371,60,111,110,476,189,34,38,362,291,17,17,247,330,232,8,146,397,60,8,162,397,318,183,210,397,147,200,353,210,362,115,388,354,225,288,397,191,398,283,74,76,86,324,23,178,38,51,60,111,247,309,362,146,477,409,397,117,366,74,288,322,409,8,470,445,347,183,210,198,288,309,159,262,111,388,445,211,429,322,468,314,477,76,429,291,74,140,207,476,189,262,371,232,235,85,207,183,183,17,476,189,262,409,362,200,242,330,318,362,96,353,8,17,266,197,388,408
203,468,288,211,373,146,183,117,291,5,500,112,146,476,500,96,309,26,74,314,398,355,468,397,146,371,408,314,200,262,322,347,197,222,322,375,8,255,39,266,408,183,120,373,445,236,200,255,347,117,117,51,236,266,476,477,397,115,96,291,162,147,120,110,288,76,200,189,178,255,280,117,292,115,118,23,114,17,162,500,324,85,500,85,191,309,373,236,207,266,140,178,350,60,362,117,117,255,255,38,398,183,51,225,366,8,198,398,8,476,114,468,476,198,150,397,468,96,291,86,353,318,296,366,34,347,324,247,23,476,38,255,5,280,309,114,189,232,468,292,17,210,38,110,408,76,60,296,17,235,468,96,204,242,111,17,398,96,330,470,74,476,150,39,324,280,236,291,110,445,112,330,409,366,409
409,468,280,23,262,330,195,117,140,476,197,409,86,318,85,183,330,115,309,47,110,309,118,371,236,222,408,159,353,112,60,291,354,232,347,373,461,85,387,85,309,96,304,375,429,247,362,96,373,115,468,207,468,355,115,397,198,500,150,183,162,74,162,291,235,322,400,397,115,280,500,115,247,291,111,8,211,481,304,468,470,110,115,197,500,322,397,115,247,387,468,330,178,399,476,280,476,476,255,235,235,118,283,178,398,373,17,266,86,283,114,397,247,85,470,445,350,468,114,191,409,117,409,210,96,468,398,366,397,336,195,288,232,468,210,375,115,96,85,314,468,8,347,288,398,17,236,296,350,309,409,74,470,445,288,318,354,397,232,387,309,266,292,60,60,60,397,318,147,178,468,247,178,476,8
397,468,39,280,470,461,461,110,76,117,371,150,183,110,207,200,400,210,397,322,322,183,157,398,51,17,461,355,23,115,26,409,140,309,470,5,114,398,292,476,232,481,159,500,461,110,150,397,392,200,304,371,398,232,8,204,314,85,8,445,198,210,191,85,150,399,262,159,318,157,117,309,115,429,198,309,210,322,388,309,468,266,476,222,74,235,409,117,288,178,232,347,146,470,225,236,86,322,197,146,17,468,222,354,409,336,115,210,468,5,362,322,398,115,262,117,477,96,112,85,398,476,371,38,354,114,330,322,398,114,191,147,114,146,291,247,60,211,111,353,429,336,222,283,354,476,191,147,5,476,85,232,247,296,38,189,111,353,400,74,371,375,86,232,112,34,288,481,115,375,324,60,117,115,117
500,60,114,388,51,112,200,481,115,111,232,409,373,476,60,189,114,476,200,200,143,362,409,232,266,76,76,429,150,204,159,47,8,200,476,445,347,324,371,200,262,115,210,117,354,198,470,280,336,468,114,178,397,86,8,34,461,189,111,291,60,197,232,112,266,74,409,147,324,373,117,115,236,387,373,150,118,371,397,373,5,476,398,322,296,470,283,147,355,85,470,140,146,242,429,150,399,204,470,76,111,347,118,322,8,388,362,397,322,280,247,266,222,362,5,74,288,280,203,322,336,255,408,387,292,322,362,468,266,86,60,198,247,470,398,74,397,477,85,146,397,8,283,280,191,146,189,110,117,117,397,476,51,354,371,76,445,162,39,146,117,96,210,347,117,115,143,500,409,38,347,85,117,362,236
210,354,398,198,445,39,468,445,111,255,198,85,468,211,60,198,388,47,461,236,34,324,481,288,468,387,146,400,330,117,398,324,242,143,429,74,353,242,362,445,336,476,353,247,236,157,38,210,204,146,146,397,461,468,309,468,375,118,60,115,111,117,476,86,392,197,150,5,86,371,147,481,34,111,111,397,114,481,314,408,354,210,262,373,183,146,476,296,324,409,409,147,210,112,114,117,409,371,150,398,375,362,225,397,114,500,353,468,353,200,34,60,247,159,157,191,198,17,291,409,157,470,200,76,157,500,47,236,397,236,280,397,280,322,85,429,247,500,112,318,60,247,232,400,283,117,110,476,150,400,117,34,8,409,111,115,409,157,114,362,445,292,17,117,476,355,235,397,461,468,51,397,353,468,210
280,409,150,398,5,76,283,203,476,397,140,355,392,60,280,336,117,117,387,468,347,86,470,117,476,247,34,197,74,398,350,159,60,500,189,397,189,189,262,470,362,366,189,39,85,232,322,8,296,38,445,210,85,150,362,117,353,232,115,162,200,178,118,477,397,17,397,296,146,117,150,39,399,85,189,398,461,309,373,324,292,26,324,399,481,162,60,470,198,85,324,5,74,366,200,38,375,445,409,388,222,34,115,183,330,147,362,178,197,159,38,162,354,183,330,375,255,309,314,330,150,477,232,280,353,117,283,354,388,200,366,207,232,85,115,236,197,150,291,409,399,236,468,189,39,398,445,322,280,353,309,17,291,292,112,470,309,8,362,150,291,476,17,232,283,247,117,191,375,162,476,225,476,400,232
