x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
195,143,200,51,178,336,397,232,207,118,400,291,247,200,324,118,140,118,189,115,322,115,117,470,115,468,38,445,400,314,38,247,476,476,74,86,117,247,362,183,373,429,314,371,291,117,96,222,409,266,461,225,247,266,347,266,143,195,397,322,362,476,292,445,387,397,309,371,60,371,74,375,373,38,191,330,5,117,195,397,111,371,445,117,232,476,470,8,322,23,400,500,203,470,34,117,397,353,353,60,195,76,157,146,117,189,76,207,266,200,150,408,397,96,291,159,362,51,178,183,150,60,398,309,409,283,232,200,347,38,8,210,150,408,85,400,322,353,429,470,115,197,398,200,262,388,461,111,309,200,115,353,445,96,247,115,117,314,200,322,111,392,468,210,159,318,115,200,388,146,74,398,191,266,85
309,115,244,178,200,397,198,461,468,204,204,96,266,198,38,262,115,115,322,85,17,5,146,157,375,147,296,262,262,147,76,85,371,236,468,96,146,51,318,200,85,362,162,387,429,336,96,86,232,247,461,236,147,353,225,266,85,336,280,150,143,203,96,470,468,324,198,159,232,140,159,296,17,445,183,5,60,388,468,96,291,347,189,200,408,371,322,85,5,309,318,210,500,318,322,85,236,292,476,86,322,314,23,461,362,96,470,330,470,236,468,143,500,117,85,23,350,397,47,461,195,211,115,157,85,373,409,500,409,242,76,347,150,476,242,400,324,400,195,280,38,409,397,296,283,114,47,262,96,291,150,400,397,309,117,388,400,322,309,236,117,288,150,114,162,195,38,324,147,324,60,178,397,198,162
397,38,353,8,74,292,178,159,76,476,309,38,51,347,5,34,291,60,51,468,409,34,388,409,74,429,60,409,468,409,60,189,247,34,477,159,309,461,375,445,318,146,147,117,38,85,355,375,445,262,397,34,373,400,398,147,468,96,309,39,114,468,397,398,500,347,247,408,400,74,117,143,362,468,183,197,207,347,159,60,114,8,350,262,51,468,115,157,204,336,200,347,23,236,111,429,76,468,255,207,150,112,247,375,115,318,477,162,143,118,74,236,143,354,178,468,115,255,309,115,347,398,150,210,280,38,198,280,388,198,147,38,60,114,159,85,26,143,17,292,191,296,76,236,398,23,117,140,111,17,197,247,314,146,150,314,232,355,200,115,236,115,146,85,409,136,397,118,392,159,318,200,429,262,210
373,470,207,60,117,34,398,85,481,354,296,115,314,470,397,397,198,34,232,470,392,86,183,198,476,371,159,198,200,86,392,115,242,408,115,147,111,283,322,115,291,468,409,288,207,207,200,38,236,409,262,397,76,255,429,60,117,371,60,96,86,476,195,34,47,362,291,17,17,247,324,225,8,147,398,60,8,162,397,309,178,204,388,146,198,353,203,362,112,388,354,210,291,397,198,398,291,74,76,86,330,23,162,38,51,74,111,262,314,371,146,481,409,397,117,362,74,280,322,409,8,470,461,354,178,210,197,288,314,157,255,111,392,445,210,429,322,468,314,477,74,409,292,74,140,207,476,189,262,373,232,242,85,210,195,191,17,476,195,266,409,362,203,247,336,322,362,96,354,8,17,266,197,397,409
204,461,291,222,373,146,189,117,296,5,500,112,143,476,500,86,314,23,74,318,397,353,468,397,146,362,409,309,200,262,318,347,191,210,322,375,8,255,39,262,408,178,118,375,445,222,197,247,336,115,117,39,232,255,476,477,397,115,85,288,162,146,117,86,283,74,200,189,178,247,266,117,291,115,118,23,114,17,162,500,322,76,500,85,189,296,373,236,204,262,136,178,353,51,362,117,117,266,266,39,400,189,51,232,371,8,197,398,8,476,114,461,476,195,147,397,468,96,291,86,353,314,309,371,34,336,324,255,23,476,38,247,5,280,309,114,162,232,468,291,23,203,38,96,408,74,51,314,17,232,468,85,210,247,111,17,398,86,336,470,74,476,150,47,330,283,247,292,96,445,111,330,409,371,409
409,468,280,17,262,330,195,117,118,476,195,409,96,318,85,178,336,115,309,47,110,292,136,362,232,210,409,157,354,111,60,288,353,225,347,373,461,85,387,85,314,86,292,373,409,242,362,85,373,114,468,200,461,354,115,397,197,500,157,178,157,60,162,291,236,322,409,397,115,266,500,114,236,288,96,8,210,477,291,468,470,96,115,189,500,318,388,115,247,375,468,324,178,400,476,288,476,476,262,236,236,117,283,183,398,375,17,266,86,280,112,397,236,85,470,445,347,468,112,189,429,115,409,210,96,468,397,371,388,347,189,283,232,468,210,388,117,86,76,309,468,8,347,283,398,17,236,296,353,296,409,74,470,445,291,322,355,397,236,397,314,280,309,60,60,60,398,322,146,159,468,242,159,476,8
397,468,38,283,470,461,461,96,74,117,371,150,183,110,210,200,400,210,397,318,322,189,157,398,51,17,468,354,23,115,26,409,140,292,470,5,114,398,292,476,225,481,150,500,468,96,146,392,388,198,309,371,398,232,8,203,318,85,8,445,197,211,189,76,150,400,262,159,318,150,117,296,117,445,200,309,210,322,387,314,468,283,477,207,74,236,408,115,288,178,232,336,146,470,232,247,85,322,198,146,17,468,225,353,409,336,115,211,468,5,362,322,398,115,262,117,477,86,111,76,398,476,373,38,355,111,330,322,398,114,183,146,115,146,291,242,60,222,111,354,429,347,207,283,355,477,183,147,5,476,85,232,247,296,38,195,111,354,400,74,371,375,86,232,114,34,288,481,115,373,330,60,118,115,117
500,60,111,388,39,111,200,481,115,111,236,409,371,476,51,191,114,470,203,200,136,362,409,225,262,76,76,429,150,200,150,39,8,198,476,445,350,330,373,198,247,112,204,115,353,195,470,266,324,468,111,178,397,85,8,26,468,162,96,291,60,195,225,111,266,74,409,150,330,373,117,115,232,392,373,150,118,366,398,373,5,476,397,324,309,470,280,150,355,85,470,143,146,247,445,150,409,210,470,74,111,347,140,318,8,387,362,388,318,280,247,262,210,362,5,74,288,280,200,322,350,247,409,392,292,318,354,468,262,85,60,195,244,476,398,74,397,477,85,146,397,8,283,266,183,143,178,96,117,117,397,476,51,354,371,74,461,183,39,146,118,86,210,347,115,117,140,500,409,38,347,85,117,362,242
210,353,398,198,445,38,468,429,110,247,200,76,461,210,60,197,388,38,461,236,34,330,481,288,468,373,146,400,322,115,397,324,242,143,429,74,347,232,362,445,336,476,354,242,232,150,34,207,203,143,146,392,468,468,292,468,375,117,51,114,111,117,476,85,392,198,150,5,86,373,150,481,38,111,111,397,111,481,309,409,354,210,247,373,191,146,476,291,324,409,409,150,210,112,115,117,409,371,150,398,373,362,210,397,114,500,354,468,350,198,34,51,247,150,150,195,198,17,283,409,150,470,200,76,150,500,47,232,397,232,266,398,266,322,76,429,247,500,114,318,51,236,222,400,283,117,96,477,150,398,117,34,8,409,111,115,429,159,114,362,461,309,17,117,476,362,232,397,461,468,51,397,347,468,210
283,409,150,398,5,74,280,204,476,388,140,355,397,60,266,336,117,117,375,461,347,85,470,115,476,247,34,195,74,398,350,157,51,500,183,397,189,183,262,470,362,362,178,39,76,225,322,8,291,38,445,207,85,146,355,115,347,242,114,183,200,183,136,477,397,17,398,309,147,117,150,39,409,85,191,398,468,296,371,330,288,34,322,398,477,157,51,470,198,85,322,5,74,371,200,38,375,468,409,388,210,34,115,189,330,147,362,178,195,157,38,159,355,178,330,388,255,309,309,336,147,477,232,262,353,117,291,353,375,198,362,204,222,85,114,232,191,150,291,409,398,232,468,178,38,398,445,322,262,353,314,17,292,309,112,470,296,8,362,150,292,476,23,232,291,247,117,189,388,178,476,222,476,408,232
150,117,197,362,117,362,336,375,429,266,375,470,322,96,111,470,347,232,397,178,314,468,371,47,5,371,159,296,117,429,288,354,117,197,150,408,117,476,408,397,476,371,355,366,353,114,136,200,200,262,322,200,397,318,409,111,150,468,96,314,200,481,468,117,330,470,5,244,353,195,291,110,8,200,189,225,468,86,210,314,232,34,74,146,398,225,354,85,210,400,353,60,262,387,200,375,398,26,150,178,330,60,162,236,189,445,140,157,262,117,76,398,280,347,354,8,336,96,203,198,159,470,366,117,111,366,354,318,350,191,296,468,39,146,292,200,387,476,262,5,477,429,408,500,146,476,96,118,330,114,112,8,117,350,85,398,292,198,146,114,322,150,5,117,398,23,373,371,362,398,366,110,114,336,292
86,255,392,354,225,461,354,38,150,115,150,225,110,350,318,183,114,353,178,247,85,468,362,500,371,476,60,247,324,232,283,398,318,23,236,283,445,96,476,136,288,481,110,309,397,347,115,445,470,280,476,85,353,266,362,114,200,236,115,288,476,388,34,38,203,350,476,347,330,60,76,476,189,397,397,398,398,409,388,114,150,387,60,398,111,232,200,398,476,191,350,291,189,110,200,150,280,355,318,461,183,111,232,150,117,398,74,400,398,322,247,355,197,291,309,150,183,86,371,398,115,147,111,17,397,211,34,266,189,283,96,115,409,354,296,266,468,445,150,500,409,74,314,195,314,244,470,309,86,117,17,371,200,96,110,157,283,86,500,354,38,207,398,397,262,262,38,280,318,314,34,481,76,198,309
23,232,197,17,291,470,115,309,60,470,324,76,150,347,398,445,23,322,207,211,189,51,110,115,200,232,398,468,397,47,117,85,324,17,330,183,76,461,157,51,210,111,225,266,210,60,162,283,445,398,60,445,8,60,398,117,136,445,115,143,309,195,136,247,17,157,314,429,347,86,39,398,291,470,147,280,429,291,375,96,39,147,500,387,371,470,204,398,397,60,60,183,283,111,470,211,322,291,146,74,203,222,222,362,314,225,355,118,85,17,114,468,409,309,398,291,445,398,371,244,222,159,476,225,397,17,244,324,476,114,147,362,115,211,292,114,225,198,409,115,117,244,355,140,470,204,85,397,117,500,481,147,197,200,397,392,353,324,76,34,178,266,117,195,429,247,114,397,17,117,183,189,51,318,291
150,86,247,409,397,150,362,397,476,288,324,362,111,191,74,461,408,225,85,291,115,247,26,400,476,85,291,197,468,74,255,74,292,198,409,283,362,397,195,398,198,283,198,470,347,309,198,288,232,114,136,200,322,117,388,371,283,408,347,500,117,197,375,96,236,34,117,23,255,461,314,309,387,362,178,445,60,477,355,85,232,146,291,200,373,373,371,397,398,397,500,38,362,388,468,283,51,86,408,147,47,461,397,96,60,388,157,5,398,375,476,461,354,117,117,232,140,314,429,198,225,255,204,470,371,115,51,8,147,96,51,262,60,247,336,111,461,111,85,38,225,17,362,468,85,74,266,147,336,232,159,17,203,34,198,408,468,318,183,117,291,468,200,283,322,8,266,117,355,23,336,330,262,147,74
288,280,17,322,117,38,400,355,112,468,203,117,347,296,354,115,114,146,371,162,115,400,111,210,150,38,477,353,296,146,114,262,398,146,111,162,242,247,47,210,38,291,60,371,291,96,247,210,371,195,318,309,232,85,200,236,207,85,445,198,476,445,445,247,60,146,150,76,34,117,140,388,373,115,288,291,232,322,291,336,354,247,397,468,468,476,74,247,150,74,292,8,115,150,150,387,198,236,207,500,96,34,143,115,111,398,5,461,162,115,115,232,34,85,397,85,47,309,398,60,470,211,110,309,288,183,280,373,236,143,291,236,96,280,5,117,468,26,159,397,60,362,157,74,115,74,262,247,409,347,195,500,76,398,288,146,198,110,371,408,162,74,204,242,222,468,17,210,409,198,398,23,147,200,150
262,309,157,330,397,178,111,375,397,236,461,468,76,60,60,146,255,232,318,429,500,347,262,85,210,111,476,476,232,347,195,117,477,200,232,203,291,288,222,210,47,476,115,397,115,74,330,262,409,291,60,291,398,17,74,203,189,200,86,85,397,222,236,183,292,117,280,266,330,398,96,74,96,362,85,398,468,429,324,76,147,183,280,17,76,283,8,408,324,400,481,373,291,232,288,198,398,117,203,211,387,198,324,397,347,324,147,468,96,353,118,397,26,397,96,429,74,314,39,38,408,387,262,85,388,266,162,8,117,74,34,397,207,397,236,204,500,397,400,330,17,23,247,476,114,373,398,203,112,309,397,115,136,39,388,470,388,197,111,200,255,200,468,247,247,74,398,354,210,204,283,409,189,232,146
210,118,291,140,266,136,96,353,74,203,397,112,445,262,347,288,191,110,34,114,353,197,408,375,162,76,296,198,322,322,470,314,39,330,445,470,222,445,150,330,309,39,398,232,336,476,147,115,210,26,5,197,183,291,354,150,86,162,461,477,318,17,470,118,236,111,85,324,500,150,309,397,38,445,117,388,476,112,362,115,373,397,115,60,178,232,85,74,159,324,114,398,225,51,183,398,189,266,114,210,296,470,347,198,247,86,397,400,203,476,111,247,355,195,400,322,445,373,23,118,353,371,17,74,191,445,225,262,189,350,470,283,236,409,280,74,324,60,247,397,197,445,60,398,309,470,117,23,200,204,347,354,366,204,392,247,74,291,468,183,409,210,373,147,247,309,409,111,86,96,292,322,309,324,115
330,318,146,111,247,366,85,236,117,388,60,225,409,136,150,146,115,178,225,468,470,159,114,162,198,400,255,409,477,388,146,34,85,314,207,476,429,470,96,60,397,445,283,8,38,400,136,314,481,85,76,236,17,117,191,5,262,322,117,353,85,222,283,398,117,355,17,60,397,347,178,400,225,143,398,86,468,371,74,354,373,198,115,375,157,292,146,115,409,322,322,461,445,371,371,96,178,147,470,23,8,118,397,500,408,159,314,114,178,203,309,38,476,210,114,373,183,39,150,236,398,191,262,296,283,117,476,146,397,207,200,162,210,86,76,189,470,324,477,117,183,409,110,468,38,39,38,400,117,60,8,400,162,262,178,409,204,74,468,247,445,476,398,189,150,112,397,247,397,232,74,115,468,117,398
470,183,336,74,178,292,5,150,322,110,283,207,150,330,38,409,468,86,470,409,397,232,17,183,111,118,500,111,350,34,200,373,468,291,34,468,74,115,445,288,117,222,309,373,292,225,262,117,324,476,198,17,255,210,8,375,353,76,398,371,392,198,34,232,191,86,86,468,470,146,500,500,445,336,373,200,309,60,114,38,371,117,211,114,191,397,207,375,189,60,322,470,266,157,336,210,117,117,476,76,140,146,60,468,38,47,468,355,375,314,353,353,242,198,470,207,112,347,225,322,178,195,262,296,280,85,147,38,118,211,198,500,150,468,477,195,76,397,388,292,110,117,388,324,408,140,150,232,291,322,204,350,140,400,232,362,288,296,398,318,118,200,115,476,200,354,309,76,350,476,373,476,115,388,398
