x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
291,291,291,117,373,373,373,115,115,60,314,117,115,115,117,115,117,117,117,60,85,60,85,115,85,330,60,330,330,115,85,115,150,150,38,38,85,85,85,85,85,150,150,400,400,150,150,150,150,117,150,76,76,85,140,140,140,140,366,183,366,366,183,366,366,366,366,366,74,366,74,140,366,74,74,366,74,114,114,366,23,114,353,210,210,210,210,114,162,114,397,397,162,162,150,150,162,162,296,150,150,150,150,150,150,150,150,397,397,397,397,397,397,150,400,150,400,96,262,262,262,262,262,262,262,262,262,96,210,96,96,96,96,371,96,210,210,210,476,476,200,200,476,392,392,392,476,336,470,470,470,470,470,280,280,280,280,280,280,280,280,392,392,280,115,115,115,115,115,115,115,500,314,314,291
373,291,373,373,373,373,115,373,373,115,117,115,117,115,60,117,60,117,117,60,60,60,60,85,330,85,115,115,115,115,115,115,150,150,150,85,85,85,150,85,85,150,150,400,400,150,117,117,117,117,117,76,76,85,85,85,8,140,140,140,140,183,140,366,366,366,366,74,140,74,85,140,74,366,366,74,114,309,366,85,114,210,210,210,309,210,210,114,114,162,162,162,397,162,162,150,150,296,409,150,262,262,150,397,397,150,397,397,397,397,397,397,400,150,150,150,400,400,96,262,262,262,262,262,262,262,262,262,262,210,96,210,210,371,371,371,210,476,476,476,200,476,476,392,210,210,200,470,336,470,470,470,470,470,280,280,392,280,392,280,280,280,280,280,280,280,115,115,115,115,115,280,500,314,291
373,291,373,96,96,115,115,115,96,373,373,115,115,117,60,60,117,60,60,373,373,60,115,330,85,330,85,330,330,115,76,115,115,85,150,85,115,150,150,150,85,85,76,76,8,8,400,400,150,117,117,8,85,140,140,8,366,8,140,140,140,366,366,366,366,366,366,366,140,74,85,85,366,366,366,309,309,309,114,85,114,23,353,309,210,309,162,162,162,162,162,162,162,162,162,397,150,296,296,150,150,150,262,397,150,397,397,397,397,150,150,397,397,400,150,400,210,262,262,262,262,262,262,262,262,210,210,96,210,96,210,96,210,210,371,210,96,371,183,476,476,476,210,392,392,200,210,336,336,39,470,470,452,210,280,280,280,392,392,392,392,280,280,280,280,280,392,115,115,115,280,280,500,314,314
373,373,291,96,115,96,115,96,373,373,373,115,117,247,117,117,60,60,117,373,373,85,85,115,330,330,85,115,115,115,115,115,115,115,85,85,85,115,115,85,150,150,85,76,76,8,8,8,76,117,85,85,8,140,140,8,8,366,8,140,85,366,140,74,74,366,74,74,74,85,85,85,85,309,366,85,85,309,309,210,114,210,353,210,210,210,162,210,162,162,162,162,162,162,162,397,296,150,150,150,262,150,262,150,150,150,150,397,397,397,397,400,400,400,397,400,235,400,400,400,210,400,262,262,210,210,210,210,210,96,210,96,476,476,371,371,371,476,476,476,183,476,362,210,210,210,476,336,470,476,470,452,210,210,210,210,210,392,392,392,392,392,280,280,280,280,398,115,115,115,115,291,291,314,314
314,398,291,291,291,96,96,96,373,96,373,115,115,247,373,60,60,60,60,373,373,115,115,115,85,330,115,115,115,115,115,147,115,115,115,115,76,85,76,76,85,76,76,76,76,8,8,76,85,76,76,8,8,140,366,366,366,140,140,235,85,85,76,74,235,74,74,74,85,140,85,85,140,85,85,85,85,85,309,309,210,114,353,210,210,210,210,162,162,162,162,162,162,162,397,296,262,150,150,150,262,150,150,150,397,150,150,397,150,400,397,400,400,397,397,400,461,235,262,235,400,400,262,262,210,210,210,210,96,371,96,371,96,476,476,371,371,371,476,461,183,362,183,210,392,210,210,470,210,470,476,210,210,280,210,210,392,210,392,392,280,392,280,280,280,280,280,398,115,398,115,291,398,398,398
398,398,291,96,291,291,96,96,96,373,373,373,115,247,60,247,373,60,373,85,85,115,85,115,115,115,330,115,147,85,76,147,115,115,115,115,115,76,76,76,76,76,76,76,76,8,400,8,85,76,146,76,146,85,85,366,85,366,85,85,85,76,76,235,85,85,242,242,74,140,309,85,309,309,85,85,85,309,309,309,309,114,210,210,353,210,210,114,162,162,210,162,162,296,461,296,409,409,262,150,150,150,150,150,397,397,150,397,150,397,397,400,397,397,461,461,461,461,235,262,400,400,461,210,210,262,262,262,371,262,96,371,371,476,476,476,210,183,183,210,476,183,476,210,336,210,210,210,470,452,476,210,470,452,210,210,210,392,210,392,392,280,280,280,280,280,398,398,398,398,398,198,198,398,198
398,398,159,291,291,291,291,96,96,159,373,373,373,247,247,247,373,373,373,373,266,115,115,266,85,85,330,147,85,85,76,266,85,85,115,76,76,115,76,76,76,400,76,400,400,8,8,147,147,85,85,146,146,76,8,146,366,85,76,366,85,85,235,76,74,242,74,74,242,140,140,309,140,309,85,114,114,114,309,309,309,309,309,210,210,210,210,114,114,162,114,162,162,461,296,296,296,296,150,150,150,150,150,150,397,397,150,150,397,8,461,461,461,397,461,400,461,235,235,235,400,461,461,150,262,96,262,262,262,96,262,96,210,210,476,476,183,371,183,461,461,461,210,210,336,336,210,210,210,470,336,452,452,392,210,210,210,392,392,210,392,392,280,392,280,280,398,398,198,398,398,198,198,198,291
398,159,159,291,159,159,291,398,159,159,373,373,373,397,247,247,247,373,266,266,147,266,266,266,266,85,85,147,85,115,85,76,76,85,115,115,115,76,76,76,76,76,76,76,76,76,147,85,147,147,85,85,146,8,8,8,366,85,76,85,76,235,235,85,235,74,242,74,242,242,140,8,140,309,309,114,114,309,309,309,114,309,309,236,309,309,210,114,162,114,162,114,162,296,296,296,397,296,409,150,150,150,150,150,150,397,397,397,397,397,461,461,461,461,8,262,461,262,235,235,400,400,461,262,262,262,262,262,262,262,96,210,210,476,476,210,408,461,183,210,461,183,210,210,210,210,210,210,210,392,461,452,210,392,452,210,392,210,210,210,210,210,392,398,398,398,398,398,398,198,291,198,198,291,291
291,291,354,291,354,150,398,291,291,397,291,291,397,291,247,247,373,266,373,266,85,266,266,266,266,266,76,85,85,76,115,85,85,85,85,76,76,76,76,76,76,76,76,76,76,76,8,76,76,85,85,146,324,366,146,366,366,85,76,76,76,85,322,235,242,242,242,8,8,242,8,242,8,140,140,309,309,362,309,309,309,309,309,309,236,114,309,114,114,162,162,114,162,162,296,296,409,397,296,397,262,150,150,150,150,397,397,461,397,397,8,8,461,461,400,400,388,235,262,400,235,461,262,262,262,398,262,262,262,262,262,476,262,476,210,476,371,408,210,210,183,210,210,210,210,210,210,476,210,452,452,210,210,452,210,210,210,210,210,210,398,392,210,392,398,398,398,398,398,398,198,291,291,291,291
291,354,291,354,150,150,159,291,397,397,291,373,373,291,373,373,266,373,266,373,266,266,266,266,266,96,76,76,76,85,85,85,76,247,85,85,76,76,76,143,76,143,76,76,76,76,76,76,147,76,324,146,146,146,146,146,366,146,85,85,85,117,235,322,309,8,242,242,242,8,8,8,242,162,309,362,362,362,362,309,309,162,236,309,309,162,114,309,114,114,236,114,162,296,296,296,296,397,397,397,262,150,150,150,150,136,397,8,8,8,8,8,183,183,461,461,388,262,262,262,262,461,262,262,262,262,262,262,476,262,476,262,262,210,210,210,371,371,371,408,392,210,392,210,210,476,476,476,210,452,452,210,452,392,210,210,210,198,210,210,210,398,112,392,392,398,198,198,398,291,398,291,291,291,291
159,291,291,354,159,354,354,397,397,291,397,397,373,291,373,373,373,266,373,266,266,266,266,76,76,115,76,85,76,96,85,96,85,85,85,85,76,76,76,76,143,143,146,76,76,76,76,147,147,324,324,146,324,146,146,146,146,366,146,146,117,322,322,76,397,397,8,242,242,242,162,8,8,162,309,362,362,309,362,362,309,162,162,162,309,162,162,114,114,296,296,162,296,296,296,296,296,296,296,296,296,150,150,150,150,400,8,8,8,8,8,183,183,183,183,183,388,262,262,262,262,461,262,262,262,262,262,461,262,262,476,476,210,210,210,210,408,408,371,183,452,392,392,476,210,476,210,210,210,210,210,210,210,392,210,210,210,210,210,210,392,210,112,210,392,198,210,198,198,398,398,198,291,291,198
115,291,354,354,291,398,397,150,291,291,291,291,373,373,373,373,198,373,266,266,96,266,266,266,115,266,76,115,96,96,96,247,96,85,85,85,85,76,76,76,143,146,76,146,146,76,76,324,324,146,324,146,324,146,146,146,146,146,146,117,322,322,76,76,242,309,397,309,309,162,162,362,162,362,362,362,362,362,362,309,309,309,162,309,162,162,114,296,236,114,296,296,195,195,296,296,296,296,296,296,296,150,150,150,136,400,8,400,400,8,183,195,183,183,183,183,235,183,262,262,262,262,262,262,262,262,262,262,262,262,262,262,476,388,210,210,371,371,210,408,371,210,392,392,392,392,476,210,210,210,210,461,452,210,210,210,210,210,392,210,157,210,392,392,210,198,198,198,198,198,198,398,198,198,198
115,291,115,115,354,398,198,397,291,398,397,247,291,373,373,373,198,373,266,96,96,96,96,96,115,115,115,373,115,76,85,96,247,85,247,85,76,76,76,26,76,76,76,146,76,76,76,76,324,324,146,324,117,117,324,235,235,324,117,117,235,235,235,242,76,309,309,362,309,242,162,362,362,362,362,362,362,362,362,309,309,309,362,309,309,309,114,309,296,26,26,162,195,195,397,296,296,296,296,296,296,397,397,397,397,397,400,8,8,8,8,400,400,195,235,183,388,461,388,262,262,262,388,262,262,262,262,262,461,262,262,476,262,262,262,210,210,210,371,210,210,371,392,392,461,392,210,461,452,461,461,452,452,452,452,452,210,210,157,157,157,210,210,210,210,198,198,398,198,198,198,198,115,198,115
115,115,159,354,373,159,398,397,397,397,397,397,247,247,247,373,373,266,96,96,96,96,96,115,266,96,373,373,373,96,96,96,247,247,143,143,76,76,26,76,76,76,76,146,76,76,76,146,146,85,146,146,324,146,324,324,324,324,235,397,235,235,397,235,397,242,362,309,309,362,362,362,362,362,17,362,17,362,362,309,362,309,309,309,309,309,309,309,162,296,296,26,195,195,397,296,136,136,397,136,136,397,397,136,136,397,397,8,400,400,400,400,235,195,235,388,235,388,388,262,262,262,262,388,262,262,262,262,262,262,210,262,117,210,262,117,210,210,210,183,371,183,392,461,183,183,461,461,461,452,452,280,452,210,452,452,452,210,210,157,198,409,210,210,210,198,210,198,198,198,398,198,198,115,115
198,198,115,354,159,159,397,373,354,397,198,198,247,247,373,198,198,198,373,96,96,266,96,96,96,96,373,373,247,96,96,96,324,143,76,76,76,76,26,76,76,76,76,76,76,76,146,146,146,146,146,146,146,146,324,324,324,117,397,117,397,397,397,397,242,362,362,309,76,309,76,362,362,8,17,17,262,362,362,362,362,309,309,362,362,362,162,162,162,114,296,26,136,195,195,397,195,296,136,397,136,136,136,136,136,397,8,400,195,195,195,195,195,195,461,235,183,388,388,183,400,388,262,388,262,262,262,262,262,262,355,210,210,210,117,210,461,210,210,291,183,452,183,183,183,183,461,461,461,461,452,461,452,452,452,210,210,210,210,210,157,157,210,210,210,398,198,210,210,198,398,115,115,115,115
198,354,198,354,373,198,159,354,373,354,397,397,198,247,198,198,150,198,373,373,373,96,96,96,96,96,373,373,373,324,96,96,324,76,247,76,76,143,143,76,76,146,76,146,76,76,146,146,146,146,76,146,324,117,146,324,324,324,117,117,362,397,397,397,397,362,362,362,362,397,76,8,8,17,8,362,362,362,362,17,17,309,309,17,17,262,136,309,296,296,296,296,136,195,195,195,397,136,136,136,195,195,195,235,235,235,235,400,195,400,195,235,195,400,210,400,235,235,183,183,400,400,388,262,388,388,388,262,262,210,117,355,210,388,388,210,461,291,291,291,183,183,183,461,183,461,461,461,398,461,452,452,280,210,452,452,210,210,210,198,210,198,398,398,398,198,398,198,198,198,198,398,198,198,198
354,198,354,198,354,159,159,354,159,354,354,198,397,373,373,373,150,96,76,96,324,96,324,96,96,96,373,115,373,373,373,324,76,247,247,247,247,247,76,143,146,76,146,146,146,324,76,76,146,76,76,117,146,324,324,324,324,324,468,468,397,117,397,397,397,362,362,397,397,362,362,76,8,362,8,362,362,8,262,17,296,309,17,17,262,262,136,136,136,296,136,296,136,136,136,397,136,136,136,136,136,195,195,195,235,235,397,397,388,400,235,235,388,210,400,400,400,400,183,235,388,400,183,262,388,400,388,388,388,400,400,388,210,388,210,210,210,210,291,291,210,461,183,461,461,461,183,183,461,452,452,452,452,452,452,210,210,210,280,198,210,198,398,210,398,398,398,198,198,198,198,198,198,354,198
354,198,115,115,198,354,159,198,159,198,159,247,397,247,373,150,150,150,96,324,324,76,96,96,115,373,373,373,373,373,324,76,247,247,247,247,247,247,76,51,146,146,76,51,51,324,76,324,324,117,117,117,117,146,324,146,324,468,324,397,117,362,397,397,397,397,74,76,397,76,74,76,17,8,362,8,362,8,8,262,262,17,17,296,262,262,262,262,296,162,162,296,397,255,255,26,136,136,255,136,136,136,195,397,235,235,235,235,388,388,388,210,400,210,210,235,235,210,235,388,388,235,400,388,388,388,452,388,400,388,388,210,388,183,183,210,461,461,461,210,210,291,183,461,183,183,183,461,187,280,146,461,452,452,210,461,210,198,280,198,210,398,398,210,398,198,398,198,198,198,198,198,398,198,354
198,115,198,85,115,198,85,159,198,159,159,159,96,198,96,397,397,76,198,324,324,324,76,76,76,115,373,247,373,247,247,324,324,247,76,247,76,76,247,143,51,76,76,76,85,85,76,76,117,324,117,117,117,324,117,324,324,324,468,204,117,117,117,397,397,74,74,397,397,74,397,362,76,17,17,362,362,8,8,8,262,17,296,17,26,262,262,262,112,112,162,162,162,255,255,51,26,136,255,136,136,136,136,136,136,136,397,397,388,388,388,397,210,210,400,235,210,235,235,235,235,235,452,400,388,115,388,388,388,388,388,400,183,461,461,210,210,461,461,291,210,210,398,461,461,398,398,398,452,398,398,452,398,452,280,280,280,210,280,210,198,198,198,398,398,398,198,120,198,445,198,398,198,354,354
115,198,85,85,115,198,198,85,85,159,159,159,198,373,198,373,76,198,76,198,76,76,324,324,324,324,373,247,247,247,324,247,76,76,247,247,76,76,146,146,143,51,76,76,76,76,76,76,324,117,117,146,324,324,324,117,324,468,117,204,117,117,397,397,397,397,397,397,225,225,74,397,8,8,362,362,17,8,8,362,362,8,8,17,296,26,26,262,262,136,162,162,162,255,255,51,26,136,136,136,195,136,136,195,136,136,397,388,203,203,397,397,210,235,235,400,210,400,235,235,183,183,235,235,115,115,452,388,388,388,34,388,210,210,210,210,183,291,47,47,291,183,210,398,118,398,118,398,146,461,398,398,452,280,280,280,280,280,210,210,445,445,280,398,120,398,120,198,445,445,38,198,354,198,198
