x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
150,198,236,236,398,468,476,115,117,114,309,146,198,198,362,232,232,200,200,150,150,74,74,362,85,470,60,470,409,398,96,111,247,470,38,38,38,96,353,291,291,398,397,398,398,117,60,309,309,309,397,198,198,266,398,266,266,322,324,324,353,445,353,470,324,397,324,445,74,470,74,150,500,60,468,470,17,111,117,476,74,232,397,146,150,398,398,60,115,38,470,470,397,397,146,198,500,500,409,115,362,115,362,17,60,60,17,85,362,362,198,398,362,117,347,76,468,60,468,150,150,162,409,397,476,476,476,96,198,38,38,200,200,409,60,96,74,74,476,476,85,309,409,373,397,470,470,117,409,96,96,200,397,74,200,117,74,200,60,236,38,470,470,150,85,146,85,115,322,115,115,470,362,362,150
247,198,398,398,398,468,115,470,470,117,146,146,198,198,38,362,38,200,232,150,74,74,74,74,371,115,200,200,362,322,96,96,362,247,470,38,38,38,353,353,115,362,362,397,398,398,117,117,322,322,397,200,198,398,266,266,76,322,76,76,76,322,117,470,470,200,247,85,324,74,150,150,60,500,468,17,111,200,470,74,232,397,117,150,409,398,362,60,38,200,115,115,470,397,397,146,500,500,500,115,362,362,17,397,397,17,470,397,397,198,398,198,398,117,76,60,470,468,60,468,198,198,198,200,200,476,476,500,445,198,115,409,362,409,232,232,74,476,398,398,85,409,409,398,198,150,117,470,60,96,96,210,397,210,74,150,468,373,468,60,60,150,38,85,150,85,74,322,74,115,115,210,398,397,198
247,117,247,17,17,115,210,210,115,476,470,85,85,309,38,38,309,38,38,476,476,74,362,362,60,371,115,398,409,409,60,362,111,111,470,115,115,409,409,409,362,115,115,85,38,60,409,409,409,322,397,85,398,398,398,96,362,60,114,76,85,445,445,470,470,324,247,445,247,74,60,150,500,500,468,468,468,146,17,17,17,17,409,409,150,409,117,115,200,232,115,232,85,397,117,398,198,500,324,322,115,85,362,397,85,397,470,210,198,115,76,362,247,362,76,470,60,162,162,60,198,322,200,200,476,51,150,96,198,117,115,115,76,76,76,51,51,232,51,409,409,409,96,397,397,117,117,117,60,60,96,397,210,38,115,115,115,468,373,373,373,38,38,38,200,150,371,74,115,74,210,210,398,397,247
247,247,117,17,210,17,210,38,476,476,291,85,115,309,309,309,60,38,200,476,476,198,236,362,371,362,117,117,117,96,409,111,111,470,115,115,115,409,409,115,362,362,291,85,150,74,74,74,322,397,200,200,85,397,397,96,96,362,76,85,85,445,150,74,74,445,247,85,85,146,117,117,60,398,500,38,38,117,322,117,17,398,468,409,409,398,117,266,200,266,232,200,232,200,198,200,398,38,38,76,322,85,397,85,38,38,38,198,198,371,115,398,398,371,291,353,76,353,162,198,38,322,322,200,51,150,150,150,117,96,198,85,470,470,76,232,232,398,397,476,247,409,247,96,150,150,476,150,150,470,398,210,38,115,115,115,17,468,373,373,468,373,38,200,200,322,398,74,322,38,38,210,247,397,397
198,232,117,96,210,38,96,38,470,38,500,85,85,309,500,60,60,38,38,397,397,236,362,362,96,371,236,210,210,362,362,362,111,291,353,322,76,150,76,362,373,291,85,200,200,85,74,291,322,85,85,85,200,291,500,500,362,114,85,114,117,115,115,74,398,85,96,96,146,200,117,117,398,398,398,38,38,38,117,322,74,60,468,117,398,398,398,200,200,232,96,96,146,117,200,198,198,198,150,76,397,200,111,200,373,38,210,210,76,468,115,398,398,291,291,353,397,85,117,115,198,200,200,200,51,150,150,117,38,398,85,398,38,468,468,76,76,397,476,397,96,409,96,96,324,150,117,470,38,398,476,38,115,266,60,38,198,17,373,468,17,373,114,114,200,200,322,322,60,445,60,210,397,397,470
476,476,117,60,210,210,38,38,150,500,232,291,74,85,60,60,500,60,468,85,85,198,85,198,117,236,397,236,397,60,38,362,362,322,322,322,322,146,409,76,373,85,373,200,200,85,409,74,291,96,398,60,291,291,291,500,362,500,114,85,117,115,115,198,150,398,409,409,96,347,476,117,398,409,115,38,38,322,150,322,322,60,74,247,468,468,398,117,117,232,232,146,117,198,397,198,470,470,398,150,322,76,111,200,470,324,38,210,115,117,117,398,291,117,409,409,353,353,115,117,200,198,397,114,51,398,398,398,398,398,85,210,468,468,150,232,76,60,60,409,468,96,468,247,324,115,150,150,476,398,476,38,476,371,266,85,198,373,85,146,198,150,114,114,114,114,445,398,60,397,445,210,210,470,60
476,476,60,210,247,247,210,38,38,150,398,232,232,74,74,74,500,468,500,468,398,85,85,198,76,76,397,397,60,150,38,470,291,291,322,51,146,236,236,468,373,468,236,470,266,115,115,409,409,96,200,398,470,291,85,470,476,114,60,500,198,115,150,115,85,409,398,409,409,347,322,398,183,409,115,115,115,150,200,200,322,247,397,247,247,397,468,60,60,96,96,146,96,397,115,17,17,398,324,150,38,322,111,200,470,324,210,115,468,60,247,291,398,291,397,397,409,85,115,85,322,397,397,38,322,51,362,362,398,117,210,85,85,150,210,232,60,117,60,468,468,468,247,247,324,324,117,115,38,476,398,468,362,362,60,198,74,198,198,85,198,198,115,398,114,114,398,470,38,445,409,76,210,210,397
476,60,85,322,150,146,150,409,74,146,398,398,247,409,74,373,371,500,468,210,198,398,398,117,76,76,96,397,150,210,210,38,38,117,322,291,150,150,236,236,468,236,468,150,266,200,409,397,409,409,266,324,470,85,85,85,500,150,60,198,60,198,150,146,232,183,409,200,409,476,266,183,183,371,371,232,200,232,232,200,60,322,397,322,397,397,362,60,60,38,247,51,51,150,397,115,470,347,500,38,38,111,111,200,76,324,468,468,468,247,247,291,291,409,74,85,397,115,85,198,322,322,397,397,397,362,362,398,362,117,38,150,150,210,210,60,291,476,85,85,468,85,247,236,150,117,117,115,117,409,468,468,51,362,371,60,397,74,74,85,146,115,362,409,398,398,322,476,476,38,409,76,85,409,409
232,232,322,322,362,60,362,150,146,398,150,247,409,247,114,373,500,371,470,210,198,398,398,371,398,150,17,150,150,38,398,117,117,117,291,51,150,96,236,470,470,470,373,353,150,200,60,397,146,324,324,470,470,470,353,476,500,150,60,60,60,60,322,146,232,232,183,38,200,476,146,398,74,74,115,371,232,371,232,232,200,115,115,397,362,291,397,60,60,247,247,38,51,115,115,115,470,470,347,500,324,200,76,200,114,468,468,468,397,247,60,146,409,322,322,322,85,74,347,398,198,468,232,232,232,409,115,291,409,362,362,476,150,150,60,247,247,476,85,232,85,247,236,247,236,117,115,409,324,468,409,51,51,397,74,74,397,150,74,397,468,362,115,115,470,409,398,470,470,476,38,409,409,470,470
232,322,322,362,60,60,74,146,470,398,117,398,373,114,373,476,371,371,470,470,468,210,468,51,398,150,17,17,17,85,85,85,85,409,117,200,96,96,96,470,470,470,353,115,115,232,397,60,397,146,476,398,324,353,398,266,266,247,150,150,117,146,146,322,324,38,362,362,347,96,146,74,266,74,266,347,371,322,232,200,198,115,146,470,470,291,60,397,60,38,247,38,51,397,115,115,347,500,500,500,266,38,76,117,200,117,183,183,183,146,60,146,322,322,397,397,362,362,362,398,347,468,150,232,247,115,409,409,476,362,476,362,150,38,74,150,247,247,409,476,397,362,397,236,51,324,324,409,117,409,468,51,371,362,115,362,362,51,291,115,362,468,17,409,409,291,117,146,470,183,476,183,470,470,232
