x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175
44,33,58,5,52,76,94,57,58,36,105,65,62,56,80,33,33,39,52,36,80,32,33,118,32,112,5,112,101,69,4,62,118,123,10,20,32,62,85,45,86,109,71,85,67,32,16,58,105,67,108,54,56,62,71,64,33,54,95,69,80,118,65,105,85,87,67,86,6,88,16,94,87,4,54,81,1,33,54,101,32,87,112,36,58,123,118,2,71,3,109,125,57,118,4,33,87,85,85,6,52,17,39,35,36,54,10,56,67,54,43,101,94,25,67,52,86,5,47,47,41,6,95,69,109,67,62,54,82,3,2,58,37,105,10,105,65,82,117,118,32,52,105,56,68,95,109,22,77,52,25,85,112,21,62,31,25,71,54,80,21,88,109,58,41,80,32,56,94,36,10,105,52,64,17
67,32,58,47,54,88,54,108,117,52,52,16,63,47,4,67,32,33,80,22,3,1,37,43,88,36,67,67,67,39,16,20,86,58,117,20,39,10,71,54,12,87,45,94,106,82,21,20,58,60,109,58,35,81,54,64,10,77,65,41,36,54,25,109,108,81,52,39,58,36,45,68,3,109,54,1,10,87,117,22,67,81,54,54,106,88,80,17,1,76,77,62,125,80,76,16,63,69,118,20,71,69,4,117,85,20,118,71,117,57,109,36,125,33,17,3,80,88,4,112,52,58,26,37,16,87,112,125,105,67,20,81,47,118,62,94,77,105,44,67,5,106,105,69,71,32,6,67,21,69,44,105,103,76,33,94,105,69,71,60,35,69,43,32,39,54,4,80,36,77,10,44,94,52,41
88,4,85,1,10,71,44,43,10,117,71,4,4,83,1,4,65,10,6,117,108,4,87,109,10,109,4,107,117,107,10,47,58,4,123,41,69,117,88,117,80,33,37,32,4,16,81,86,112,64,94,3,86,107,105,36,117,21,68,4,26,117,94,95,123,82,62,109,108,10,36,36,86,117,54,47,57,82,44,16,31,1,85,64,5,117,39,43,54,82,56,80,3,62,22,117,20,117,64,58,45,32,67,88,32,80,123,44,33,33,20,62,36,81,44,117,35,62,67,33,80,105,41,54,63,6,52,67,95,56,36,5,6,31,41,22,3,36,3,69,47,67,12,58,105,3,33,36,25,2,47,58,69,43,36,69,62,85,52,26,58,33,36,17,109,36,94,37,94,47,69,58,105,64,56
86,118,54,5,36,3,94,17,123,82,67,32,67,117,88,101,52,4,60,118,88,20,54,57,123,86,44,54,54,22,86,32,58,105,33,41,26,67,81,31,67,117,107,68,57,57,54,3,62,117,60,95,10,63,108,5,31,87,5,17,17,117,52,3,6,87,69,3,2,64,71,58,1,41,105,16,1,44,105,77,47,58,87,37,52,71,56,81,25,88,86,56,67,95,54,95,67,12,17,26,81,3,45,3,6,10,22,64,69,85,36,118,95,87,32,86,10,68,67,106,2,117,117,77,39,56,47,64,71,39,71,32,95,109,60,117,77,112,68,123,16,107,65,10,33,54,123,45,63,86,57,63,16,54,47,44,2,123,47,64,117,85,52,60,81,76,85,22,81,1,3,67,52,88,108
54,112,68,58,86,33,52,33,67,1,125,26,33,117,125,21,71,4,12,76,94,83,109,101,37,85,106,68,54,63,81,80,52,58,77,101,2,62,5,65,106,47,36,88,112,63,54,63,80,33,33,5,62,64,118,118,95,32,12,67,47,36,36,20,67,10,54,47,52,67,68,33,71,26,41,4,26,3,45,125,71,10,125,17,47,67,88,62,54,67,37,44,85,10,86,33,36,67,67,4,109,52,5,58,87,2,52,94,2,118,21,108,118,54,36,105,117,25,64,21,80,76,67,85,3,80,81,62,3,118,4,64,1,67,69,21,45,58,109,65,3,54,4,21,112,16,5,69,3,58,117,17,56,60,20,3,88,21,76,118,10,123,37,5,81,67,58,68,25,117,26,80,117,85,108
106,112,67,3,71,85,56,36,32,118,52,105,20,69,17,45,82,36,71,5,26,67,33,81,58,57,105,43,80,25,10,67,81,62,85,87,112,16,94,12,71,17,67,88,117,67,86,22,88,26,109,52,107,80,26,88,52,125,44,47,45,5,43,67,65,77,106,94,33,67,125,25,64,67,22,2,58,123,76,112,117,21,32,45,125,71,87,26,62,95,118,81,52,105,117,71,118,123,67,63,63,36,67,44,107,87,3,62,17,64,31,88,58,17,118,109,80,117,26,47,107,33,103,56,25,117,88,87,88,85,52,64,62,117,57,94,32,21,10,69,117,1,80,67,105,2,62,67,81,64,105,10,117,109,64,71,81,88,54,88,71,67,69,5,5,6,88,71,36,41,118,62,41,123,1
95,117,5,67,118,117,112,21,12,32,85,39,43,25,54,56,101,58,95,69,76,47,37,88,5,2,109,82,3,33,3,109,32,68,118,1,25,103,67,118,57,123,39,125,109,21,37,105,103,52,69,86,101,58,2,54,71,12,1,109,54,62,52,17,43,105,67,52,83,41,36,69,36,117,54,67,54,80,87,69,112,67,118,54,10,58,105,32,65,47,60,80,36,118,64,62,16,71,57,37,3,117,60,85,108,80,32,57,117,1,86,80,106,26,63,33,123,20,20,16,94,118,87,4,82,26,81,69,105,31,52,39,32,37,69,64,6,58,22,81,105,80,54,67,86,118,52,33,1,118,16,58,56,68,4,44,25,80,105,6,86,86,17,54,32,3,64,123,33,87,71,5,36,25,32
125,6,26,88,4,32,54,123,32,25,57,105,86,118,9,47,33,118,54,52,33,82,105,56,62,17,12,109,36,58,41,5,2,54,123,109,80,77,85,52,60,26,54,32,77,47,118,64,85,117,25,47,94,10,1,3,107,37,17,69,4,52,60,25,64,6,109,37,81,88,33,32,63,94,88,43,33,86,105,88,1,118,95,80,67,118,67,36,86,17,118,41,37,67,112,39,103,58,118,6,25,77,36,76,2,86,83,86,71,67,64,62,57,81,1,10,67,67,54,71,81,67,105,87,64,71,81,117,63,20,9,47,63,118,88,9,95,123,12,36,88,1,64,64,45,36,47,22,33,36,88,118,6,85,86,16,117,47,5,36,33,20,54,80,32,26,36,125,105,3,71,17,33,83,62
54,88,105,52,109,4,117,107,20,64,54,12,109,57,5,52,87,4,117,57,3,81,125,68,117,86,39,107,80,32,105,69,58,36,117,5,80,56,80,109,69,117,86,56,54,36,4,54,54,33,36,101,117,117,69,109,87,33,4,26,25,33,118,22,87,47,36,1,17,88,47,123,4,26,20,95,25,125,71,105,86,54,60,88,52,33,118,71,69,108,108,36,54,22,32,32,107,85,47,94,88,86,58,88,22,125,81,117,81,54,3,5,64,36,36,47,57,3,65,106,37,118,54,10,36,125,5,57,101,57,65,103,65,80,12,107,63,125,25,68,4,57,56,101,68,32,20,123,41,88,32,4,1,108,21,32,107,43,26,77,117,64,2,32,118,82,62,88,109,117,4,88,80,117,54
65,106,41,88,1,17,65,54,118,88,36,83,87,6,67,71,32,33,88,109,69,17,117,32,118,62,4,54,10,106,86,44,6,125,47,88,54,44,60,117,86,71,44,5,16,56,80,1,67,4,108,54,12,33,80,26,81,58,32,52,57,47,36,123,95,3,94,76,37,33,43,5,109,16,47,88,117,64,85,71,64,3,71,105,123,39,4,117,52,17,83,1,9,83,54,4,86,112,117,87,56,4,32,52,71,36,80,52,54,47,4,44,86,47,82,94,63,68,69,77,36,123,58,67,81,32,64,81,86,47,81,56,58,10,26,62,52,33,68,105,101,57,117,43,4,105,106,77,67,83,69,3,67,67,22,118,69,2,85,39,67,118,3,54,68,64,26,47,88,45,118,56,118,105,58
